star_name,star_name,Right ascension,Declination,star_distance,star_distance_error_min,star_distance_error_max,source (xml)
HATS-24,HATS-24,,,510.0,15.0,15.0,
HATS-25,HATS-25,,,466.0,30.0,30.0,
HATS-26,HATS-26,,,907.0,49.0,69.0,
HATS-27,HATS-27,,,840.0,51.0,80.0,
HATS-28,HATS-28,,,521.0,25.0,25.0,
HATS-29,HATS-29,,,351.0,15.0,15.0,
HATS-3,HATS-3,,,453.0,11.0,11.0,
HATS-30,HATS-30,,,339.0,16.0,16.0,
HATS-31,HATS-31,,,872.0,84.0,84.0,
HATS-32,HATS-32,,,839.0,55.0,77.0,
HATS-33,HATS-33,,,355.0,12.0,12.0,
HATS-34,HATS-34,,,532.0,32.0,32.0,
HATS-35,HATS-35,,,557.0,17.0,22.0,
HATS-4,HATS-4,,,420.0,12.0,12.0,
HATS-5,HATS-5,,,257.0,8.0,8.0,
HATS-6,HATS-6,,,148.4,3.3,3.3,
HATS-7,HATS-7,,,257.0,12.0,15.0,
HATS-8,HATS-8,,,829.0,48.0,110.0,
HATS-9,HATS-9,,,622.0,42.0,30.0,
HD 100655,HD 100655,,,122.0,8.0,8.0,
HD 100777,HD 100777,,,52.8,3.4,3.4,
HD 10180,HD 10180,,,39.4,1.0,1.0,
HD 101930,HD 101930,,,30.49,,,
HD 102117,HD 102117,,,42.0,,,
HD 102195,HD 102195,,,28.98,1.0,1.0,
HD 102272,HD 102272,,,360.0,90.0,90.0,
HD 102329,HD 102329,,,158.0,21.0,21.0,
HD 102365,HD 102365,,,9.24,0.06,0.06,
HD 102956,HD 102956,,,126.0,13.0,13.0,
HD 103197,HD 103197,,,49.3,3.6,3.6,
HD 103720,HD 103720,,,41.6,2.1,2.1,
HD 103774,HD 103774,,,55.0,2.0,2.0,
HD 104067,HD 104067,,,20.8,0.04,0.04,
HD 10442,HD 10442,,,,,,
HD 104985,HD 104985,,,102.0,,,
HD 106252,HD 106252,,,37.44,,,
HD 106270,HD 106270,,,84.9,5.7,5.7,
HD 10647,HD 10647,,,17.3,,,
HD 106515 A,HD 106515 A,,,35.2,1.0,1.0,
HD 106906,HD 106906,,,92.0,6.0,6.0,
HD 10697,HD 10697,,,32.56,0.88,0.88,
HD 107148,HD 107148,,,51.3,2.6,2.6,
HD 108147,HD 108147,,,38.57,,,
HD 108341,HD 108341,,,49.4,2.3,2.3,
HD 108863,HD 108863,,,139.0,15.0,15.0,
HD 108874,HD 108874,,,68.5,,,
HD 109246,HD 109246,,,65.6,3.0,3.0,
HD 109271,HD 109271,,,62.0,3.0,3.0,
HD 109749,HD 109749,,,59.0,,,
HD 110014,HD 110014,,,90.0,2.3,2.3,
HD 111232,HD 111232,,,29.0,,,
HD 113337,HD 113337,,,36.9,0.4,0.4,
HD 113538,HD 113538,,,15.8,0.4,0.4,
HD 114386,HD 114386,,,28.0,,,
HD 114613,HD 114613,,,20.67,0.13,0.13,
HD 114729,HD 114729,,,35.0,,,
HD 114762,HD 114762,,,39.46,2.86,2.86,
HD 114783,HD 114783,,,20.4,,,
HD 11506,HD 11506,,,53.82,,,
HD 1160,HD 1160,,,103.5,4.0,4.0,
HD 116029,HD 116029,,,123.2,9.9,9.9,
HD 117207,HD 117207,,,33.0,,,
HD 11755,HD 11755,,,231.5,,,
HD 117618,HD 117618,,,38.0,,,
HD 118203,HD 118203,,,88.6,,,
HD 119445,HD 119445,,,,,,
HD 11964,HD 11964,,,33.98,,,
HD 11977,HD 11977,,,66.5,2.1,2.1,
HD 120084,HD 120084,,,97.7,4.7,4.7,
HD 121504,HD 121504,,,44.37,,,
HD 122562,HD 122562,,,53.8,,,
HD 12484,HD 12484,,,51.1,2.5,2.5,
HD 125595,HD 125595,,,27.4,0.9,0.9,
HD 125612,HD 125612,,,52.82,,,
HD 12648,HD 12648,,,158.4,9.0,9.0,
HD 126525,HD 126525,,,38.1,1.0,1.0,
HD 12661,HD 12661,,,37.16,,,
HD 126614,HD 126614,,,72.4,5.3,5.3,
HD 128311,HD 128311,,,16.6,,,
HD 128356,HD 128356,,,26.03,0.52,0.52,
HD 129445,HD 129445,,,67.61,5.1,5.1,
HD 130322,HD 130322,,,30.0,,,
HD 131496,HD 131496,,,110.0,9.4,9.4,
HD 13189,HD 13189,,,185.0,,,
HD 132406,HD 132406,,,71.0,3.5,3.5,
HD 132563B,HD 132563B,,,96.0,13.0,13.0,
HD 133131 A,HD 133131 A,,,47.0,,,
HD 133131 B,HD 133131 B,,,47.0,,,
HD 134060,HD 134060,,,24.2,0.25,0.25,
HD 134113,HD 134113,,,71.9,,,
HD 134606,HD 134606,,,26.5,0.4,0.4,
HD 134987,HD 134987,,,22.2,1.1,1.1,
HD 136352,HD 136352,,,14.8,0.08,0.08,
HD 136418,HD 136418,,,98.2,5.6,5.6,
HD 137388,HD 137388,,,38.0,3.0,3.0,
HD 13808,HD 13808,,,28.6,0.3,0.3,
HD 13908,HD 13908,,,71.2,3.5,3.5,
HD 13931,HD 13931,,,44.2,1.4,1.4,
HD 139357,HD 139357,,,121.4,8.2,8.2,
HD 14067,HD 14067,,,163.4,12.3,12.3,
HD 141399,HD 141399,,,36.17,0.5,0.5,
HD 141937,HD 141937,,,33.46,,,
HD 142,HD 142,,,20.6,,,
HD 142022 A,HD 142022 A,,,35.87,,,
HD 142245,HD 142245,,,109.5,7.4,7.4,
HD 142415,HD 142415,,,34.2,,,
HD 143105,HD 143105,,,48.7,0.8,0.8,
HD 143361,HD 143361,,,59.35,,,
HD 143761,HD 143761,,,17.236,0.024,0.024,
HD 145377,HD 145377,,,57.7,3.0,3.0,
HD 145457,HD 145457,,,126.0,10.0,10.0,
HD 145934,HD 145934,,,,,,
HD 1461,HD 1461,,,23.4,0.5,0.5,
HD 147018,HD 147018,,,42.96,1.6,1.6,
HD 147513,HD 147513,,,12.9,,,
HD 147873,HD 147873,,,104.93,10.9,10.9,
HD 148156,HD 148156,,,53.05,2.9,2.9,
HD 148427,HD 148427,,,59.3,,,
HD 149026,HD 149026,,,78.9,6.6,6.6,
HD 149143,HD 149143,,,63.0,,,
HD 1502,HD 1502,,,159.0,19.0,19.0,
HD 150433,HD 150433,,,29.6,0.5,0.5,
HD 150706,HD 150706,,,27.2,,,
HD 152079,HD 152079,,,85.17,10.3,10.3,
HD 152581,HD 152581,,,186.0,33.0,33.0,
HD 153950,HD 153950,,,49.6,1.8,1.8,
HD 154088,HD 154088,,,17.8,0.2,0.2,
HD 154345,HD 154345,,,18.06,0.18,0.18,
HD 154672,HD 154672,,,65.8,,,
HD 154857,HD 154857,,,64.2,3.1,3.1,
HD 155233,HD 155233,,,75.1,3.3,3.3,
HD 155358,HD 155358,,,43.0,,,
HD 156279,HD 156279,,,36.6,1.0,1.0,
HD 156411,HD 156411,,,55.1,2.5,2.5,
HD 156668,HD 156668,,,24.5,0.5,0.5,
HD 157172,HD 157172,,,31.9,0.9,0.9,
HD 158038,HD 158038,,,103.6,7.9,7.9,
HD 159243,HD 159243,,,69.2,5.5,5.5,
HD 159868,HD 159868,,,52.7,,,
HD 1605,HD 1605,,,84.6,,,
HD 160508,HD 160508,,,92.3,,,
HD 16141,HD 16141,,,35.9,,,
HD 16175,HD 16175,,,59.8,,,
HD 162004,HD 162004,,,22.16,,,
HD 162020,HD 162020,,,31.26,,,
HD 163607,HD 163607,,,69.0,3.0,3.0,
HD 16417,HD 16417,,,25.5,0.5,0.5,
HD 164509,HD 164509,,,52.0,3.0,3.0,
HD 164595,HD 164595,,,28.93,0.4,0.4,
HD 164604,HD 164604,,,38.0,2.7,2.7,
HD 164922,HD 164922,,,22.13,0.27,0.27,
HD 165155,HD 165155,,,64.98,7.26,7.26,
HD 1666,HD 1666,,,110.6,,,
HD 166724,HD 166724,,,42.3,0.9,0.9,
HD 167042,HD 167042,,,50.0,,,
HD 168443,HD 168443,,,37.38,1.26,1.26,
HD 168746,HD 168746,,,43.12,1.8,1.8,
HD 1690,HD 1690,,,319.0,100.0,100.0,
HD 169830,HD 169830,,,36.32,,,
HD 170469,HD 170469,,,64.97,,,
HD 17092,HD 17092,,,109.0,55.0,55.0,
HD 171028,HD 171028,,,90.0,7.8,7.8,
HD 171238,HD 171238,,,50.28,2.91,2.91,
HD 17156,HD 17156,,,78.24,,,
HD 173416,HD 173416,,,135.0,9.6,9.6,
HD 175167,HD 175167,,,67.02,4.09,4.09,
HD 175370,HD 175370,,,272.0,33.0,33.0,
HD 175541,HD 175541,,,128.0,,,
HD 175607,HD 175607,,,45.27,2.07,2.07,
HD 176051,HD 176051,,,14.99,0.13,0.13,
HD 177830,HD 177830,,,59.0,2.8,2.8,
HD 178911 B,HD 178911 B,,,46.73,,,
HD 179079,HD 179079,,,63.69,,,
HD 180314,HD 180314,,,132.0,10.0,10.0,
HD 180777,HD 180777,,,27.3,,,
HD 180902,HD 180902,,,110.0,10.0,10.0,
HD 181342,HD 181342,,,110.6,7.5,7.5,
HD 181433,HD 181433,,,26.15,1.0,1.0,
HD 181720,HD 181720,,,56.0,4.0,4.0,
HD 183263,HD 183263,,,53.0,,,
HD 185269,HD 185269,,,47.0,1.0,1.0,
HD 187085,HD 187085,,,44.98,1.3,1.3,
HD 187123,HD 187123,,,50.0,,,
HD 18742,HD 18742,,,135.0,14.0,14.0,
HD 188015,HD 188015,,,52.6,,,
HD 189567,HD 189567,,,17.7,0.13,0.13,
HD 190228,HD 190228,,,66.11,,,
HD 190360,HD 190360,,,15.89,0.16,0.16,
HD 190647,HD 190647,,,54.2,3.4,3.4,
HD 190984,HD 190984,,,103.0,21.0,21.0,
HD 191806,HD 191806,,,,,,
HD 192263,HD 192263,,,19.9,,,
HD 192699,HD 192699,,,67.0,,,
HD 19467,HD 19467,,,30.86,0.6,0.6,
HD 195019,HD 195019,,,37.36,1.2,1.2,
HD 196050,HD 196050,,,46.9,,,
HD 196067,HD 196067,,,44.3,4.0,4.0,
HD 196885 A,HD 196885 A,,,33.0,1.0,1.0,
HD 197037,HD 197037,,,33.0,,,
HD 19994,HD 19994,,,22.38,,,
HD 20003,HD 20003,,,43.8,1.5,1.5,
HD 200964,HD 200964,,,68.4,4.8,4.8,
HD 202206,HD 202206,,,46.34,,,
HD 20367,HD 20367,,,27.0,,,
HD 2039,HD 2039,,,89.8,,,
HD 204313,HD 204313,,,47.37,1.39,1.39,
HD 204941,HD 204941,,,27.0,1.0,1.0,
HD 205739,HD 205739,,,90.3,,,
HD 206610,HD 206610,,,194.0,36.0,36.0,
HD 20781,HD 20781,,,35.4,1.0,1.0,
HD 20782,HD 20782,,,36.02,1.0,1.0,
HD 207832,HD 207832,,,54.4,2.7,2.7,
HD 20794,HD 20794,,,6.06,,,
HD 208487,HD 208487,,,45.0,,,
HD 208527,HD 208527,,,320.2,61.1,61.1,
HD 20868,HD 20868,,,48.9,3.5,3.5,
 O2, O2,,, CO, K, H,
HD 210277,HD 210277,,,21.29,0.36,0.36,
HD 210702,HD 210702,,,56.0,2.3,2.3,
HD 211847,HD 211847,,,50.6,3.3,3.3,
HD 212301,HD 212301,,,52.7,,,
HD 212771,HD 212771,,,131.0,14.0,14.0,
HD 213240,HD 213240,,,40.75,,,
HD 214823,HD 214823,,,,,,
HD 215152,HD 215152,,,21.5,0.4,0.4,
HD 215456,HD 215456,,,38.0,0.7,0.7,
HD 215497,HD 215497,,,44.0,2.0,2.0,
HD 216435,HD 216435,,,33.3,,,
HD 216437,HD 216437,,,26.5,,,
HD 216536,HD 216536,,,,,,
HD 216770,HD 216770,,,38.0,,,
HD 21693,HD 21693,,,32.4,0.5,0.5,
HD 217107,HD 217107,,,19.72,0.3,0.3,
HD 217786,HD 217786,,,54.8,2.0,2.0,
HD 218566,HD 218566,,,29.94,1.11,1.11,
HD 219077,HD 219077,,,29.35,0.3,0.3,
HD 219134,HD 219134,,,6.55,,,
HD 219415,HD 219415,,,,,,
HD 219828,HD 219828,,,81.1,1.0,1.0,
HD 220074,HD 220074,,,290.2,45.5,45.5,
HD 220689,HD 220689,,,44.6,1.5,1.5,
HD 220773,HD 220773,,,49.0,,,
HD 220842,HD 220842,,,62.5,2.5,2.5,
HD 221287,HD 221287,,,52.9,2.4,2.4,
HD 221585,HD 221585,,,,,,
HD 222076,HD 222076,,,83.5,4.3,4.3,
HD 222155,HD 222155,,,49.1,1.5,1.5,
HD 222582,HD 222582,,,42.0,,,
HD 224538,HD 224538,,,77.76,4.41,4.41,
HD 224693,HD 224693,,,94.0,,,
HD 22781,HD 22781,,,31.79,,,
HD 23079,HD 23079,,,34.8,,,
HD 23127,HD 23127,,,89.1,,,
HD 231701,HD 231701,,,108.4,,,
HD 233604,HD 233604,,,,,,
HD 23596,HD 23596,,,52.0,,,
HD 240210,HD 240210,,,143.0,53.0,53.0,
HD 240237,HD 240237,,,1500.0,,,
HD 24040,HD 24040,,,46.51,2.3,2.3,
HD 24064,HD 24064,,,264.4,31.2,31.2,
HD 25171,HD 25171,,,55.0,1.5,1.5,
HD 2638,HD 2638,,,53.71,,,
HD 27442,HD 27442,,,18.1,,,
HD 27631,HD 27631,,,45.5,1.5,1.5,
HD 27894,HD 27894,,,42.37,,,
HD 28185,HD 28185,,,39.4,,,
HD 28254,HD 28254,,,56.2,2.0,2.0,
HD 283668,HD 283668,,,42.3,,,
HD 284149,HD 284149,,,108.2,18.5,18.5,
HD 285507,HD 285507,,,41.3,3.0,3.0,
HD 28678,HD 28678,,,227.0,48.0,48.0,
HD 290327,HD 290327,,,54.9,4.3,4.3,
HD 2952,HD 2952,,,115.2,9.0,9.0,
HD 30177,HD 30177,,,55.0,,,
HD 30562,HD 30562,,,26.5,,,
HD 30669,HD 30669,,,57.0,3.9,3.9,
HD 30856,HD 30856,,,118.1,9.9,9.9,
HD 31253,HD 31253,,,53.82,3.45,3.45,
HD 31527,HD 31527,,,38.6,0.9,0.9,
HD 32518,HD 32518,,,117.4,10.7,10.7,
HD 32963,HD 32963,,,,,,
HD 330075,HD 330075,,,50.2,,,
HD 33142,HD 33142,,,126.0,11.0,11.0,
HD 33283,HD 33283,,,86.0,,,
HD 33564,HD 33564,,,20.98,0.2,0.2,
HD 33844,HD 33844,,,100.9,,,
HD 34445,HD 34445,,,46.5,1.5,1.5,
HD 35759,HD 35759,,,72.5,4.0,4.0,
HD 3651,HD 3651,,,11.0,,,
HD 37124,HD 37124,,,33.0,,,
HD 37605,HD 37605,,,44.0,2.1,2.1,
HD 38283,HD 38283,,,37.7,0.9,0.9,
HD 38529,HD 38529,,,39.28,0.4,0.4,
HD 38801,HD 38801,,,99.4,,,
HD 38858,HD 38858,,,15.2,0.09,0.09,
HD 39091,HD 39091,,,18.32,0.09,0.09,
HD 39194,HD 39194,,,25.9,0.4,0.4,
HD 39392,HD 39392,,,94.2,,,
HD 40307,HD 40307,,,12.8,1.0,1.0,
HD 40979,HD 40979,,,33.3,,,
HD 41004 A,HD 41004 A,,,42.5,,,
HD 41004 B,HD 41004 B,,,43.03,,,
HD 4113,HD 4113,,,44.0,1.0,1.0,
