pl_name,pl_name,Lists,pl_bmassj,pl_bmassjerr2,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjerr1,pl_radj,pl_radjerr2,pl_radjerr1,pl_radjerr2,pl_radjerr1,pl_orbper,pl_orbpererr2,pl_orbpererr1,pl_orbpererr2,pl_orbpererr1,pl_orbeccen,pl_orbeccenerr2,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenerr1,pl_eqt,pl_eqterr2,pl_eqterr1,pl_eqterr2,pl_eqterr1,Discovery method,pl_publ_date,Last updated [yy/mm/dd],source (xml)
HD 4113 b,HD 4113 b,,1.56000,0.04000,0.04000,0.04000,0.04000,,,,,,526.62000000,0.30000000,0.30000000,0.30000000,0.30000000,0.903000,0.005000,0.005000,0.005000,0.005000,,,,,,,2008,,
HD 4203 b,HD 4203 b,,1.82000,0.05000,0.05000,0.05000,0.05000,,,,,,437.05000000,0.27000000,0.27000000,0.27000000,0.27000000,0.520000,0.020000,0.020000,0.020000,0.020000,,,,,,,2002,,
HD 4208 b,HD 4208 b,,0.80400,0.07300,0.07300,0.07300,0.07300,,,,,,828.00000000,8.10000000,8.10000000,8.10000000,8.10000000,0.052000,0.040000,0.040000,0.040000,0.040000,,,,,,,2002,,
HD 4308 b,HD 4308 b,,0.04420,,,,,,,,,,15.56000000,0.02000000,0.02000000,0.02000000,0.02000000,0.000000,0.010000,0.010000,0.010000,0.010000,,,,,,,2006,,
HD 4732 b,HD 4732 b,,2.37000,0.34000,0.34000,0.34000,0.34000,,,,,,360.20000000,1.40000000,1.40000000,1.40000000,1.40000000,0.130000,0.060000,0.060000,0.060000,0.060000,,,,,,,2013,,
HD 4732 c,HD 4732 c,,2.37000,0.38000,0.38000,0.38000,0.38000,,,,,,2732.00000000,81.00000000,81.00000000,81.00000000,81.00000000,0.230000,0.070000,0.070000,0.070000,0.070000,,,,,,,2013,,
HD 5319 c,HD 5319 c,,1.15000,0.08000,0.08000,0.08000,0.08000,,,,,,886.00000000,8.00000000,8.00000000,8.00000000,8.00000000,0.150000,0.060000,0.060000,0.060000,0.060000,,,,,,,2015,,
HD 5608 b,HD 5608 b,,1.40000,,,,,,,,,,792.60000000,7.70000000,7.70000000,7.70000000,7.70000000,0.190000,0.061000,0.061000,0.061000,0.061000,,,,,,,2012,,
HD 5891 b,HD 5891 b,,7.60000,0.40000,0.40000,0.40000,0.40000,,,,,,177.11000000,0.32000000,0.32000000,0.32000000,0.32000000,0.066000,0.022000,0.022000,0.022000,0.022000,,,,,,,2011,,
HD 6434 b,HD 6434 b,,0.44000,0.01000,0.01000,0.01000,0.01000,,,,,,22.01700000,0.00080000,0.00080000,0.00080000,0.00080000,0.146000,0.025000,0.025000,0.025000,0.025000,,,,,,,2004,,
HD 7199 b,HD 7199 b,,0.29000,0.02300,0.02300,0.02300,0.02300,,,,,,615.00000000,7.00000000,7.00000000,7.00000000,7.00000000,0.190000,0.130000,0.190000,0.130000,0.190000,,,,,,,2011,,
HD 103197 b,HD 103197 b,,0.09800,0.00600,0.00600,0.00600,0.00600,,,,,,47.84000000,0.03000000,0.03000000,0.03000000,0.03000000,0.000000,,,,,,,,,,,2011,,
HD 103720 b,HD 103720 b,,0.62000,0.02500,0.02500,0.02500,0.02500,,,,,,4.55570000,0.00010000,0.00010000,0.00010000,0.00010000,0.086000,0.024000,0.024000,0.024000,0.024000,,,,,,,2015,,
HD 104067 b,HD 104067 b,,0.18600,0.01300,0.01300,0.01300,0.01300,,,,,,55.80600000,0.04900000,0.04900000,0.04900000,0.04900000,0.000000,,,,,,,,,,,2011,,
HD 104985 b,HD 104985 b,,8.30000,,,,,,,,,,199.50500000,0.08500000,0.08500000,0.08500000,0.08500000,0.090000,0.009000,0.009000,0.009000,0.009000,,,,,,,2003,,
HD 106270 b,HD 106270 b,,11.00000,0.80000,0.80000,0.80000,0.80000,,,,,,2890.00000000,390.00000000,390.00000000,390.00000000,390.00000000,0.402000,0.054000,0.054000,0.054000,0.054000,,,,,,,2011,,
HD 106515 A b,HD 106515 A b,,9.61000,0.14000,0.14000,0.14000,0.14000,,,,,,3630.00000000,12.00000000,12.00000000,12.00000000,12.00000000,0.572000,0.011000,0.011000,0.011000,0.011000,,,,,,,2013,,
HD 106906 b,HD 106906 b,,11.00000,2.00000,2.00000,2.00000,2.00000,,,,,,,,,,,,,,,,1800,100,100,100,100,,2014,,
HD 108147 b,HD 108147 b,,0.26100,0.04000,0.04000,0.04000,0.04000,,,,,,10.89850000,0.00450000,0.00450000,0.00450000,0.00450000,0.530000,0.120000,0.120000,0.120000,0.120000,,,,,,,2002,,
HD 108341 b,HD 108341 b,,3.50000,1.20000,3.40000,1.20000,3.40000,,,,,,1129.00000000,8.00000000,6.00000000,8.00000000,6.00000000,0.850000,0.080000,0.090000,0.080000,0.090000,,,,,,,2015,,
HD 108874 b,HD 108874 b,,1.29000,0.06000,0.06000,0.06000,0.06000,,,,,,395.80000000,0.60000000,0.60000000,0.60000000,0.60000000,0.082000,0.021000,0.021000,0.021000,0.021000,,,,,,,2003,,
HD 108874 c,HD 108874 c,,0.99000,0.06000,0.06000,0.06000,0.06000,,,,,,1624.00000000,23.00000000,23.00000000,23.00000000,23.00000000,0.239000,0.031000,0.031000,0.031000,0.031000,,,,,,,2005,,
HD 109246 b,HD 109246 b,,0.77000,0.09000,0.09000,0.09000,0.09000,,,,,,68.27000000,0.13000000,0.13000000,0.13000000,0.13000000,0.120000,0.040000,0.040000,0.040000,0.040000,,,,,,,2010,,
HD 109271 c,HD 109271 c,,0.07600,0.00700,0.00700,0.00700,0.00700,,,,,,30.93000000,0.02000000,0.02000000,0.02000000,0.02000000,0.150000,0.090000,0.090000,0.090000,0.090000,,,,,,,2013,,
HD 109749 b,HD 109749 b,,0.28000,0.01600,0.01600,0.01600,0.01600,,,,,,5.24000000,0.00200000,0.00200000,0.00200000,0.00200000,0.010000,0.010000,0.010000,0.010000,0.010000,,,,,,,2006,,
HD 111232 b,HD 111232 b,,6.80000,,,,,,,,,,1143.00000000,14.00000000,14.00000000,14.00000000,14.00000000,0.200000,0.010000,0.010000,0.010000,0.010000,,,,,,,2004,,
HD 113538 b,HD 113538 b,,0.36000,0.04000,0.04000,0.04000,0.04000,,,,,,663.20000000,7.40000000,8.40000000,7.40000000,8.40000000,0.140000,0.080000,0.080000,0.080000,0.080000,,,,,,,2011,,
HD 113538 c,HD 113538 c,,0.93000,0.06000,0.06000,0.06000,0.06000,,,,,,1818.00000000,22.00000000,25.00000000,22.00000000,25.00000000,0.200000,0.040000,0.040000,0.040000,0.040000,,,,,,,2011,,
HD 114386 b,HD 114386 b,,1.24000,,,,,,,,,,937.70000000,15.60000000,15.60000000,15.60000000,15.60000000,0.230000,0.030000,0.030000,0.030000,0.030000,,,,,,,2004,,
HD 114762 b,HD 114762 b,,10.98000,0.09000,0.09000,0.09000,0.09000,1.110,,,,,83.91510000,0.00300000,0.00300000,0.00300000,0.00300000,0.335400,0.004800,0.004800,0.004800,0.004800,,,,,,,1989,,
HD 114729 b,HD 114729 b,,0.95000,0.10000,0.10000,0.10000,0.10000,,,,,,1114.00000000,15.00000000,15.00000000,15.00000000,15.00000000,0.167000,0.055000,0.055000,0.055000,0.055000,,,,,,,2003,,
HD 116029 b,HD 116029 b,,2.10000,0.20000,0.20000,0.20000,0.20000,,,,,,670.00000000,11.00000000,11.00000000,11.00000000,11.00000000,0.054000,,,,,,,,,,,2011,,
HD 117207 b,HD 117207 b,,1.88000,0.17000,0.17000,0.17000,0.17000,,,,,,2597.00000000,41.00000000,41.00000000,41.00000000,41.00000000,0.144000,0.035000,0.035000,0.035000,0.035000,,,,,,,2005,,
HD 120084 b,HD 120084 b,,4.50000,,,,,,,,,,2082.00000000,35.00000000,24.00000000,35.00000000,24.00000000,0.660000,0.100000,0.140000,0.100000,0.140000,,,,,,,2013,,
HD 121504 b,HD 121504 b,,1.22000,,,,,,,,,,63.33000000,0.03000000,0.03000000,0.03000000,0.03000000,0.030000,0.010000,0.010000,0.010000,0.010000,,,,,,,2004,,
HD 125612 b,HD 125612 b,,3.00000,,,,,,,,,,559.40000000,1.30000000,1.30000000,1.30000000,1.30000000,0.460000,0.010000,0.010000,0.010000,0.010000,,,,,,,2007,,
Kepler-20 b,Kepler-20 b,,0.02700,0.00700,0.00700,0.00700,0.00700,0.170,0.019,0.011,0.019,0.011,3.69612190,0.00000640,0.00000430,0.00000640,0.00000430,0.320000,,,,,1014,,,,,,2012,,
Kepler-20 c,Kepler-20 c,,0.05100,0.01200,0.01000,0.01200,0.01000,0.274,0.028,0.018,0.028,0.018,10.85409200,0.00001300,0.00001300,0.00001300,0.00001300,0.400000,,,,,713,,,,,,2012,,
Kepler-20 d,Kepler-20 d,,0.06300,,,,,0.245,0.027,0.015,0.027,0.015,77.61184000,0.00037000,0.00015000,0.00037000,0.00015000,0.600000,,,,,369,,,,,,2012,,
Kepler-20 f,Kepler-20 f,,0.04500,,,,,0.092,0.012,0.009,0.012,0.009,19.57706000,0.00052000,0.00052000,0.00052000,0.00052000,0.320000,,,,,705,16,16,16,16,,2012,,
Kepler-21 b,Kepler-21 b,,0.01598,0.00541,0.00541,0.00541,0.00541,0.146,0.001,0.002,0.001,0.002,2.78578000,0.00003000,0.00003000,0.00003000,0.00003000,0.020000,0.100000,0.100000,0.100000,0.100000,2025,20,20,20,20,,2012,,
Kepler-22 b,Kepler-22 b,,0.11300,,,,,0.212,0.012,0.012,0.012,0.012,289.86230000,0.00200000,0.00160000,0.00200000,0.00160000,0.000000,,,,,262,,,,,,2012,,
Kepler-23 b,Kepler-23 b,,0.80000,,,,,0.170,,,,,7.10730000,,,,,,,,,,,,,,,,2012,,
Kepler-23 d,Kepler-23 d,,,,,,,0.196,0.008,0.008,0.008,0.008,15.27429900,0.00010400,0.00010400,0.00010400,0.00010400,,,,,,,,,,,,2014,,
Kepler-24 b,Kepler-24 b,,1.60000,,,,,0.214,,,,,8.14530000,,,,,,,,,,,,,,,,2012,,
Kepler-24 c,Kepler-24 c,,1.60000,,,,,0.250,,,,,12.33350000,,,,,,,,,,,,,,,,2012,,
Kepler-24 e,Kepler-24 e,,,,,,,0.248,0.057,0.057,0.057,0.057,18.99835500,0.00015700,0.00015700,0.00015700,0.00015700,,,,,,,,,,,,2014,,
Kepler-25 b,Kepler-25 b,,0.03020,0.01321,0.01321,0.01321,0.01321,0.242,0.004,0.004,0.004,0.004,6.23850000,,,,,,,,,,,,,,,,2012,,
Kepler-25 c,Kepler-25 c,,0.07740,0.01793,0.01793,0.01793,0.01793,0.464,0.008,0.008,0.008,0.008,12.72040000,,,,,,,,,,,,,,,,2012,,
Kepler-26 b,Kepler-26 b,,0.01611,0.00192,0.00205,0.00192,0.00205,0.248,0.010,0.010,0.010,0.010,12.28000000,0.00030000,0.00030000,0.00030000,0.00030000,,,,,,,,,,,,2012,,
Kepler-26 e,Kepler-26 e,,,,,,,0.215,0.013,0.013,0.013,0.013,46.82791500,0.00017300,0.00017300,0.00017300,0.00017300,,,,,,,,,,,,2014,,
Kepler-27 b,Kepler-27 b,,9.11000,,,,,0.357,,,,,15.33480000,,,,,,,,,,,,,,,,2012,,
Kepler-27 c,Kepler-27 c,,13.80000,,,,,0.437,,,,,31.33090000,,,,,,,,,,,,,,,,2012,,
Kepler-28 c,Kepler-28 c,,1.36000,,,,,0.303,,,,,8.98580000,,,,,,,,,,,,,,,,2012,,
Kepler-29 b,Kepler-29 b,,0.01419,0.00463,0.00444,0.00463,0.00444,0.299,0.020,0.020,0.020,0.020,10.33840000,0.00030000,0.00030000,0.00030000,0.00030000,,,,,,,,,,,,2012,,
Kepler-29 c,Kepler-29 c,,0.01259,0.00406,0.00387,0.00406,0.00387,0.280,0.018,0.018,0.018,0.018,13.28840000,0.00050000,0.00050000,0.00050000,0.00050000,,,,,,,,,,,,2012,,
Kepler-30 c,Kepler-30 c,,2.01000,0.16000,0.16000,0.16000,0.16000,1.097,0.036,0.036,0.036,0.036,60.32310500,0.00024400,0.00024400,0.00024400,0.00024400,0.011100,0.001000,0.001000,0.001000,0.001000,,,,,,,2012,,
Kepler-30 d,Kepler-30 d,,0.07300,0.00800,0.00800,0.00800,0.00800,0.785,0.045,0.045,0.045,0.045,143.34394000,0.00858000,0.00858000,0.00858000,0.00858000,0.022000,0.005000,0.005000,0.005000,0.005000,,,,,,,2012,,
Kepler-31 b,Kepler-31 b,,,,,,,0.491,0.098,0.098,0.098,0.098,20.86130000,0.00020000,0.00020000,0.00020000,0.00020000,,,,,,,,,,,,2012,,
Kepler-31 c,Kepler-31 c,,4.70000,,,,,0.473,0.098,0.098,0.098,0.098,42.63180000,0.00050000,0.00050000,0.00050000,0.00050000,,,,,,,,,,,,2012,,
Kepler-32 b,Kepler-32 b,,4.10000,,,,,0.196,0.018,0.018,0.018,0.018,5.90124000,0.00010000,0.00010000,0.00010000,0.00010000,,,,,,,,,,,,2012,,
Kepler-32 d,Kepler-32 d,,,,,,,0.241,0.018,0.018,0.018,0.018,22.78020000,0.00050000,0.00050000,0.00050000,0.00050000,,,,,,,,,,,,2013,,
Kepler-32 f,Kepler-32 f,,,,,,,0.073,0.006,0.006,0.006,0.006,0.74296000,0.00007000,0.00007000,0.00007000,0.00007000,,,,,,,,,,,,2013,,
Kepler-32 c,Kepler-32 c,,0.50000,,,,,0.178,0.018,0.018,0.018,0.018,8.75220000,0.00030000,0.00030000,0.00030000,0.00030000,,,,,,,,,,,,2012,,
Kepler-33 b,Kepler-33 b,,,,,,,0.155,0.016,0.016,0.016,0.016,5.66793000,0.00012000,0.00012000,0.00012000,0.00012000,0.000000,,,,,,,,,,,2012,,
Kepler-33 c,Kepler-33 c,,,,,,,0.285,0.027,0.027,0.027,0.027,13.17562000,0.00014000,0.00014000,0.00014000,0.00014000,0.000000,,,,,,,,,,,2012,,
HIP 79431 b,HIP 79431 b,,2.10000,,,,,,,,,,111.70000000,0.70000000,0.70000000,0.70000000,0.70000000,0.290000,0.020000,0.020000,0.020000,0.020000,,,,,,,2010,,
HIP 91258 b,HIP 91258 b,,1.06800,0.03800,0.03800,0.03800,0.03800,,,,,,5.05050000,0.00150000,0.00150000,0.00150000,0.00150000,0.024000,0.014000,0.014000,0.014000,0.014000,,,,,,,2014,,
HIP 97233 b,HIP 97233 b,,20.00000,0.40000,0.40000,0.40000,0.40000,,,,,,1058.80000000,6.70000000,6.70000000,6.70000000,6.70000000,0.610000,0.030000,0.030000,0.030000,0.030000,,,,,,,2015,,
HIP 105854 b,HIP 105854 b,,8.20000,0.20000,0.20000,0.20000,0.20000,,,,,,184.20000000,0.50000000,0.50000000,0.50000000,0.50000000,0.020000,0.030000,0.030000,0.030000,0.030000,,,,,,,2014,,
HIP 116454 b,HIP 116454 b,,0.03700,0.00400,0.00400,0.00400,0.00400,0.226,0.016,0.016,0.016,0.016,9.12050000,0.00050000,0.00050000,0.00050000,0.00050000,0.205000,0.072000,0.072000,0.072000,0.072000,690,14,14,14,14,,2015,,
HR 810 b,HR 810 b,,2.13000,,,,,,,,,,312.00000000,5.00000000,5.00000000,5.00000000,5.00000000,0.150000,0.050000,0.050000,0.050000,0.050000,,,,,,,2000,,
HR 8799 b,HR 8799 b,,7.00000,2.00000,4.00000,2.00000,4.00000,1.200,0.100,0.100,0.100,0.100,170000.00000000,,,,,,,,,,,,,,,,2008,,
HR 8799 c,HR 8799 c,,10.00000,3.00000,3.00000,3.00000,3.00000,1.200,0.000,0.100,0.000,0.100,69000.00000000,,,,,,,,,,,,,,,,2008,,
HR 8799 e,HR 8799 e,,,,,,,,,,,,18000.00000000,,,,,,,,,,,,,,,,2010,,
K2-3 c,K2-3 c,,,,,,,0.165,0.024,0.024,0.024,0.024,24.64354000,0.00117000,0.00117000,0.00117000,0.00117000,,,,,,344,29,29,29,29,,2015,,
KELT-1 b,KELT-1 b,,27.23000,0.48000,0.50000,0.48000,0.50000,1.110,0.022,0.032,0.022,0.032,1.21751400,0.00001500,0.00001500,0.00001500,0.00001500,0.009900,0.006900,0.010000,0.006900,0.010000,,,,,,,2012,,
