star_name,star_name,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_age_error_min,star_age_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_teff,star_teff_error_min,star_teff_error_max,Spectral type,mag_v,Visual magnitude errorminus,Visual magnitude errorplus,source (xml)
BD+20 274,bd+20274,0.8,0.2,0.2,17.3,0.9,0.9,,,,,,-0.46,0.07,0.07,4296.0,10.0,10.0,,9.36,,,
BD+20 594,bd+20594,0.961,0.029,0.032,0.928,0.04,0.055,3.34,1.49,1.95,1.49,1.95,-0.15,0.05,0.05,5766.0,99.0,99.0,,11.0,,,
BD+24 4697,bd+244697,0.75,0.05,0.05,,,,,,,,,-0.11,0.02,0.02,5077.0,32.0,32.0,,9.74,,,
BD+26 1888,bd+261888,0.76,0.08,0.08,,,,,,,,,0.02,0.04,0.04,4748.0,87.0,87.0,,9.76,,,
BD +48 738,bd+48738,0.74,0.39,0.39,11.0,1.0,1.0,,,,,,-0.2,0.07,0.07,4414.0,15.0,15.0,,9.14,,,
BD+49 828,bd+49828,1.52,0.22,0.22,7.6,1.3,1.3,2.3,,,,,-0.19,0.06,0.06,4943.0,30.0,30.0,,9.38,,,
BD-06 1339,bd-061339,0.7,,,,,,4.4,4.0,4.0,4.0,4.0,-0.14,0.17,0.17,4324.0,100.0,100.0,,6.69,,,
BD-08 2823,bd-082823,0.74,0.07,0.07,,,,4.5,4.0,4.0,4.0,4.0,-0.07,0.03,0.03,4746.0,63.0,63.0,,9.86,,,
BD-10 3166,bd-103166,0.99,,,1.71,,,4.18,,,,,0.5,,,5400.0,,,,10.08,,,
BD-11 4672,bd-114672,0.571,0.014,0.014,0.52,0.02,0.02,4.4,4.0,4.0,4.0,4.0,-0.48,0.05,0.05,4475.0,100.0,100.0,,10.02,,,
BD-17 63,bd-1763,0.74,0.03,0.03,0.69,,,4.3,4.0,4.0,4.0,4.0,-0.03,0.06,0.06,4714.0,93.0,93.0,,9.62,,,
CD-35 2722,cd-352722,0.4,0.05,0.05,,,,0.1,0.05,0.05,0.05,0.05,0.04,0.5,0.5,3680.0,100.0,100.0,,10.98,,,
CFBDS 1458,cfbds1458,0.024,0.016,0.016,,,,3.0,2.0,2.0,2.0,2.0,,,,540.0,60.0,60.0,,,,,
CHXR 73,chxr73,0.35,0.0,0.0,,,,0.002,,,,,,,,,,,,,,,
CL Tau,cltau,0.8,0.02,0.02,,,,0.002,,,,,,,,,,,,13.0,,,
CT Cha,ctcha,,,,,,,0.002,0.002,0.002,0.002,0.002,,,,,,,,12.36,,,
CVSO 30,cvso30,0.39,0.05,0.05,1.39,,,0.00265,3e-05,3e-05,3e-05,3e-05,,,,3740.0,,,,16.26,,,
CoRoT-1,corot-1,0.95,0.15,0.15,1.11,0.05,0.05,,,,,,0.06,0.07,0.07,6298.0,66.0,66.0,,13.6,,,
CoRoT-10,corot-10,0.89,0.05,0.05,0.79,0.05,0.05,3.0,inf,nan,inf,nan,0.26,0.07,0.07,5075.0,75.0,75.0,,15.22,,,
CoRoT-11,corot-11,1.27,0.05,0.05,1.36,0.13,0.13,2.0,1.0,1.0,1.0,1.0,0.04,0.03,0.03,6343.0,72.0,72.0,,12.94,,,
CoRoT-12,corot-12,1.078,0.072,0.072,1.116,0.092,0.092,6.3,3.1,3.1,3.1,3.1,0.16,0.1,0.1,5675.0,80.0,80.0,,15.52,,,
