star_name,star_name,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_age_error_min,star_age_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_teff,star_teff_error_min,star_teff_error_max,Spectral type,mag_v,Visual magnitude errorminus,Visual magnitude errorplus,source (xml)
HD 290327,hd290327,0.9,,,1.0,0.01,0.01,,,,,,-0.11,0.02,0.02,5552.0,21.0,21.0,,8.96,,,
HD 2952,hd2952,2.54,0.09,0.12,12.02,1.06,1.16,,,,,,0.0,0.04,0.04,4844.0,20.0,20.0,,5.93,,,
HD 30177,hd30177,0.95,0.05,0.05,1.12,,,8.4,,,,,0.19,0.09,0.09,5320.0,20.0,20.0,,8.41,,,
HD 30562,hd30562,1.219,0.04,0.04,1.637,0.06,0.06,4.0,,,,,0.243,0.04,0.04,5861.0,44.0,44.0,,5.77,,,
HD 30669,hd30669,0.92,0.03,0.03,0.91,0.04,0.04,4.8,4.0,4.0,4.0,4.0,0.13,0.06,0.06,5400.0,74.0,74.0,,9.11,,,
HD 30856,hd30856,1.35,0.094,0.094,4.2,0.1,0.1,3.8,1.0,1.0,1.0,1.0,-0.06,0.03,0.03,4982.0,44.0,44.0,,8.07,,,
HD 31253,hd31253,1.23,0.05,0.05,1.71,,,3.0,,,,,0.16,,,5960.0,,,,7.13,,,
HD 31527,hd31527,,,,,,,,,,,,,,,,,,,7.48,,,
HD 32518,hd32518,1.13,0.18,0.18,10.22,0.87,0.87,5.83,2.58,2.58,2.58,2.58,-0.15,0.04,0.04,4580.0,70.0,70.0,,6.44,,,
HD 32963,hd32963,0.94,,,,,,4.99,3.6,6.7,3.6,6.7,0.11,0.05,0.05,5727.0,32.0,32.0,,7.6,,,
HD 330075,hd330075,0.95,,,,,,6.21,,,,,0.03,,,6295.0,,,,9.36,,,
HD 33142,hd33142,1.48,0.1,0.1,4.2,0.1,0.1,3.0,0.4,0.4,0.4,0.4,0.05,0.03,0.03,5052.0,44.0,44.0,,8.13,,,
HD 33283,hd33283,1.24,0.1,0.1,1.2,0.1,0.1,3.2,2.3,2.3,2.3,2.3,0.366,0.05,0.05,5995.0,50.0,50.0,,8.05,,,
HD 33564,hd33564,1.25,0.04,0.04,1.1,,,3.0,0.3,0.3,0.3,0.3,-0.12,,,6250.0,,,,5.08,,,
HD 33844,hd33844,1.75,,,,,,2.1,0.3,0.3,0.3,0.3,,,,4827.0,,,,,,,
HD 34445,hd34445,1.07,0.02,0.02,1.38,0.08,0.08,8.5,2.0,2.0,2.0,2.0,0.14,0.04,0.04,5836.0,44.0,44.0,,7.31,,,
HD 35759,hd35759,1.15,0.08,0.08,,,,,,,,,0.04,0.02,0.02,6060.0,30.0,30.0,,7.74,,,
HD 3651,hd3651,0.79,,,0.947,0.032,0.032,5.13,,,,,0.05,0.05,0.05,5173.0,,,,5.8,,,
HD 37124,hd37124,0.83,,,0.82,,,3.33,,,,,-0.442,,,5610.0,70.0,70.0,,7.68,,,
HD 37605,hd37605,1.0,0.05,0.05,0.9,0.045,0.045,7.0,,,,,0.34,0.03,0.03,5448.0,44.0,44.0,,8.66,,,
HD 38283,hd38283,1.085,0.02,0.02,,,,5.4,1.5,1.5,1.5,1.5,-0.24,0.07,0.07,5945.0,100.0,100.0,,6.7,,,
HD 38529,hd38529,1.48,0.05,0.05,2.44,0.22,0.22,3.28,0.3,0.3,0.3,0.3,0.27,0.05,0.05,5697.0,,,,5.94,,,
HD 38801,hd38801,1.36,0.09,0.09,2.53,0.13,0.13,4.67,2.56,2.56,2.56,2.56,0.26,0.03,0.03,5222.0,44.0,44.0,,8.26,,,
HD 38858,hd38858,,,,,,,,,,,,,,,,,,,5.97,,,
HD 39091,hd39091,1.1,,,2.1,0.6,0.6,3.83,,,,,0.09,,,5888.0,,,,5.67,,,
HD 39194,hd39194,,,,,,,,,,,,,,,,,,,8.08,,,
HD 39392,hd39392,1.08,0.08,0.08,,,,,,,,,0.32,0.03,0.03,5951.0,25.0,25.0,,8.38,,,
HD 40307,hd40307,0.77,0.05,0.05,,,,,,,,,-0.31,0.03,0.03,4977.0,59.0,59.0,,7.17,,,
HD 40979,hd40979,1.1,,,1.21,,,1.48,,,,,0.194,,,6205.0,50.0,50.0,,6.74,,,
HD 41004 A,hd41004a,0.7,,,,,,1.64,,,,,-0.09,0.1,0.1,5035.0,,,,8.65,,,
HD 41004 B,hd41004b,0.4,,,,,,1.56,0.8,0.8,0.8,0.8,-0.01,,,5035.0,,,,12.33,,,
HD 4113,hd4113,0.99,,,,,,4.8,0.0,0.0,0.0,0.0,0.2,0.04,0.04,5688.0,26.0,26.0,,7.88,,,
HD 4203,hd4203,1.13,,,1.33,,,9.41,,,,,0.453,,,5701.0,,,,8.68,,,
HD 4208,hd4208,0.87,,,0.85,,,4.47,,,,,-0.284,,,5571.0,,,,7.79,,,
HD 42618,hd42618,1.015,0.061,0.061,0.999,0.087,0.087,,,,,,-0.09,0.04,0.04,5727.0,60.0,60.0,,6.84,,,
HD 4308,hd4308,0.85,,,0.92,,,7.1,3.0,3.0,3.0,3.0,-0.34,,,5597.0,,,,6.54,,,
HD 4313,hd4313,1.72,0.12,0.12,4.9,0.1,0.1,2.0,0.5,0.5,0.5,0.5,0.14,0.03,0.03,5035.0,44.0,44.0,,7.83,,,
HD 43197,hd43197,0.96,,,1.0,0.001,0.001,,,,,,0.4,0.04,0.04,5508.0,46.0,46.0,,8.95,,,
HD 43691,hd43691,1.38,0.05,0.05,,,,2.8,0.8,0.8,0.8,0.8,0.28,0.05,0.05,6200.0,40.0,40.0,,8.03,,,
HD 44219,hd44219,1.0,,,1.32,0.07,0.07,,,,,,0.03,0.01,0.01,5752.0,16.0,16.0,,7.69,,,
HD 45184,hd45184,,,,,,,,,,,,,,,,,,,6.37,,,
HD 45350,hd45350,1.02,,,1.27,,,5.59,,,,,0.29,,,5754.0,,,,7.88,,,
HD 45364,hd45364,0.82,0.05,0.05,,,,,,,,,-0.17,0.01,0.01,5434.0,20.0,20.0,,8.08,,,
HD 45652,hd45652,0.83,0.05,0.05,,,,,,,,,0.29,0.07,0.07,5312.0,68.0,68.0,,8.1,,,
HD 46375,hd46375,0.91,,,1.0,,,4.96,,,,,0.24,,,5199.0,,,,7.94,,,
HD 47186,hd47186,0.99,,,,,,,,,,,0.23,0.02,0.02,5675.0,21.0,21.0,,7.8,,,
HD 4732,hd4732,1.74,0.14,0.2,5.4,0.4,0.4,,,,,,0.01,0.04,0.04,4959.0,25.0,25.0,,5.9,,,
HD 47366,hd47366,1.81,0.13,0.13,7.3,0.33,0.33,1.61,0.53,0.53,0.53,0.53,-0.02,0.09,0.09,4866.0,100.0,100.0,,6.11,,,
HD 4747,hd4747,0.82,0.04,0.04,0.79,0.03,0.03,3.3,1.9,2.3,1.9,2.3,-0.22,0.04,0.04,5340.0,40.0,40.0,,7.15,,,
HD 47536,hd47536,0.94,0.06,0.06,23.47,1.97,1.97,9.33,1.88,1.88,1.88,1.88,-0.68,,,4380.0,,,,5.25,,,
HD 48265,hd48265,0.93,,,,,,,,,,,0.17,,,,,,,8.07,,,
HD 49674,hd49674,1.07,,,0.94,,,2.38,,,,,0.25,,,5482.0,,,,8.1,,,
HD 50499,hd50499,1.27,,,1.38,,,6.0,,,,,0.23,,,5902.0,,,,7.22,,,
HD 50554,hd50554,1.04,,,1.11,0.33,0.33,4.58,,,,,-0.07,,,5902.0,,,,6.86,,,
HD 51608,hd51608,,,,,,,,,,,,,,,,,,,8.17,,,
HD 52265,hd52265,1.2,,,1.25,,,4.88,,,,,0.21,0.06,0.06,6159.0,53.0,53.0,,6.3,,,
HD 5319,hd5319,1.56,0.18,0.18,3.26,0.41,0.41,2.4,0.68,0.68,0.68,0.68,0.15,0.05,0.05,5052.0,50.0,50.0,,8.05,,,
HD 5583,hd5583,1.01,0.1,0.1,9.09,1.5,1.5,7.4,,,,,-0.5,0.18,0.18,4830.0,45.0,45.0,,7.6,,,
HD 5608,hd5608,1.55,0.2,0.2,5.5,0.4,0.4,,,,,,0.06,0.04,0.04,4854.0,25.0,25.0,,6.0,,,
HD 564,hd564,0.92,0.03,0.03,1.01,0.05,0.05,5.5,3.1,3.1,3.1,3.1,0.13,0.06,0.06,5902.0,61.0,61.0,,8.29,,,
HD 5891,hd5891,1.91,0.13,0.13,8.7,0.2,0.2,1.5,0.8,0.8,0.8,0.8,-0.02,0.03,0.03,4907.0,44.0,44.0,,8.25,,,
HD 60532,hd60532,1.44,0.1,0.1,,,,2.7,0.1,0.1,0.1,0.1,-0.26,,,6095.0,,,,4.45,,,
HD 62509,hd62509,1.47,0.45,0.45,9.3,,,,,,,,0.19,,,4666.0,95.0,95.0,,1.15,,,
HD 63454,hd63454,0.8,,,,,,1.0,,,,,0.11,0.07,0.07,4841.0,65.0,65.0,,9.37,,,
HD 63765,hd63765,0.865,0.029,0.029,,,,4.77,4.07,4.07,4.07,4.07,-0.16,0.01,0.01,5432.0,19.0,19.0,,8.1,,,
HD 6434,hd6434,0.79,,,0.57,,,3.8,,,,,-0.52,,,5835.0,,,,7.72,,,
HD 65216,hd65216,0.92,,,,,,,,,,,-0.12,,,5666.0,,,,7.98,,,
HD 66141,hd66141,1.1,0.1,0.1,21.4,0.6,0.6,6.84,1.39,1.39,1.39,1.39,-0.32,0.034,0.034,4305.0,15.0,15.0,,4.39,,,
HD 66428,hd66428,1.14552,,,,,,5.56,,,,,0.31,,,5752.0,,,,8.25,,,
HD 67087,hd67087,1.36,0.04,0.04,1.55,0.32,0.32,1.45,0.51,0.51,0.51,0.51,0.25,0.04,0.04,6330.0,47.0,47.0,,8.05,,,
HD 6718,hd6718,0.96,,,1.02,0.03,0.03,,,,,,-0.06,0.02,0.02,5745.0,19.0,19.0,,8.45,,,
HD 68402,hd68402,1.12,0.05,0.05,1.02,0.05,0.05,2.0,2.0,3.0,2.0,3.0,0.29,0.1,0.1,5950.0,100.0,100.0,,9.11,,,
HD 68988,hd68988,1.2,,,1.14,,,6.78,,,,,0.24,,,5767.0,,,,8.21,,,
HD 69830,hd69830,0.86,0.03,0.03,0.895,0.005,0.005,7.0,3.0,3.0,3.0,3.0,-0.05,0.02,0.02,5385.0,20.0,20.0,,5.95,,,
HD 70642,hd70642,1.0,0.05,0.05,0.84,,,3.88,,,,,0.16,0.02,0.02,5670.0,20.0,20.0,,7.17,,,
HD 7199,hd7199,0.89,,,0.96,,,6.79,0.78,0.78,0.78,0.78,0.28,0.03,0.03,5386.0,45.0,45.0,,8.06,,,
HD 72659,hd72659,0.95,2.0,2.0,1.36,0.06,0.06,6.5,1.5,1.5,1.5,1.5,-0.02,0.01,0.01,5926.0,62.0,62.0,,7.46,,,
HD 72892,hd72892,1.02,0.05,0.05,1.22,0.06,0.06,8.0,3.0,3.0,3.0,3.0,0.25,0.1,0.1,5688.0,100.0,100.0,,8.83,,,
HD 73256,hd73256,1.05,,,0.89,,,0.83,,,,,0.29,0.05,0.05,5570.0,50.0,50.0,,8.08,,,
HD 73267,hd73267,0.89,0.03,0.03,1.04,,,7.4,4.5,4.5,4.5,4.5,0.03,0.02,0.02,5317.0,34.0,34.0,,8.9,,,
HD 73526,hd73526,1.08,0.05,0.05,1.49,,,5.59,,,,,0.25,0.05,0.05,5590.0,,,,9.0,,,
HD 73534,hd73534,1.29,0.1,0.1,2.65,0.1,0.1,,,,,,0.16,0.04,0.04,4952.0,50.0,50.0,,8.24,,,
HD 74156,hd74156,1.24,0.04,0.04,1.64,0.19,0.19,3.7,0.4,0.4,0.4,0.4,0.13,,,5960.0,100.0,100.0,,7.62,,,
HD 7449,hd7449,1.05,,,1.01,,,2.1,0.24,0.24,0.24,0.24,-0.11,0.01,0.01,6024.0,13.0,13.0,,7.5,,,
HD 75289,hd75289,1.05,,,1.25,,,4.96,,,,,0.29,,,6120.0,45.0,45.0,,6.35,,,
HD 75784,hd75784,1.41,0.08,0.08,3.3,0.3,0.3,4.0,0.7,0.7,0.7,0.7,0.25,0.03,0.03,4917.0,44.0,44.0,,7.84,,,
HD 75898,hd75898,1.28,0.13,0.13,1.6,0.18,0.18,3.8,0.8,0.8,0.8,0.8,0.27,0.05,0.05,6021.0,50.0,50.0,,8.04,,,
HD 76700,hd76700,1.0,0.05,0.05,1.33,,,4.51,,,,,0.14,,,5726.0,28.0,28.0,,8.13,,,
HD 77065,hd77065,0.75,0.06,0.06,,,,,,,,,-0.51,0.1,0.1,4990.0,100.0,100.0,,8.8,,,
HD 77338,hd77338,0.93,0.05,0.05,0.88,0.04,0.04,3.97,4.23,3.0,4.23,3.0,0.35,0.06,0.06,5370.0,82.0,82.0,,8.63,,,
HD 7924,hd7924,0.832,0.036,0.036,0.78,0.02,0.02,,,,,,-0.15,0.03,0.03,5177.0,44.0,44.0,,7.185,,,
HD 79498,hd79498,1.06,,,,,,2.7,,,,,0.24,0.06,0.06,5740.0,100.0,100.0,,8.03,,,
HD 80606,hd80606,0.98,0.1,0.1,0.98,0.07,0.07,7.63,,,,,0.43,0.06,0.06,5645.0,45.0,45.0,,8.93,,,
HD 81040,hd81040,0.96,0.04,0.04,0.86,0.04,0.04,4.18,,,,,-0.16,0.06,0.06,5700.0,50.0,50.0,,7.72,,,
HD 81688,hd81688,2.1,,,13.0,,,,,,,,-0.359,0.02,0.02,4753.0,15.0,15.0,,5.41,,,
HD 82886,hd82886,1.06,0.074,0.074,4.8,0.1,0.1,7.0,2.0,2.0,2.0,2.0,-0.31,0.03,0.03,5112.0,44.0,44.0,,7.78,,,
HD 82943,hd82943,1.18,,,1.12,,,3.08,,,,,0.32,,,5874.0,,,,6.54,,,
HD 83443,hd83443,0.9,,,1.04,,,2.94,,,,,0.35,,,5460.0,100.0,100.0,,8.23,,,
HD 8535,hd8535,1.13,,,1.19,0.04,0.04,,,,,,0.02,,,6136.0,18.0,18.0,,7.7,,,
HD 85390,hd85390,0.76,,,,,,7.2,,,,,-0.07,0.03,0.03,5186.0,54.0,54.0,,8.54,,,
HD 85512,hd85512,0.69,,,,,,5.61,0.61,0.61,0.61,0.61,-0.33,0.03,0.03,4715.0,102.0,102.0,,7.67,,,
HD 8574,hd8574,1.17,,,1.37,,,7.13,,,,,0.05,0.07,0.07,6080.0,50.0,50.0,,7.12,,,
HD 86081,hd86081,1.21,0.05,0.05,1.22,0.1,0.1,6.21,,,,,0.257,0.03,0.03,6028.0,44.0,44.0,,8.73,,,
HD 86226,hd86226,1.02,,,,,,,,,,,-0.04,,,,,,,7.93,,,
HD 86264,hd86264,1.42,0.05,0.05,1.88,0.12,0.12,2.24,,,,,0.202,0.04,0.04,6210.0,44.0,44.0,,7.42,,,
HD 8673,hd8673,1.35,0.1,0.1,1.39,0.1,0.1,1.95,,,,,0.14,0.05,0.05,6472.0,51.0,51.0,,7.57,,,
HD 86950,hd86950,1.66,0.25,0.25,8.8,0.6,0.6,,,,,,0.04,0.1,0.1,4805.0,100.0,100.0,,7.46,,,
HD 87646 A,hd87646a,1.12,0.09,0.09,1.55,0.22,0.22,,,,,,-0.17,0.08,0.08,5770.0,80.0,80.0,,8.0,,,
HD 87883,hd87883,0.82,0.04,0.04,0.76,0.03,0.03,9.8,,,,,0.093,0.04,0.04,4980.0,44.0,44.0,,7.57,,,
HD 88133,hd88133,1.2,0.2,0.2,1.93,,,9.56,,,,,0.34,0.04,0.04,5494.0,,,,8.01,,,
HD 89307,hd89307,1.028,0.04,0.04,1.05,0.04,0.04,6.76,,,,,-0.14,0.04,0.04,5950.0,44.0,44.0,,7.06,,,
HD 89744,hd89744,1.4,0.09,0.09,2.14,0.1,0.1,2.04,,,,,0.18,,,6196.0,43.0,43.0,,5.74,,,
HD 90156,hd90156,0.84,,,,,,4.4,,,,,-0.24,0.01,0.01,5599.0,12.0,12.0,,6.95,,,
HD 9174,hd9174,1.03,0.05,0.05,1.67,0.07,0.07,9.0,3.0,3.0,3.0,3.0,0.39,0.1,0.1,5577.0,100.0,100.0,,8.4,,,
HD 92788,hd92788,1.13,,,0.99,,,3.78,,,,,0.32,,,5559.0,,,,7.31,,,
HD 93083,hd93083,0.7,0.04,0.04,,,,6.0,,,,,0.15,0.06,0.06,4995.0,50.0,50.0,,8.3,,,
HD 93385,hd93385,,,,,,,,,,,,,,,,,,,7.49,,,
HD 9446,hd9446,1.0,0.1,0.1,1.0,,,,,,,,0.09,0.05,0.05,5793.0,22.0,22.0,,8.35,,,
HD 95086,hd95086,1.6,,,,,,0.017,0.004,0.004,0.004,0.004,,,,7550.0,100.0,100.0,,7.36,,,
HD 95089,hd95089,1.58,0.11,0.11,4.9,0.1,0.1,2.5,0.9,0.9,0.9,0.9,0.05,0.03,0.03,5002.0,44.0,44.0,,7.92,,,
HD 95127,hd95127,1.2,0.22,0.22,20.0,9.0,9.0,5.5,4.7,2.5,4.7,2.5,-0.18,0.05,0.05,4218.0,69.0,69.0,,8.15,,,
HD 9578,hd9578,1.12,,,,,,,,,,,0.11,,,,,,,8.21,,,
HD 95872,hd95872,0.95,,,,,,10.0,3.7,3.7,3.7,3.7,0.41,0.09,0.09,5312.0,100.0,100.0,,9.9,,,
HD 96063,hd96063,1.02,0.072,0.072,4.5,0.1,0.1,9.0,3.0,3.0,3.0,3.0,-0.3,0.03,0.03,5148.0,44.0,44.0,,8.37,,,
HD 96127,hd96127,0.91,0.25,0.25,35.0,17.0,17.0,,,,,,-0.24,0.1,0.1,4152.0,23.0,23.0,,7.43,,,
HD 96167,hd96167,1.31,0.09,0.09,1.86,0.07,0.07,3.8,1.0,1.0,1.0,1.0,0.34,0.06,0.06,5770.0,70.0,70.0,,8.09,,,
HD 96700,hd96700,,,,,,,,,,,,,,,,,,,6.5,,,
HD 97658,hd97658,0.85,0.02,0.02,0.73,0.02,0.02,,,,,,-0.23,0.03,0.03,5170.0,44.0,44.0,,6.27,,,
HD 98219,hd98219,1.3,0.091,0.091,4.5,0.1,0.1,4.0,1.0,1.0,1.0,1.0,-0.02,0.03,0.03,4992.0,44.0,44.0,,8.21,,,
HD 98649,hd98649,,,,,,,,,,,,,,,,,,,8.03,,,
HD 99109,hd99109,0.93,,,,,,12.2,nan,inf,nan,inf,0.315,,,5272.0,,,,9.1,,,
HD 99492,hd99492,0.83,,,0.96,0.11,0.11,4.0,,,,,0.36,,,4740.0,,,,7.38,,,
HD 99706,hd99706,1.72,0.12,0.12,5.4,0.1,0.1,2.1,0.4,0.4,0.4,0.4,0.14,0.03,0.03,4932.0,44.0,44.0,,7.81,,,
HD169142,hd169142,1.65,,,1.6,,,12.0,,,,,,,,7650.0,150.0,150.0,,8.16,,,
HII 1348,hii1348,,,,,,,,,,,,,,,,,,,12.8,,,
HIP 105854,hip105854,2.1,0.1,0.1,,,,,,,,,0.31,0.18,0.18,4780.0,100.0,100.0,,5.64,,,
HIP 107773,hip107773,2.42,0.27,0.27,11.6,1.4,1.4,,,,,,0.03,0.1,0.1,4945.0,100.0,100.0,,5.62,,,
HIP 109384,hip109384,0.78,0.06,0.06,,,,,,,,,-0.26,0.03,0.03,5180.0,65.0,65.0,,9.63,,,
HIP 109600,hip109600,0.87,0.06,0.06,,,,,,,,,-0.12,0.02,0.02,5530.0,35.0,35.0,,9.16,,,
HIP 116454,hip116454,0.775,0.027,0.027,0.716,0.024,0.024,,,,,,-0.16,0.08,0.08,5089.0,50.0,50.0,,10.19,,,
HIP 11915,hip11915,1.0,,,,,,4.0,0.6,0.6,0.6,0.6,-0.059,0.004,0.004,5760.0,4.0,4.0,,8.58,,,
HIP 12961,hip12961,0.67,,,,,,,,,,,-0.07,,,,,,,10.31,,,
HIP 14810,hip14810,0.99,0.04,0.04,1.0,0.06,0.06,,,,,,0.26,0.03,0.03,5485.0,44.0,44.0,,8.52,,,
HIP 41378,hip41378,1.15,0.064,0.064,1.4,0.19,0.19,,,,,,-0.11,0.08,0.08,6199.0,50.0,50.0,,8.9,,,
HIP 5158,hip5158,0.78,0.021,0.021,,,,6.0,inf,nan,inf,nan,0.1,0.07,0.07,4962.0,89.0,89.0,,10.21,,,
HIP 57050,hip57050,0.34,0.03,0.03,0.4,,,,,,,,0.32,0.06,0.06,3190.0,,,,11.9,,,
HIP 57274,hip57274,0.73,0.05,0.05,0.68,0.03,0.03,7.87,5.0,5.0,5.0,5.0,0.09,0.05,0.05,4640.0,100.0,100.0,,8.96,,,
HIP 63242,hip63242,1.54,0.05,0.05,,,,,,,,,-0.31,0.09,0.09,,,,,6.86,,,
HIP 65407,hip65407,0.93,0.07,0.07,,,,,,,,,0.25,0.04,0.04,5460.0,50.0,50.0,,9.42,,,
HIP 65891,hip65891,2.5,0.21,0.21,8.93,1.02,1.02,,,,,,0.16,0.1,0.1,5000.0,100.0,100.0,,6.75,,,
HIP 67851,hip67851,1.63,0.22,0.22,5.52,0.44,0.44,,,,,,0.0,0.1,0.1,4890.0,100.0,100.0,,6.17,,,
HIP 68468,hip68468,1.05,0.01,0.01,,,,5.9,0.4,0.4,0.4,0.4,0.065,0.007,0.007,5857.0,8.0,8.0,,,,,
HIP 70849,hip70849,0.63,0.03,0.03,,,,3.0,2.0,2.0,2.0,2.0,,,,4105.0,130.0,130.0,,10.36,,,
HIP 73990,hip73990,1.72,0.1,0.1,,,,0.015,0.005,0.005,0.005,0.005,,,,7450.0,80.0,80.0,,8.12,,,
HIP 74865,hip74865,1.42,0.05,0.05,,,,0.015,0.005,0.005,0.005,0.005,,,,6640.0,10.0,10.0,,9.0,,,
HIP 74890,hip74890,1.74,0.21,0.21,5.77,0.53,0.53,,,,,,0.2,0.13,0.13,4850.0,100.0,100.0,,7.05,,,
HIP 75458,hip75458,1.4,0.2,0.2,12.8,0.17,0.17,,,,,,0.15,0.2,0.2,4445.0,45.0,45.0,,3.31,,,
HIP 77900,hip77900,,,,,,,,,,,,,,,13700.0,1550.0,1200.0,,,,,
HIP 78530,hip78530,2.5,0.0,0.0,,,,0.011,0.002,0.002,0.002,0.002,,,,10500.0,0.0,0.0,,7.18,,,
HIP 79431,hip79431,0.49,0.05,0.05,,,,,,,,,0.4,0.1,0.1,3191.0,100.0,100.0,,11.34,,,
HIP 8541,hip8541,1.17,0.3,0.3,7.83,1.0,1.0,,,,,,-0.15,0.08,0.08,4670.0,100.0,100.0,,7.9,,,
HIP 91258,hip91258,0.95,0.03,0.03,,,,2.4,2.4,2.4,2.4,2.4,0.23,0.05,0.05,5519.0,70.0,70.0,,8.65,,,
HIP 97233,hip97233,1.93,0.11,0.11,5.34,0.55,0.55,,,,,,0.29,0.13,0.13,5020.0,100.0,100.0,,7.34,,,
HN Peg,hnpeg,1.0,,,,,,0.2,,,,,,,,,,,,6.0,,,
HR 2562,hr2562,1.3,,,,,,0.6,0.3,0.3,0.3,0.3,0.015,0.065,0.065,,,,,6.114,,,
HR 3549,hr3549,,,,,,,0.125,0.025,0.025,0.025,0.025,,,,10207.0,347.0,347.0,,6.01,,,
HR 7329,hr7329,,,,,,,0.03,0.03,0.0,0.03,0.0,,,,,,,,5.0,,,
HR 810,hr810,1.11,0.07,0.07,1.85,0.85,0.85,3.6,3.1,3.1,3.1,3.1,0.25,,,5997.0,,,,5.4,,,
 H2O,h2o,,,1.56,,,1.5,0.3,a5v,0.06,a5v,0.06,1.0,1.0,-0.47,0.03,0.03,,,346.8708333,,,
HR 8799,hr8799,1.56,,,1.5,0.3,0.3,0.06,0.03,0.03,0.03,0.03,-0.47,,,,,,,5.96,,,
HU Aqr (AB),huaqr(ab),1.0,,,,,,,,,,,,,,,,,,15.0,,,
HW Vir (AB),hwvir(ab),0.627,0.013,0.013,,,,,,,,,,,,,,,,10.9,,,
J1433,j1433,0.8,0.07,0.07,,,,,,,,,,,,13200.0,200.0,200.0,,,,,
K2-10,k2-10,0.92,0.05,0.05,0.98,0.08,0.08,,,,,,-0.07,0.07,0.07,5620.0,70.0,70.0,,12.5,,,
K2-11,k2-11,1.35,0.56,0.04,5.15,4.39,0.2,,,,,,-0.12,0.17,0.01,5433.0,144.0,49.0,,,,,
K2-12,k2-12,1.01,0.06,0.05,1.01,0.09,0.27,,,,,,0.03,0.17,0.13,5800.0,90.0,53.0,,,,,
K2-13,k2-13,0.8,0.04,0.04,0.78,0.05,0.09,0.78,0.05,0.09,0.05,0.09,-0.54,0.14,0.12,5698.0,82.0,45.0,,,,,
K2-14,k2-14,0.47,0.01,0.01,0.45,0.01,0.01,,,,,,-0.37,0.04,0.03,3789.0,16.0,17.0,,,,,
K2-15,k2-15,0.72,0.03,0.06,0.68,0.03,0.06,,,,,,-0.46,0.14,0.2,5131.0,,,,,,,
K2-16,k2-16,0.68,0.03,0.03,0.66,0.03,0.03,,,,,,-0.33,0.04,0.04,4761.0,57.0,50.0,,14.298,,,
K2-17,k2-17,0.71,0.05,0.02,0.66,0.03,0.02,,,,,,0.15,0.22,0.09,4320.0,47.0,56.0,,,,,
K2-18,k2-18,0.413,0.043,0.043,0.394,0.038,0.038,,,,,,0.09,0.09,0.09,3503.0,60.0,60.0,,,,,
K2-19,k2-19,0.93,0.05,0.05,0.86,0.04,0.04,8.0,inf,nan,inf,nan,0.1,0.04,0.04,5430.0,60.0,60.0,,12.806,,,
KE-24 ,ke-24,1.12,0.05,0.05,1.21,0.11,0.11,5.0,1.8,1.8,1.8,1.8,0.42,0.04,0.04,5743.0,60.0,60.0,,11.648,,,
K2-26,k2-26,,,,,,,,,,,,,,,,,,,13.0,,,
K2-27,k2-27,0.89,0.05,0.05,0.85,0.06,0.06,,,,,,0.14,0.07,0.07,5320.0,70.0,70.0,,,,,
K2-28,k2-28,0.257,0.048,0.048,0.288,0.028,0.028,,,,,,0.26,0.1,0.1,3214.0,60.0,60.0,,,,,
K2-3,k2-3,0.612,0.086,0.086,0.553,0.041,0.041,1.0,inf,nan,inf,nan,-0.3,0.06,0.07,3951.0,38.0,33.0,,12.17,,,
K2-30,k2-30,0.984,0.02,0.02,0.941,0.041,0.041,,,,,,0.136,,,5581.0,38.0,38.0,,13.5,,,
EPIC 205117205,epic205117205,0.54,0.07,0.11,1.06,0.07,0.07,0.0095,0.0011,0.0014,0.0011,0.0014,,,,3540.0,70.0,70.0,,16.0,,,
K2-34,k2-34,1.281,0.091,0.055,1.526,0.076,0.076,,,,,,0.24,0.22,0.22,6132.0,47.0,47.0,,11.5,,,
K2-39,k2-39,1.53,0.13,0.13,3.88,0.42,0.48,3.09,0.7,0.92,0.7,0.92,0.32,0.04,0.04,4881.0,20.0,20.0,,10.83,,,
K2-4,k2-4,0.63,0.03,0.03,0.6,0.02,0.02,,,,,,-0.12,0.12,0.1,4197.0,43.0,45.0,,,,,
K2-5,k2-5,0.53,0.01,0.01,0.52,0.01,0.01,,,,,,-0.51,0.06,0.04,4102.0,41.0,45.0,,,,,
K2-6,k2-6,0.97,0.07,0.07,0.96,0.09,0.14,,,,,,-0.14,0.2,0.17,5850.0,98.0,79.0,,,,,
K2-7,k2-7,0.97,0.06,0.06,0.96,0.08,0.17,,,,,,-0.07,0.16,0.16,5772.0,91.0,72.0,,,,,
K2-9,k2-9,0.24,0.03,0.05,0.25,0.03,0.04,,,,,,-0.46,0.1,0.12,3468.0,19.0,20.0,,,,,
K2-95,k2-95,0.361,0.069,0.069,0.402,0.05,0.05,0.8,,,,,0.11,0.17,0.17,3471.0,124.0,124.0,,,,,
EPIC 212803289,epic212803289,1.6,0.1,0.14,3.1,0.1,0.1,2.4,0.6,0.2,0.6,0.2,0.2,0.05,0.05,5990.0,40.0,40.0,,11.149,,,
KELT-1,kelt-1,1.335,0.063,0.063,1.471,0.045,0.045,1.75,0.25,0.25,0.25,0.25,0.052,0.079,0.079,6516.0,49.0,49.0,,10.7,,,
