pl_hostname,pl_hostname,st_mass,st_masserr2,st_masserr1,st_rad,st_raderr2,st_raderr1,st_age,st_ageerr2,st_ageerr1,Age [Gyr] lowerlimit,Age [Gyr] upperlimit,st_metfe,st_metfeerr2,st_metfeerr1,st_teff,st_tefferr2,st_tefferr1,Spectral type,st_optmag,st_optmagerr,st_optmagerr,source (xml)
Kepler-945,Kepler-945,0.97,0.06,0.05,0.97,0.09,0.17,4.470,2.700,4.080,,,-0.010,0.192,0.134,5718.00,104.43,119.29,,15.898,,,
Kepler-946,Kepler-946,0.94,0.07,0.08,0.93,0.09,0.15,4.170,2.470,4.640,,,-0.090,0.199,0.159,5665.00,144.77,263.42,,14.941,,,
Kepler-947,Kepler-947,0.90,0.06,0.05,0.87,0.07,0.09,4.270,2.630,5.620,,,-0.070,0.197,0.160,5508.00,129.72,133.16,,15.789,,,
Kepler-948,Kepler-948,0.96,0.06,0.07,0.94,0.08,0.16,4.170,2.500,4.070,,,-0.020,0.177,0.129,5679.00,134.32,174.93,,14.800,,,
Kepler-949,Kepler-949,0.89,0.05,0.06,0.86,0.07,0.10,4.570,2.870,5.830,,,0.010,0.161,0.144,5403.00,208.02,200.90,,14.548,,,
Kepler-411,Kepler-411,0.83,0.10,0.04,0.79,0.06,0.07,,,,,,0.230,0.480,0.370,4974.00,51.00,46.00,,12.231,,,
Kepler-950,Kepler-950,1.02,0.06,0.07,1.02,0.09,0.17,3.800,2.100,2.600,,,0.020,0.170,0.135,5857.00,163.53,115.89,,15.700,,,
Kepler-951,Kepler-951,0.77,0.04,0.04,0.73,0.03,0.03,4.270,2.440,6.060,,,-0.010,0.163,0.157,4834.00,91.65,86.05,,14.521,,,
Kepler-952,Kepler-952,1.00,0.05,0.06,0.99,0.08,0.21,4.270,2.500,3.620,,,0.060,0.150,0.136,5730.00,100.17,87.45,,15.254,,,
Kepler-953,Kepler-953,0.95,0.03,0.03,0.99,0.07,0.09,8.710,4.950,3.260,,,0.260,0.065,0.068,5416.00,45.57,40.78,,12.160,,,
Kepler-1036,Kepler-1036,0.95,0.04,0.03,0.89,0.03,0.04,3.240,1.610,2.730,,,0.040,0.099,0.105,5533.00,69.58,83.31,,13.800,,,
Kepler-1037,Kepler-1037,0.82,0.04,0.04,0.78,0.04,0.04,5.130,3.110,5.740,,,-0.030,0.164,0.139,5105.00,70.71,96.95,,14.229,,,
Kepler-1038,Kepler-1038,0.87,0.06,0.07,0.83,0.06,0.09,4.270,2.570,5.420,,,-0.040,0.176,0.158,5335.00,212.93,253.32,,14.839,,,
Kepler-1039,Kepler-1039,0.79,0.04,0.05,0.74,0.04,0.04,4.370,2.570,5.920,,,0.010,0.164,0.150,4870.00,173.27,194.18,,14.145,,,
Kepler-1040,Kepler-1040,0.98,0.04,0.04,0.96,0.05,0.06,4.170,2.200,2.860,,,0.010,0.102,0.094,5694.00,65.65,78.24,,13.328,,,
Kepler-1041,Kepler-1041,1.06,0.07,0.07,1.08,0.11,0.23,3.550,1.880,2.250,,,0.010,0.175,0.136,5957.00,105.23,107.73,,14.490,,,
Kepler-1042,Kepler-1042,0.75,0.05,0.04,0.72,0.05,0.03,4.790,2.950,6.130,,,-0.100,0.195,0.153,4815.00,79.62,86.89,,15.629,,,
Kepler-1043,Kepler-1043,0.92,0.06,0.05,0.90,0.07,0.10,4.470,2.790,4.910,,,-0.110,0.187,0.155,5629.00,67.58,73.19,,14.777,,,
Kepler-1044,Kepler-1044,1.08,0.07,0.08,1.11,0.12,0.25,3.550,1.790,1.920,,,0.040,0.163,0.137,5985.00,124.51,112.26,,15.368,,,
Kepler-1045,Kepler-1045,0.86,0.05,0.04,0.82,0.05,0.06,4.470,2.810,5.860,,,-0.030,0.163,0.146,5301.00,59.81,56.01,,15.593,,,
Kepler-1046,Kepler-1046,1.04,0.04,0.04,1.04,0.06,0.07,3.630,1.670,1.880,,,0.000,0.092,0.089,5913.00,81.92,72.81,,13.286,,,
Kepler-1047,Kepler-1047,1.08,0.04,0.05,1.13,0.09,0.14,4.470,2.340,1.920,,,0.290,0.062,0.065,5754.00,75.60,83.64,,13.351,,,
Kepler-1048,Kepler-1048,0.75,0.04,0.03,0.70,0.03,0.03,3.980,2.260,5.930,,,0.010,0.160,0.149,4651.00,62.38,59.42,,14.832,,,
Kepler-1049,Kepler-1049,0.51,0.03,0.03,0.49,0.03,0.03,3.800,2.200,5.360,,,-0.330,0.078,0.083,3864.00,41.50,42.03,,14.220,,,
Kepler-1050,Kepler-1050,1.09,0.07,0.08,1.13,0.12,0.29,3.550,1.840,1.600,,,0.030,0.165,0.141,6010.00,99.65,90.67,,13.127,,,
Kepler-1051,Kepler-1051,1.43,0.16,0.22,1.73,0.34,0.62,1.740,0.404,0.617,,,0.040,0.166,0.130,6675.00,222.60,270.59,,13.200,,,
Kepler-1052,Kepler-1052,1.03,0.07,0.08,1.03,0.11,0.19,3.550,1.800,2.650,,,0.000,0.175,0.150,5888.00,173.26,160.50,,14.876,,,
Kepler-1053,Kepler-1053,0.74,0.04,0.03,0.69,0.03,0.03,3.090,1.550,5.500,,,0.100,0.171,0.160,4529.00,98.25,81.74,,13.156,,,
Kepler-1054,Kepler-1054,1.22,0.10,0.18,1.34,0.20,0.58,2.820,1.070,0.888,,,0.090,0.138,0.143,6209.00,147.02,106.61,,14.136,,,
Kepler-1055,Kepler-1055,0.98,0.04,0.03,0.94,0.04,0.04,3.090,1.440,2.200,,,-0.020,0.099,0.098,5723.00,61.68,76.28,,13.090,,,
Kepler-1056,Kepler-1056,1.12,0.12,0.20,1.20,0.21,0.51,2.950,1.190,1.940,,,0.020,0.180,0.130,6127.00,285.27,199.75,,14.550,,,
Kepler-1057,Kepler-1057,1.07,0.11,0.15,1.10,0.17,0.36,3.090,1.410,2.430,,,0.010,0.181,0.132,5987.00,296.99,293.78,,15.624,,,
Kepler-1058,Kepler-1058,0.73,0.05,0.04,0.69,0.04,0.03,3.390,1.790,6.070,,,-0.060,0.171,0.178,4644.00,112.73,89.85,,15.498,,,
Kepler-1059,Kepler-1059,0.75,0.06,0.04,0.72,0.06,0.04,5.370,3.060,6.030,,,-0.150,0.236,0.160,4906.00,62.34,81.53,,15.484,,,
Kepler-1060,Kepler-1060,0.99,0.07,0.08,0.99,0.11,0.19,4.270,2.480,3.370,,,-0.030,0.192,0.155,5797.00,198.61,180.98,,14.632,,,
Kepler-1061,Kepler-1061,1.09,0.04,0.04,1.07,0.05,0.06,2.140,0.699,1.200,,,-0.030,0.101,0.096,6067.00,59.04,71.81,,13.263,,,
Kepler-351,Kepler-351,0.89,,,0.85,0.41,0.41,,,,,,-0.134,,,5643.00,200.00,200.00,,15.990,,,
Kepler-1062,Kepler-1062,0.75,0.04,0.03,0.70,0.03,0.02,2.450,1.050,5.250,,,0.110,0.190,0.142,4597.00,73.20,61.91,,14.796,,,
Kepler-1063,Kepler-1063,1.09,0.07,0.11,1.14,0.14,0.30,3.390,1.680,2.200,,,0.090,0.133,0.146,5945.00,155.38,188.84,,12.261,,,
Kepler-1238,Kepler-1238,1.30,0.18,0.24,1.48,0.32,0.65,2.140,0.649,1.200,,,0.050,0.144,0.130,6386.00,299.46,341.26,,14.725,,,
Kepler-1239,Kepler-1239,1.40,0.09,0.08,1.57,0.16,0.20,1.620,0.420,0.632,,,0.220,0.172,0.129,6564.00,198.42,153.47,,15.438,,,
Kepler-1240,Kepler-1240,0.98,0.05,0.05,0.96,0.08,0.16,4.070,2.300,4.540,,,0.040,0.159,0.138,5682.00,116.70,103.27,,13.987,,,
Kepler-1241,Kepler-1241,0.84,0.06,0.05,0.80,0.05,0.06,4.680,2.900,6.110,,,-0.090,0.185,0.153,5261.00,119.79,180.72,,15.714,,,
Kepler-1242,Kepler-1242,0.77,0.04,0.04,0.74,0.04,0.03,5.620,3.220,5.240,,,-0.050,0.169,0.129,4895.00,57.56,84.63,,15.462,,,
Kepler-1243,Kepler-1243,0.96,0.06,0.05,0.94,0.07,0.15,4.370,2.620,4.130,,,0.010,0.168,0.135,5667.00,139.83,113.87,,14.834,,,
Kepler-1244,Kepler-1244,1.46,0.14,0.26,1.77,0.33,0.83,1.700,0.359,0.420,,,0.050,0.165,0.143,6680.00,106.27,94.50,,12.402,,,
Kepler-1245,Kepler-1245,0.86,0.04,0.04,0.83,0.05,0.06,4.570,2.810,6.270,,,-0.010,0.160,0.143,5306.00,101.98,77.49,,15.404,,,
Kepler-1246,Kepler-1246,0.73,0.04,0.03,0.69,0.04,0.02,3.890,2.100,6.020,,,-0.030,0.163,0.158,4611.00,51.31,49.69,,15.006,,,
Kepler-1247,Kepler-1247,0.86,0.05,0.04,0.82,0.05,0.06,4.680,2.940,6.650,,,-0.050,0.156,0.141,5303.00,112.59,116.55,,15.935,,,
Kepler-1248,Kepler-1248,1.21,0.04,0.04,1.21,0.05,0.06,1.510,0.371,0.705,,,0.240,0.077,0.075,6149.00,74.30,83.25,,12.770,,,
Kepler-1249,Kepler-1249,1.19,0.12,0.17,1.28,0.20,0.52,2.820,1.110,1.080,,,0.060,0.153,0.131,6202.00,201.72,133.62,,15.373,,,
Kepler-1250,Kepler-1250,0.99,0.05,0.05,0.98,0.08,0.22,4.570,2.800,4.060,,,0.040,0.178,0.139,5717.00,82.51,71.36,,15.618,,,
Kepler-1251,Kepler-1251,0.92,0.06,0.05,0.89,0.06,0.12,4.790,3.060,5.710,,,-0.040,0.177,0.148,5545.00,95.15,85.54,,14.976,,,
Kepler-1252,Kepler-1252,1.06,0.09,0.09,1.09,0.14,0.27,3.890,2.120,2.360,,,0.030,0.161,0.137,5949.00,218.38,144.60,,14.503,,,
Kepler-1253,Kepler-1253,0.97,0.06,0.06,1.10,0.13,0.15,7.080,2.820,1.800,,,-0.140,0.145,0.147,5850.00,56.44,65.89,,12.464,,,
Kepler-1254,Kepler-1254,0.78,0.05,0.04,0.75,0.05,0.03,5.620,3.300,5.650,,,-0.100,0.203,0.149,4985.00,45.04,53.00,,15.311,,,
Kepler-1255,Kepler-1255,1.08,0.09,0.10,1.12,0.14,0.31,3.550,1.760,2.010,,,0.020,0.161,0.133,6018.00,186.81,134.73,,15.251,,,
Kepler-1256,Kepler-1256,1.17,0.06,0.09,1.36,0.19,0.27,3.720,1.030,0.910,,,0.050,0.077,0.092,6129.00,69.29,67.94,,13.539,,,
Kepler-1257,Kepler-1257,0.90,0.05,0.06,0.87,0.07,0.10,4.370,2.730,5.360,,,-0.090,0.177,0.147,5502.00,93.92,168.32,,15.553,,,
Kepler-1258,Kepler-1258,0.99,0.06,0.05,0.99,0.08,0.15,3.890,2.170,3.110,,,-0.070,0.182,0.145,5839.00,73.45,79.16,,13.835,,,
Kepler-1259,Kepler-1259,0.80,0.05,0.04,0.77,0.04,0.04,5.250,3.100,6.000,,,-0.070,0.169,0.144,5053.00,67.62,113.64,,15.304,,,
Kepler-1260,Kepler-1260,1.06,0.08,0.09,1.08,0.14,0.30,3.800,1.980,2.210,,,0.010,0.183,0.136,5961.00,192.48,131.56,,14.838,,,
Kepler-1261,Kepler-1261,0.82,0.04,0.03,0.77,0.03,0.03,4.470,2.630,5.910,,,0.030,0.160,0.150,5006.00,44.49,48.34,,15.605,,,
Kepler-1262,Kepler-1262,0.99,0.06,0.06,0.98,0.09,0.17,4.270,2.520,3.550,,,-0.020,0.182,0.139,5771.00,103.42,101.71,,15.180,,,
Kepler-1263,Kepler-1263,0.84,0.04,0.04,0.80,0.05,0.05,4.900,2.980,6.270,,,-0.030,0.170,0.157,5213.00,74.37,61.90,,15.035,,,
Kepler-1264,Kepler-1264,0.99,0.06,0.06,0.98,0.09,0.18,4.170,2.500,3.040,,,-0.020,0.180,0.139,5791.00,145.15,109.18,,14.511,,,
Kepler-1265,Kepler-1265,0.71,0.05,0.04,0.69,0.05,0.03,5.250,3.080,5.570,,,-0.100,0.204,0.155,4630.00,41.20,42.63,,15.602,,,
Kepler-167,Kepler-167,0.77,0.03,0.02,0.73,0.01,0.02,3.300,0.800,5.800,,,-0.030,0.080,0.080,4890.00,50.00,50.00,,14.023,,,
HIP 8541,HIP 8541,1.17,0.28,0.28,7.83,1.02,1.02,,,,,,-0.150,0.080,0.080,4670.00,100.00,100.00,,7.880,,,
HIP 74890,HIP 74890,1.74,0.21,0.21,5.77,0.53,0.53,,,,,,0.200,0.130,0.130,4850.00,100.00,100.00,,7.050,,,
Kepler-1275,Kepler-1275,1.23,0.13,0.21,1.36,0.23,0.60,2.510,0.829,1.080,,,0.040,0.160,0.131,6296.00,214.87,202.94,,14.460,,,
Kepler-1276,Kepler-1276,1.14,0.05,0.05,1.21,0.10,0.14,3.090,1.300,1.000,,,-0.020,0.096,0.084,6188.00,55.24,65.25,,12.885,,,
Kepler-1277,Kepler-1277,0.94,0.04,0.04,0.92,0.05,0.06,5.010,3.000,3.560,,,-0.010,0.111,0.105,5578.00,68.73,82.21,,14.050,,,
Kepler-1278,Kepler-1278,1.11,0.08,0.11,1.16,0.13,0.35,3.310,1.520,1.450,,,0.020,0.161,0.134,6074.00,128.32,112.24,,13.658,,,
Kepler-1279,Kepler-1279,1.21,0.10,0.19,1.33,0.19,0.62,2.820,1.100,0.804,,,0.060,0.141,0.134,6221.00,110.44,97.80,,13.973,,,
Kepler-1280,Kepler-1280,1.20,0.11,0.18,1.32,0.20,0.59,2.820,1.060,1.020,,,0.040,0.153,0.135,6227.00,156.51,121.69,,14.074,,,
Kepler-1281,Kepler-1281,0.87,0.05,0.04,0.83,0.05,0.06,4.370,2.670,5.890,,,-0.040,0.175,0.169,5353.00,93.58,86.50,,15.790,,,
Kepler-1282,Kepler-1282,0.92,0.04,0.04,0.89,0.06,0.11,4.570,2.890,6.120,,,0.010,0.168,0.137,5504.00,78.70,81.08,,15.545,,,
Kepler-1283,Kepler-1283,1.16,0.11,0.18,1.25,0.20,0.51,2.880,1.120,1.570,,,0.040,0.159,0.128,6175.00,233.53,183.18,,15.079,,,
Kepler-1284,Kepler-1284,0.84,0.04,0.04,0.79,0.04,0.05,4.470,2.680,6.030,,,0.030,0.175,0.170,5123.00,83.53,62.80,,15.645,,,
Kepler-1285,Kepler-1285,1.20,0.04,0.05,1.28,0.09,0.12,2.750,1.060,0.868,,,0.160,0.088,0.089,6170.00,62.49,67.21,,11.714,,,
Kepler-1286,Kepler-1286,1.00,0.05,0.05,0.98,0.07,0.20,4.170,2.460,3.540,,,0.030,0.155,0.138,5753.00,79.20,74.56,,15.166,,,
Kepler-1287,Kepler-1287,0.96,0.06,0.05,0.94,0.07,0.13,4.070,2.390,3.920,,,-0.050,0.183,0.147,5715.00,83.95,93.97,,15.051,,,
Kepler-1288,Kepler-1288,1.20,0.08,0.16,1.29,0.17,0.54,2.880,1.230,1.020,,,0.140,0.143,0.157,6132.00,135.79,87.95,,13.321,,,
Kepler-1289,Kepler-1289,1.10,0.10,0.17,1.17,0.18,0.37,2.950,1.240,1.920,,,0.020,0.153,0.134,6080.00,268.17,245.65,,14.590,,,
Kepler-1290,Kepler-1290,0.95,0.05,0.05,0.93,0.07,0.13,4.070,2.330,4.400,,,-0.020,0.174,0.131,5660.00,108.37,114.11,,15.711,,,
Kepler-1291,Kepler-1291,0.84,0.05,0.04,0.80,0.05,0.05,4.900,3.090,6.220,,,-0.040,0.169,0.142,5216.00,108.14,81.36,,15.868,,,
Kepler-1292,Kepler-1292,0.95,0.04,0.04,0.93,0.06,0.14,4.680,2.960,5.300,,,0.080,0.158,0.166,5556.00,77.30,63.00,,15.934,,,
Kepler-1293,Kepler-1293,1.18,0.10,0.18,1.28,0.18,0.55,2.820,1.100,0.931,,,0.000,0.190,0.120,6241.00,99.80,114.93,,13.383,,,
Kepler-1294,Kepler-1294,0.99,0.06,0.07,0.97,0.09,0.16,3.980,2.310,3.150,,,-0.030,0.180,0.140,5776.00,137.20,152.50,,15.174,,,
Kepler-1295,Kepler-1295,0.92,0.04,0.04,0.89,0.06,0.10,4.680,2.940,5.720,,,0.040,0.157,0.142,5486.00,100.36,70.55,,15.890,,,
Kepler-1296,Kepler-1296,0.87,0.05,0.04,0.83,0.05,0.07,4.170,2.550,6.040,,,-0.040,0.164,0.158,5359.00,120.32,98.28,,14.667,,,
Kepler-1297,Kepler-1297,0.99,0.06,0.06,0.99,0.09,0.16,4.170,2.410,3.100,,,-0.040,0.189,0.156,5818.00,92.17,83.49,,14.812,,,
Kepler-1298,Kepler-1298,1.45,0.11,0.12,2.00,0.35,0.34,2.570,0.400,0.350,,,0.130,0.082,0.090,6339.00,65.86,64.06,,11.392,,,
Kepler-1299,Kepler-1299,0.94,0.06,0.04,0.91,0.06,0.13,4.370,2.660,4.880,,,-0.010,0.174,0.139,5609.00,129.75,92.88,,15.922,,,
Kepler-1064,Kepler-1064,0.85,0.03,0.03,0.79,0.02,0.02,3.890,1.910,2.960,,,0.000,0.097,0.101,5153.00,59.98,80.62,,13.755,,,
Kepler-1065,Kepler-1065,0.94,0.06,0.07,0.93,0.09,0.16,4.470,2.760,4.820,,,-0.010,0.178,0.138,5635.00,202.38,166.04,,15.540,,,
Kepler-1066,Kepler-1066,0.98,0.07,0.11,0.98,0.11,0.20,3.800,2.110,4.000,,,-0.030,0.183,0.143,5762.00,209.47,287.38,,13.007,,,
Kepler-1067,Kepler-1067,0.95,0.04,0.04,0.93,0.06,0.16,4.790,3.040,5.350,,,0.030,0.172,0.132,5592.00,65.87,63.05,,14.305,,,
Kepler-1068,Kepler-1068,1.01,0.07,0.07,1.01,0.10,0.25,4.170,2.410,3.400,,,0.030,0.176,0.142,5806.00,169.98,123.65,,15.818,,,
Kepler-1069,Kepler-1069,0.99,0.05,0.05,0.98,0.08,0.17,4.370,2.550,3.930,,,0.040,0.161,0.140,5722.00,104.94,88.79,,13.153,,,
Kepler-1070,Kepler-1070,1.21,0.10,0.20,1.32,0.19,0.61,2.750,1.020,0.860,,,0.030,0.175,0.132,6261.00,114.36,114.14,,13.977,,,
Kepler-1071,Kepler-1071,0.86,0.04,0.03,0.81,0.03,0.03,4.270,2.340,3.620,,,0.010,0.113,0.108,5215.00,83.32,78.36,,15.801,,,
Kepler-1072,Kepler-1072,1.20,0.09,0.19,1.32,0.20,0.60,2.880,1.090,0.874,,,0.070,0.132,0.129,6199.00,123.19,102.85,,13.930,,,
Kepler-1073,Kepler-1073,1.00,0.07,0.10,1.00,0.11,0.21,3.720,2.020,3.680,,,0.000,0.171,0.138,5792.00,186.16,252.91,,14.523,,,
Kepler-1074,Kepler-1074,0.60,0.03,0.02,0.57,0.02,0.02,3.550,1.860,5.120,,,-0.060,0.090,0.080,4002.00,33.56,33.45,,15.026,,,
Kepler-1075,Kepler-1075,0.56,0.03,0.03,0.54,0.03,0.02,2.950,1.400,4.340,,,-0.170,0.105,0.111,3959.00,38.69,39.29,,15.313,,,
Kepler-1076,Kepler-1076,0.79,0.04,0.03,0.74,0.02,0.01,3.720,1.930,3.920,,,-0.010,0.111,0.101,4868.00,45.61,38.24,,12.906,,,
Kepler-1077,Kepler-1077,1.02,0.05,0.06,1.02,0.09,0.23,4.170,2.400,3.160,,,0.030,0.160,0.126,5816.00,113.54,99.93,,14.998,,,
Kepler-1078,Kepler-1078,0.94,0.05,0.05,0.92,0.07,0.12,4.370,2.640,5.080,,,-0.010,0.186,0.142,5612.00,123.53,100.22,,15.620,,,
Kepler-1079,Kepler-1079,1.08,0.06,0.12,1.36,0.23,0.27,6.610,2.200,2.220,,,0.210,0.128,0.098,5758.00,84.62,90.64,,12.584,,,
Kepler-1080,Kepler-1080,1.10,0.06,0.10,1.16,0.14,0.40,3.890,2.020,1.700,,,0.090,0.143,0.147,5956.00,87.98,70.40,,13.754,,,
Kepler-1081,Kepler-1081,0.88,0.04,0.04,0.84,0.05,0.07,4.680,2.950,6.830,,,0.010,0.155,0.141,5345.00,84.90,67.90,,13.746,,,
Kepler-1082,Kepler-1082,1.03,0.06,0.06,1.14,0.13,0.18,5.750,2.330,1.400,,,-0.060,0.125,0.105,5923.00,64.28,80.65,,13.380,,,
Kepler-1083,Kepler-1083,0.81,0.04,0.04,0.77,0.04,0.03,4.680,2.820,5.750,,,-0.020,0.166,0.155,5049.00,46.43,45.47,,15.824,,,
Kepler-1084,Kepler-1084,1.12,0.06,0.07,1.28,0.17,0.27,4.070,1.460,1.000,,,-0.020,0.108,0.083,6113.00,75.56,63.72,,12.217,,,
Kepler-1085,Kepler-1085,1.11,0.06,0.09,1.14,0.11,0.31,3.390,1.690,1.500,,,0.080,0.158,0.145,6000.00,89.90,83.83,,15.273,,,
Kepler-1086,Kepler-1086,0.70,0.03,0.02,0.66,0.02,0.01,2.880,1.360,5.260,,,0.060,0.129,0.094,4350.00,34.14,45.98,,15.561,,,
Kepler-1087,Kepler-1087,0.96,0.06,0.07,0.94,0.07,0.26,3.550,2.190,5.320,,,0.010,0.255,0.153,5589.00,191.41,122.90,,12.953,,,
Kepler-1088,Kepler-1088,1.08,0.03,0.03,1.08,0.06,0.08,3.020,1.390,1.580,,,0.050,0.082,0.082,5975.00,58.16,64.37,,11.863,,,
Kepler-1089,Kepler-1089,0.52,0.03,0.03,0.49,0.03,0.03,3.720,2.080,5.260,,,-0.090,0.084,0.087,3753.00,32.55,32.38,,15.535,,,
Kepler-1090,Kepler-1090,0.86,0.05,0.05,0.82,0.05,0.07,4.370,2.640,6.130,,,-0.040,0.165,0.149,5321.00,145.36,147.76,,15.001,,,
Kepler-1266,Kepler-1266,0.80,0.05,0.04,0.76,0.05,0.04,5.130,3.170,6.070,,,-0.070,0.183,0.154,5044.00,50.99,49.22,,15.860,,,
Kepler-1267,Kepler-1267,1.15,0.11,0.11,1.20,0.17,0.37,3.240,1.510,1.400,,,0.070,0.139,0.150,6096.00,215.90,119.67,,15.829,,,
Kepler-1268,Kepler-1268,1.06,0.06,0.08,1.09,0.12,0.36,4.270,2.430,2.220,,,0.050,0.166,0.140,5904.00,79.21,68.91,,15.272,,,
Kepler-436,Kepler-436,0.73,0.03,0.03,0.70,0.02,0.03,3.000,0.300,7.700,,,0.010,0.100,0.100,4651.00,100.00,100.00,,15.856,,,
Kepler-1269,Kepler-1269,1.10,0.06,0.09,1.15,0.12,0.32,3.550,1.800,1.680,,,0.070,0.145,0.138,5998.00,88.22,88.20,,13.611,,,
Kepler-1270,Kepler-1270,1.28,0.11,0.01,3.38,0.41,0.30,4.370,0.120,2.140,,,-0.020,0.020,0.111,5047.00,34.17,40.17,,13.274,,,
Kepler-1271,Kepler-1271,1.13,0.06,0.06,1.23,0.13,0.18,3.630,1.510,1.060,,,-0.010,0.094,0.080,6143.00,88.49,81.37,,13.925,,,
Kepler-1272,Kepler-1272,1.06,0.07,0.08,1.09,0.11,0.27,3.890,2.100,2.260,,,0.060,0.160,0.142,5926.00,135.18,95.26,,14.423,,,
Kepler-1273,Kepler-1273,0.94,0.05,0.04,0.91,0.06,0.12,4.470,2.730,5.370,,,0.030,0.157,0.132,5566.00,71.25,77.45,,15.826,,,
Kepler-1274,Kepler-1274,1.45,0.05,0.06,2.17,0.12,0.13,2.880,0.310,0.300,,,0.110,0.071,0.084,6179.00,48.15,54.41,,11.752,,,
Kepler-221,Kepler-221,0.72,,,0.82,0.07,0.07,,,,,,-0.413,,,5243.00,100.00,100.00,,13.749,,,
Kepler-222,Kepler-222,,,,0.87,0.38,0.38,,,,,,0.150,,,5433.00,200.00,200.00,,15.063,,,
Kepler-223,Kepler-223,1.12,0.07,0.09,1.72,0.14,0.07,,,,,,,,,,,,,15.344,,,
Kepler-224,Kepler-224,0.74,,,0.68,0.04,0.04,,,,,,-0.309,,,5018.00,100.00,100.00,,15.644,,,
Kepler-226,Kepler-226,0.86,,,0.80,0.32,0.32,,,,,,-0.145,,,5571.00,200.00,200.00,,15.416,,,
Kepler-228,Kepler-228,,,,1.01,0.47,0.47,,,,,,-0.067,,,6043.00,200.00,200.00,,15.714,,,
Kepler-229,Kepler-229,,,,0.73,0.26,0.26,,,,,,-0.109,,,5120.00,200.00,200.00,,15.841,,,
Kepler-231,Kepler-231,0.58,,,0.49,0.02,0.02,,,,,,-0.011,,,3767.00,150.00,150.00,,15.385,,,
Kepler-233,Kepler-233,,,,0.76,0.21,0.21,,,,,,-0.067,,,5360.00,200.00,200.00,,15.339,,,
Kepler-235,Kepler-235,0.59,,,0.55,0.02,0.02,,,,,,0.087,,,4255.00,100.00,100.00,,15.954,,,
Kepler-236,Kepler-236,0.56,,,0.51,0.02,0.02,,,,,,0.119,,,3750.00,150.00,150.00,,15.414,,,
bet UMi,bet UMi,1.40,0.20,0.20,38.30,1.10,1.10,2.950,1.030,1.030,,,-0.270,0.070,0.070,4126.00,25.00,25.00,,2.080,,,
eps Tau,eps Tau,2.70,,0.10,13.70,,0.60,,,,,,,,,4901.00,,20.00,,3.540,,,
kap CrB,kap CrB,1.47,0.04,0.04,5.06,0.04,0.04,3.420,0.250,0.320,,,0.150,0.050,0.050,4788.00,17.00,17.00,,4.820,,,
Kepler-1300,Kepler-1300,1.29,0.15,0.16,1.79,0.41,0.38,3.550,0.781,1.480,,,0.050,0.064,0.102,6130.00,108.91,87.31,,12.816,,,
Kepler-1301,Kepler-1301,0.85,0.04,0.04,0.81,0.04,0.05,4.900,3.050,6.170,,,0.010,0.162,0.141,5188.00,60.07,55.60,,15.400,,,
Kepler-1302,Kepler-1302,0.86,0.04,0.04,0.82,0.04,0.06,4.680,2.900,6.700,,,0.040,0.168,0.157,5236.00,77.09,58.55,,15.102,,,
Kepler-1303,Kepler-1303,1.01,0.05,0.05,1.00,0.09,0.24,4.470,2.660,3.420,,,0.040,0.156,0.133,5771.00,110.62,85.68,,14.640,,,
Kepler-1304,Kepler-1304,0.85,0.05,0.04,0.81,0.05,0.05,4.680,2.920,5.940,,,-0.050,0.164,0.151,5259.00,121.88,97.24,,15.022,,,
Kepler-1305,Kepler-1305,0.97,0.06,0.06,0.96,0.09,0.17,4.370,2.610,3.860,,,0.010,0.160,0.120,5701.00,175.79,138.16,,15.785,,,
Kepler-1306,Kepler-1306,0.98,0.06,0.07,0.97,0.09,0.22,4.570,2.800,3.900,,,0.000,0.172,0.130,5727.00,132.91,140.59,,15.243,,,
Kepler-1307,Kepler-1307,1.06,0.06,0.07,1.08,0.11,0.29,4.070,2.290,2.320,,,0.060,0.147,0.145,5884.00,103.16,77.63,,15.394,,,
Kepler-1308,Kepler-1308,0.35,0.04,0.04,0.34,0.03,0.03,3.720,2.130,5.970,,,-0.130,0.074,0.078,3468.00,30.71,33.65,,14.488,,,
Kepler-1309,Kepler-1309,0.85,0.05,0.05,0.80,0.05,0.06,4.270,2.600,6.160,,,-0.030,0.170,0.162,5235.00,154.88,99.72,,15.652,,,
Kepler-1310,Kepler-1310,0.91,0.06,0.05,0.88,0.07,0.10,4.170,2.490,5.360,,,-0.070,0.183,0.151,5549.00,124.53,136.60,,14.159,,,
Kepler-1311,Kepler-1311,1.05,0.06,0.08,1.40,0.30,0.30,7.590,2.060,1.700,,,0.090,0.073,0.101,5748.00,72.30,87.26,,13.349,,,
Kepler-1312,Kepler-1312,0.99,0.03,0.03,0.92,0.03,0.03,2.000,0.624,1.190,,,-0.020,0.096,0.094,5719.00,58.57,71.88,,12.430,,,
Kepler-1313,Kepler-1313,0.92,0.03,0.03,0.85,0.03,0.03,2.690,1.170,2.040,,,0.000,0.100,0.093,5453.00,76.05,82.15,,11.799,,,
Kepler-1314,Kepler-1314,0.60,0.02,0.02,0.59,0.02,0.02,6.030,3.530,5.910,,,-0.220,0.068,0.078,4188.00,113.71,92.28,,16.406,,,
Kepler-398,Kepler-398,,,,0.61,0.03,0.03,,,,,,-0.046,,,4493.00,100.00,100.00,,13.256,,,
