# name,All planet names,Lists,mass,mass_error_min,mass_error_max,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,Radius [Rjup] lowerlimit,Radius [Rjup] upperlimit,orbital_period,orbital_period_error_min,orbital_period_error_max,Orbital period [days] lowerlimit,Orbital period [days] upperlimit,eccentricity,eccentricity_error_min,eccentricity_error_max,Eccentricity lowerlimit,Eccentricity upperlimit,temp_calculated,Equilibrium temperature [K] errorminus,Equilibrium temperature [K] errorplus,Equilibrium temperature [K] lowerlimit,Equilibrium temperature [K] upperlimit,detection_type,discovered,updated,source (xml)
HIP 67851 b,hip67851b,,1.38,0.15,0.15,0.15,0.15,,0.04,0.04,,,88.9,0.1,0.1,,,0.05,0.04,0.04,,,,,,,,radialvelocity,2014,2015-05-26,
HIP 67851 c,hip67851c,,5.98,0.76,0.76,0.76,0.76,,,,,,2131.8,88.3,88.3,,,0.17,0.06,0.06,,,,,,,,radialvelocity,2015,2015-05-29,
HIP 68468 b,hip68468b,,0.011,,,,,,,,,,1.8372,,,,,0.41,,,,,,,,,,radialvelocity,2016,2016-11-02,
HIP 68468 c,hip68468c,,0.094,,,,,,,,,,194.0,,,,,0.04,,,,,,,,,,radialvelocity,2016,2016-11-02,
HIP 70849 b,hip70849b,,9.0,6.0,6.0,6.0,6.0,,,,,,10000.0,8000.0,8000.0,,,0.6,0.13,0.13,,,,,,,,radialvelocity,2009,2011-07-05,
HIP 73990 b,hip73990b,,21.0,5.0,30.0,5.0,30.0,,,,,,,,,,,,,,,,,,,,,imaging,2015,2015-05-20,
HIP 73990 c,hip73990c,,22.0,6.0,35.0,6.0,35.0,,,,,,,,,,,,,,,,,,,,,imaging,2015,2015-05-20,
HIP 74865 b,hip74865b,,28.0,10.0,37.0,10.0,37.0,,,,,,,,,,,,,,,,,,,,,imaging,2015,2015-05-20,
HIP 74890 b,hip74890b,,2.4,0.3,0.3,0.3,0.3,,,,,,822.3,16.8,16.8,,,0.07,0.07,0.07,,,,,,,,radialvelocity,2016,2016-03-17,
HIP 75458 b,hip75458b,,9.39,1.29,11.9,1.29,11.9,,,,,,510.72,0.07,0.07,,,0.713,0.008,0.008,,,,,,,,radialvelocity,2002,2016-01-26,
HIP 77900 b,hip77900b,,20.0,3.0,7.0,3.0,7.0,,,,,,,,,,,,,,,,2400.0,,,,,imaging,2013,2014-05-26,
HIP 78530 b,hip78530b,,23.04,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,imaging,2011,2011-01-26,
HIP 79431 b,hip79431b,,2.1,,,,,,,,,,111.7,0.7,0.7,,,0.29,,,,,,,,,,radialvelocity,2010,2010-01-11,
HIP 8541 b,hip8541b,,5.59,1.0,1.0,1.0,1.0,,,,,,1560.0,54.0,54.0,,,0.16,0.06,0.06,,,,,,,,radialvelocity,2016,2016-03-17,
HIP 91258 b,hip91258b,,1.068,0.038,0.038,0.038,0.038,,,,,,5.0505,0.0015,0.0015,,,0.024,0.014,0.014,,,,,,,,radialvelocity,2013,2014-08-25,
HIP 97233 b,hip97233b,,20.0,0.4,0.4,0.4,0.4,,,,,,1058.8,6.7,6.7,,,0.61,0.03,0.03,,,,,,,,radialvelocity,2014,2014-10-09,
HN Peg b,hnpegb,,16.0,9.4,9.4,9.4,9.4,1.1,0.06,0.06,,,,,,,,,,,,,,,,,,imaging,2007,2011-04-23,
HR 2562 b,hr2562b,,30.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,imaging,2016,2016-10-06,
HR 3549 b,hr3549b,,45.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,imaging,2015,2016-06-22,
HR 7329,hr7329,,35.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,imaging,2000,2016-05-16,
HR 810 b,hr810b,,2.26,0.18,0.18,0.18,0.18,,,,,,320.1,2.1,2.1,,,0.161,0.069,0.069,,,,,,,,radialvelocity,1999,2010-12-29,
HR 8799 b,hr8799b,,7.0,2.0,4.0,2.0,4.0,1.2,0.1,0.1,,,164250.0,,,,,0.0,,,,,,,,,,imaging,2008,2015-03-13,
HR 8799 c,hr8799c,,10.0,3.0,3.0,3.0,3.0,1.3,0.0,0.0,,,82145.0,,,,,0.0,,,,,,,,,,imaging,2008,2013-08-30,
HR 8799 d,hr8799d,,10.0,3.0,3.0,3.0,3.0,1.2,0.0,0.0,,,41054.0,,,,,0.1,,,,,,,,,,imaging,2008,2013-08-30,
HR 8799 e,hr8799e,,9.0,4.0,4.0,4.0,4.0,,,,,,18000.0,0.0,0.0,,,,,,,,,,,,,imaging,2010,2013-08-30,
HU Aqr (AB) c,huaqr(ab)c,,5.9,0.1,0.1,0.1,0.1,,,,,,5646.0,8.0,8.0,,,0.29,0.03,0.03,,,,,,,,pulsar,2011,2016-02-23,
HW Vir (AB) b,hwvir(ab)b,,14.3,1.0,1.0,1.0,1.0,,,,,,4640.0,73.0,73.0,,,0.4,0.1,0.1,,,,,,,,pulsar,2008,2012-06-15,
J1433 b,j1433b,,57.1,0.7,0.7,0.7,0.7,,,,,,0.054,,,,,,,,,,2370.0,,,,,primarytransit,2016,2016-05-24,
K2-10 b,k2-10b,,0.085,0.053,0.053,0.053,0.053,0.343,0.031,0.031,,,19.3044,0.0012,0.0012,,,0.31,0.18,0.18,,,,,,,,primarytransit,2016,2016-02-08,
K2-11 b,k2-11b,,,,,,,0.674,0.832,0.832,,,39.93767,0.23229,0.23229,,,,,,,,,,,,,primarytransit,2015,2016-05-30,
K2-12 b,k2-12b,,,,,,,0.208,0.052,0.052,,,8.28212,0.0006,0.0006,,,,,,,,,,,,,primarytransit,2015,2016-05-30,
K2-13 b,k2-13b,,,,,,,0.169,0.085,0.085,,,39.91488,0.32477,0.32477,,,,,,,,,,,,,primarytransit,2015,2016-05-30,
K2-14 b,k2-14b,,,,,,,0.429,0.037,0.037,,,8.36802,0.00019,0.00019,,,,,,,,,,,,,primarytransit,2015,2016-05-30,
K2-15 b,k2-15b,,,,,,,0.221,0.027,0.027,,,11.8104,0.00204,0.00204,,,,,,,,,,,,,primarytransit,2015,2016-05-30,
K2-16 b,k2-16b,,,,,,,0.18,0.021,0.021,,,7.6188,0.00087,0.00087,,,,,,,,658.0,,,,,primarytransit,2015,2015-12-07,
K2-16 c,k2-16c,,,,,,,0.227,0.042,0.0999,,,19.07863,0.00327,0.00327,,,,,,,,485.0,,,,,primarytransit,2015,2015-12-07,
K2-17 b,k2-17b,,,,,,,0.199,0.018,0.018,,,17.96753,0.00152,0.00152,,,,,,,,,,,,,primarytransit,2015,2016-06-03,
K2-18 b,k2-18b,,,,,,,0.2,0.021,0.021,,,32.94488,0.00281,0.00281,,,,,,,,,,,,,primarytransit,2015,2016-06-03,
K2-19 b,k2-19b,,0.187,0.0359,0.0231,0.0359,0.0231,0.691,0.035,0.035,,,7.9194,5e-05,5e-05,,,0.119,0.35,0.82,,,854.0,,,,,primarytransit,2015,2016-04-06,
K2-19 c,k2-19c,,0.031,0.0063,0.0123,0.0063,0.0123,0.434,0.039,0.055,,,11.90715,0.0015,0.0015,,,0.095,0.035,0.073,,,745.0,,,,,primarytransit,2015,2016-04-06,
K2-19 d,k2-19d,,,,,,,0.102,0.012,0.012,,,2.50856,0.00041,0.00041,,,,,,,,1252.0,,,,,primarytransit,2015,2016-05-06,
K2-24 b,k2-24b,,0.0661,0.017,0.017,0.017,0.017,0.52,0.054,0.054,,,20.8851,0.0003,0.0003,,,,,,,,709.0,,,,,primarytransit,2015,2016-06-03,
K2-24 c,k2-24c,,0.085,0.022,0.022,0.022,0.022,0.723,0.073,0.073,,,42.36342,0.00063,0.00063,,,,,,,,560.0,,,,,primarytransit,2015,2016-06-03,
K2-26 b,k2-26b,,,,,,,0.238,0.041,0.041,,,14.5665,0.002,0.0016,,,,,,,,,,,,,primarytransit,2015,2016-03-08,
K2-27 b,k2-27b,,0.0916,0.023,0.023,0.023,0.023,0.397,0.029,0.029,,,6.77145,0.00013,0.00013,,,0.16,0.1,0.1,,,,,,,,primarytransit,2016,2016-02-08,
K2-28 b,k2-28b,,,,,,,0.207,0.021,0.021,,,2.260455,4.1e-05,4.1e-05,,,,,,,,,,,,,primarytransit,2015,2016-06-08,
K2-29 b,k2-29b,,0.73,0.04,0.04,0.04,0.04,1.19,0.02,0.02,,,3.2588321,1.9e-06,1.9e-06,,,0.066,0.022,0.022,,,1171.0,,,,,primarytransit,2016,2016-06-13,
K2-3  b,k2-3b,,0.026,0.0066,0.0066,0.0066,0.0066,0.194,0.03,0.03,,,10.05449,0.00026,0.00026,,,0.06,0.06,0.06,,,463.0,,,,,primarytransit,2015,2015-12-01,
K2-3 c,k2-3c,,0.0066,0.0041,0.0066,0.0041,0.0066,0.165,0.024,0.024,,,24.64354,0.00117,0.00117,,,0.04,0.04,0.04,,,344.0,,,,,primarytransit,2015,2015-12-01,
K2-3 d,k2-3d,,0.0349,0.011,0.011,0.011,0.011,0.135,0.021,0.021,,,44.5598,0.0059,0.0059,,,0.045,0.045,0.045,,,282.0,,,,,primarytransit,2015,2015-12-01,
K2-30 b,k2-30b,,0.624,0.0313,0.0314,0.0313,0.0314,1.196,0.06,0.06,,,4.098507,2.8e-05,2.8e-05,,,0.027,0.02,0.036,,,1185.0,,,,,primarytransit,2016,2016-06-07,
K2-33 b,k2-33b,,3.6,3.59999,0.0,3.59999,0.0,0.451,0.033,0.033,,,5.42513,0.00029,0.00029,,,0.0,,,,,,,,,,primarytransit,2016,2016-06-27,
K2-34 b,k2-34b,,1.78,0.133,0.134,0.133,0.134,1.35,0.067,0.067,,,2.995607,1.7e-05,1.7e-05,,,0.0,,,,,1742.0,,,,,primarytransit,2016,2016-06-07,
K2-39,k2-39,,0.158,0.03,0.031,0.03,0.031,0.73,0.098,0.098,,,4.60543,0.00046,0.00046,,,0.0,,,,,,,,,,primarytransit,2016,2016-10-02,
K2-4 b,k2-4b,,,,,,,0.211,0.036,0.036,,,10.00329,0.00159,0.00159,,,,,,,,,,,,,primarytransit,2015,2016-05-25,
K2-5 b,k2-5b,,,,,,,0.171,0.021,0.021,,,5.73491,0.00061,0.00061,,,,,,,,,,,,,primarytransit,2015,2016-05-29,
K2-5 c,k2-5c,,,,,,,0.171,0.018,0.018,,,10.93406,0.00205,0.00205,,,,,,,,,,,,,primarytransit,2015,2016-05-29,
K2-6 b,k2-6b,,,,,,,0.223,0.079,0.079,,,30.94191,0.00467,0.00467,,,,,,,,,,,,,primarytransit,2015,2016-05-29,
K2-7 b,k2-7b,,,,,,,0.238,0.05,0.05,,,28.67992,0.00947,0.00947,,,,,,,,,,,,,primarytransit,2015,2016-05-30,
K2-8 b,k2-8b,,,,,,,0.319,0.063,0.063,,,10.35239,0.00086,0.00086,,,,,,,,631.0,,,,,primarytransit,2015,2015-12-02,
K2-9 b,k2-9b,,,,,,,0.143,0.037,0.037,,,18.44883,0.00137,0.00137,,,,,,,,,,,,,primarytransit,2015,2016-05-30,
K2-95 b,k2-95b,,,,,,,0.31,,,,,10.13389,0.00077,0.00068,,,,,,,,,,,,,primarytransit,2016,2016-08-19,
K2-99 b,k2-99b,,0.97,0.09,0.09,0.09,0.09,1.29,0.05,0.05,,,18.249,0.001,0.001,,,0.19,0.04,0.04,,,,,,,,primarytransit,2016,2016-11-09,
KELT-1 b,kelt-1b,,27.38,0.93,0.93,0.93,0.93,1.116,0.029,0.038,,,1.217514,1.5e-05,1.5e-05,,,0.01,0.007,0.01,,,2423.0,,,,,primarytransit,2012,2014-05-27,
KELT-10 b,kelt-10b,,0.679,0.0392,0.0393,0.0392,0.0393,1.399,0.049,0.069,,,4.166285,5.7e-05,5.7e-05,,,,,,,,1377.0,,,,,primarytransit,2015,2015-09-11,
KELT-11 b,kelt-11b,,0.195,0.019,0.019,0.019,0.019,1.37,0.12,0.18,,,4.736529,5.9e-05,6.8e-05,,,0.0,,,,,1712.0,,,,,primarytransit,2016,2016-07-11,
KELT-12 b,kelt-12b,,0.95,0.14,0.14,0.14,0.14,1.79,0.17,0.18,,,5.03145,4.5e-05,4.5e-05,,,,,,,,,,,,,primarytransit,2016,2016-08-17,
KELT-15 b,kelt-15b,,0.92,0.23,0.23,0.23,0.23,1.443,0.057,0.11,,,3.329441,1.6e-05,1.6e-05,,,,,,,,,,,,,primarytransit,2015,2015-10-01,
KELT-16 b,kelt-16b,,2.75,0.15,0.16,0.15,0.16,1.415,0.067,0.084,,,0.9689951,2e-06,2e-06,,,,,,,,,,,,,primarytransit,2016,2016-08-03,
KELT-17 b,kelt-17b,,1.31,0.29,0.29,0.29,0.29,1.525,0.06,0.065,,,3.0801716,5.3e-06,5.3e-06,,,,,,,,2087.0,,,,,primarytransit,2015,2016-07-14,
KELT-2A b,kelt-2ab,,1.486,0.088,0.088,0.088,0.088,1.306,0.067,0.067,,,4.1137914,1e-05,1e-05,,,0.185,0.08,0.08,,,,,,,,primarytransit,2012,2012-06-11,
KELT-3 b,kelt-3b,,1.418,0.07,0.07,0.07,0.07,1.333,0.08,0.08,,,2.7033902,1e-05,1e-05,,,0.0,,,,,,,,,,primarytransit,2012,2015-08-20,
KELT-4A b,kelt-4ab,,0.884,0.0683,0.0717,0.0683,0.0717,1.706,0.076,0.085,,,2.9895933,4.9e-06,4.9e-06,,,0.03,0.021,0.016,,,1827.0,,,,,radialvelocity,2013,2016-02-05,
KELT-6 b,kelt-6b,,0.442,0.0191,0.0192,0.0191,0.0192,1.18,0.11,0.11,,,7.845582,7e-07,7e-07,,,0.029,0.016,0.016,,,,,,,,primarytransit,2013,2015-08-27,
KELT-6 c,kelt-6c,,3.71,0.21,0.21,0.21,0.21,,,,,,1276.0,67.0,81.0,,,0.21,0.04,0.04,,,,,,,,radialvelocity,2015,2015-08-27,
KELT-7 b,kelt-7b,,1.29,0.182,0.182,0.182,0.182,1.533,0.047,0.047,,,2.7347749,3.9e-06,3.9e-06,,,,,,,,2048.0,,,,,primarytransit,2015,2016-05-09,
KELT-8 b,kelt-8b,,0.874,0.0669,0.0678,0.0669,0.0678,1.86,0.18,0.18,,,3.24406,0.00016,0.00016,,,0.035,0.025,0.05,,,1675.0,,,,,primarytransit,2015,2016-09-16,
KIC 10001893 b,kic10001893b,,,,,,,,,,,,0.2197,,,,,,,,,,,,,,,pulsar,2014,2014-10-29,
KIC 10001893 d,kic10001893d,,,,,,,,,,,,0.81161,,,,,,,,,,,,,,,pulsar,2014,2014-10-29,
KIC 10024862 b,kic10024862b,,,,,,,0.49,0.14,0.2,,,567.0445,0.02936,0.02557,,,,,,,,,,,,,primarytransit,2015,2016-05-23,
KIC 10255705 b,kic10255705b,,,,,,,0.65,0.23,0.23,,,707.3793,0.0157,0.0039,,,0.0,,,,,295.0,,,,,primarytransit,2013,2013-10-25,
KIC 10905746 b,kic10905746b,,,,,,,0.237,0.06,0.06,,,9.8844,0.0087,0.0087,,,,,,,,,,,,,primarytransit,2011,2011-09-22,
KIC 11152511 b,kic11152511b,,,,,,,0.36,0.025,0.025,,,287.363,0.0136,0.0433,,,0.67,0.63,0.02,,,390.0,,,,,primarytransit,2013,2014-05-21,
KIC 12454613 b,kic12454613b,,,,,,,0.228,0.037,0.037,,,736.3819,0.0211,0.0065,,,0.16,0.16,0.42,,,187.0,,,,,primarytransit,2013,2015-09-15,
KIC 12557548 b,kic12557548b,,6.3e-05,0.0,2.989,0.0,2.989,0.0758320560836,0.0133821275441655,0.0133821275441655,,,0.653553,1e-07,1e-07,,,,,,,,,,,,,primarytransit,2012,2016-07-16,
KIC 5010054 b,kic5010054b,,,,,,,0.62,0.14,0.14,,,904.24,0.0113,0.0146,,,0.0,,,,,251.0,,,,,primarytransit,2013,2014-05-27,
KIC 5094412 b,kic5094412b,,,,,,,0.51,0.37,0.37,,,276.88,0.0319,0.0258,,,0.0,,,,,239.0,,,,,primarytransit,2013,2014-05-27,
KIC 5522786 b,kic5522786b,,,,,,,0.11,0.04,0.04,,,757.1639,0.163,0.059,,,0.56,0.27,0.14,,,362.0,,,,,primarytransit,2013,2014-05-27,
KIC 5732155 b,kic5732155b,,,,,,,1.14,0.23,0.23,,,644.1685,0.014,0.014,,,0.0,,,,,301.0,,,,,primarytransit,2013,2014-05-27,
KIC 6185331 b,kic6185331b,,,,,,,0.529,0.047,0.07,,,49.76971,0.00039,0.00039,,,,,,,,,,,,,primarytransit,2011,2016-06-27,
KIC 6372194 b,kic6372194b,,,,,,,0.74,0.11,0.11,,,281.5848,0.0031,0.0037,,,0.65,0.24,0.05,,,228.0,,,,,primarytransit,2013,2014-05-28,
KIC 6436029 b,kic6436029b,,,,,,,0.274,0.055,0.055,,,505.45,0.0043,0.0042,,,0.0,,,,,175.0,,,,,primarytransit,2013,2016-04-28,
KIC 7917485 b,kic7917485b,,11.8,0.6,0.8,0.6,0.8,,,,,,840.0,20.0,22.0,,,0.15,0.1,0.13,,,,,,,,other,2016,2016-08-11,
KIC 8012732 b,kic8012732b,,,,,,,0.87,0.35,0.37,,,431.4681,0.00365,0.00358,,,,,,,,,,,,,primarytransit,2015,2016-05-23,
KIC 9413313 b,kic9413313b,,,,,,,,,,,,,,,,,,,,,,,,,,,primarytransit,2015,2016-05-23,
KIC 9662267 b,kic9662267b,,,,,,,0.34,0.096,0.096,,,466.202,0.0118,0.0118,,,0.11,0.11,0.41,,,236.0,,,,,primarytransit,2013,2014-05-22,
KIC 9704149 b,kic9704149b,,,,,,,0.4,0.09,0.09,,,697.0159,0.0058,0.0058,,,0.29,0.28,0.17,,,201.0,,,,,primarytransit,2013,2014-05-22,
KMT-2015-1 b,kmt-2015-1b,,2.2,1.4,1.4,1.4,1.4,,,,,,,,,,,,,,,,,,,,,microlensing,2015,2015-07-21,
KOI-1089.02,koi-1089.02,,0.64,0.0,0.64,0.0,0.64,0.625,0.083,0.083,,,12.21826,1e-05,1e-05,,,0.5,0.0,0.5,,,,,,,,primarytransit,2014,2014-07-04,
KOI-1257 A b,koi-1257ab,,1.45,0.35,0.35,0.35,0.35,0.94,0.12,0.12,,,86.647661,3.4e-05,3.4e-05,,,0.772,0.045,0.045,,,511.0,,,,,primarytransit,2014,2014-06-25,
KOI-1299 c,koi-1299c,,2.63,0.4,0.4,0.4,0.4,,,,,,411.0,0.9,3.2,,,0.64,0.14,0.14,,,,,,,,radialvelocity,2014,2014-11-19,
KOI-1843 b,koi-1843b,,0.001,0.0005,0.001,0.0005,0.001,0.052,0.007,0.01,,,0.1768913,2e-07,2e-07,,,,,,,,,,,,,primarytransit,2013,2016-06-27,
KOI-188 b,koi-188b,,0.25,0.08,0.08,0.08,0.08,0.978,0.022,0.022,,,3.79701816,1.9e-07,1.9e-07,,,0.33,0.0,0.33,,,1070.0,,,,,primarytransit,2014,2016-01-10,
KOI-192 b,koi-192b,,0.29,0.09,0.09,0.09,0.09,1.23,0.21,0.21,,,10.290994,1.1e-06,1.1e-06,,,0.57,0.0,0.57,,,1100.0,,,,,primarytransit,2014,2016-01-10,
KOI-195 b,koi-195b,,0.34,0.08,0.08,0.08,0.08,1.09,0.03,0.03,,,3.21751883,1.9e-07,1.9e-07,,,0.18,0.0,0.18,,,1300.0,,,,,primarytransit,2014,2014-10-29,
KOI-205 b,koi-205b,,39.9,1.0,1.0,1.0,1.0,0.807,0.022,0.022,,,11.7201248,2.1e-06,2.1e-06,,,0.016,0.015,0.015,,,,,,,,primarytransit,2013,2016-08-10,
KOI-206 b,koi-206b,,2.9,,,,,0.7,,,,,5.33,,,,,,,,,,,,,,,primarytransit,2012,2012-06-05,
KOI-2700 b,koi-2700b,,0.00270584903879,0.00270584903879432,0.0,0.00270584903879432,0.0,0.0945670346454,0.0945670346454,0.0,,,0.910022,5e-06,5e-06,,,,,,,,,,,,,primarytransit,2013,2014-08-22,
KOI-368.01,koi-368.01,,,,,,,1.83,0.02,0.02,,,110.3216,5e-05,5e-05,,,,,,,,754.0,,,,,primarytransit,2014,2014-04-04,
KOI-415 b,koi-415b,,62.14,2.69,2.69,2.69,2.69,0.79,0.07,0.12,,,166.78805,0.00022,0.00022,,,0.698,0.002,0.002,,,,,,,,primarytransit,2013,2016-08-10,
KOI-4427.01,koi-4427.01,,,,,,,0.164,0.021,0.021,,,147.6606,0.0014,0.0011,,,0.02,0.02,0.07,,,,,,,,primarytransit,2015,2015-07-27,
KOI-5833 b,koi-5833b,,,,,,,0.31,0.06,0.06,,,440.167,0.01671,0.01738,,,,,,,,,,,,,primarytransit,2015,2015-12-10,
KOI-5929 b,koi-5929b,,,,,,,0.37,0.04,0.04,,,466.0001,0.00775,0.00799,,,,,,,,,,,,,primarytransit,2015,2015-12-10,
KOI-620.02,koi-620.02,,0.0239121542963,0.00346096970078344,0.00346096970078344,0.00346096970078344,0.00346096970078344,0.865377581189,0.0446070918138849,0.0446070918138849,,,130.194,0.005,0.002,,,0.008,0.008,0.011,,,381.0,,,,,ttv,2014,2014-05-30,
KOI-680 b,koi-680b,,0.62,,,,,0.65,,,,,8.6,,,,,,,,,,,,,,,primarytransit,2012,2012-06-05,
KOI-682 b,koi-682b,,,,,,,0.88,0.17,0.17,,,562.70945,0.00399,0.0411,,,,,,,,,,,,,primarytransit,2015,2015-12-10,
KOI-771 b,koi-771b,,,,,,,1.23,0.098,0.098,,,670.6502,0.01,0.01,,,,,,,,,,,,,primarytransit,2015,2015-12-10,
KOI-830 b,koi-830b,,1.27,0.19,0.19,0.19,0.19,1.08,0.03,0.03,,,3.52563254,1.5e-07,1.5e-07,,,0.22,0.0,0.22,,,1070.0,,,,,primarytransit,2014,2014-10-29,
Kapteyn's b,kapteynsb,,0.0151024132398,0.00314633609162131,0.00314633609162131,0.00314633609162131,0.00314633609162131,,,,,,48.616,0.036,0.036,,,0.21,0.11,0.11,,,,,,,,radialvelocity,2014,2015-05-13,
Kapteyn's c,kapteynsc,,0.0220243526413,0.00377560330994557,0.00377560330994557,0.00377560330994557,0.00377560330994557,,,,,,121.54,0.25,0.25,,,0.23,0.12,0.12,,,,,,,,radialvelocity,2014,2014-06-04,
Kepler-10 b,kepler-10b,,0.0104772991851,0.00154170468489444,0.00154170468489444,0.00154170468489444,0.00154170468489444,0.1314,0.0023,0.0023,,,0.83749026,2.9e-07,2.9e-07,,,0.06,0.06,0.16,,,2169.0,,,,,primarytransit,2011,2015-11-25,
Kepler-10 c,kepler-10c,,0.0541183663676,0.00597923646649,0.00598311191399,0.00597923646649,0.00598311191399,0.2072,0.0025,0.0025,,,45.294301,4.8e-05,4.8e-05,,,0.05,0.05,0.2,,,584.0,,,,,primarytransit,2011,2015-11-25,
Kepler-100 b,kepler-100b,,0.0231,0.01,0.01,0.01,0.01,0.1164,0.0027,0.0027,,,6.887037,4.7e-05,4.7e-05,,,0.13,0.13,0.27,,,,,,,,primarytransit,2014,2015-11-20,
Kepler-100 c,kepler-100c,,0.0027,0.013,0.013,0.013,0.013,0.1981,0.002,0.002,,,12.815909,2.6e-05,2.6e-05,,,0.02,0.01,0.15,,,,,,,,primarytransit,2014,2015-11-20,
Kepler-100 d,kepler-100d,,0.0094,0.0094,0.0,0.0094,0.0,0.1351,0.003,0.003,,,35.33313,0.00043,0.00043,,,0.38,0.16,0.12,,,,,,,,primarytransit,2014,2015-11-20,
Kepler-1000 b,kepler-1000b,,,,,,,0.425,0.028,0.03,,,120.0181272,0.0003628,0.0003628,,,,,,,,,,,,,primarytransit,2016,2016-05-12,
Kepler-1001 b,kepler-1001b,,,,,,,0.281,0.043,0.03,,,14.30511983,4.34e-05,4.34e-05,,,,,,,,,,,,,primarytransit,2016,2016-05-12,
Kepler-1002 b,kepler-1002b,,,,,,,0.153,0.004,0.005,,,4.33642933,6.95e-06,6.95e-06,,,,,,,,,,,,,primarytransit,2016,2016-05-12,
Kepler-1003 b,kepler-1003b,,,,,,,0.159,0.02,0.043,,,3.55485691,6.71e-06,6.71e-06,,,,,,,,,,,,,primarytransit,2016,2016-05-12,
Kepler-1004 b,kepler-1004b,,,,,,,0.56,0.039,0.07,,,5.28789787,1.198e-05,1.198e-05,,,,,,,,,,,,,primarytransit,2016,2016-05-12,
Kepler-1005 b,kepler-1005b,,,,,,,0.134,0.013,0.019,,,6.49801525,1.32e-05,1.32e-05,,,,,,,,,,,,,primarytransit,2016,2016-05-12,
Kepler-1006 b,kepler-1006b,,,,,,,0.137,0.012,0.024,,,19.76172042,6.67e-05,6.67e-05,,,,,,,,,,,,,primarytransit,2016,2016-05-12,
Kepler-1007 b,kepler-1007b,,,,,,,0.128,0.006,0.006,,,5.18500207,9.32e-06,9.32e-06,,,,,,,,,,,,,primarytransit,2016,2016-05-12,
Kepler-1008 b,kepler-1008b,,,,,,,0.114,0.004,0.006,,,12.43931193,2.837e-05,2.837e-05,,,,,,,,,,,,,primarytransit,2016,2016-05-12,
Kepler-1009 b,kepler-1009b,,,,,,,0.194,0.021,0.024,,,11.35011917,2.25e-05,2.25e-05,,,,,,,,,,,,,primarytransit,2016,2016-05-12,
Kepler-101 b,kepler-101b,,,,,,,0.524,0.13,0.13,,,3.487691,2e-06,2e-06,,,,,,,,,,,,,primarytransit,2014,2014-03-06,
Kepler-101 c,kepler-101c,,,,,,,0.119,0.03,0.03,,,6.029809,0.000115,0.000115,,,,,,,,,,,,,primarytransit,2014,2014-03-06,
Kepler-1010 b,kepler-1010b,,,,,,,0.207,0.016,0.039,,,34.2685705,0.0001181,0.0001181,,,,,,,,,,,,,primarytransit,2016,2016-05-12,
Kepler-1011 b,kepler-1011b,,,,,,,0.256,0.039,0.026,,,5.75322197,9.42e-06,9.42e-06,,,,,,,,,,,,,primarytransit,2016,2016-05-12,
Kepler-1012 b,kepler-1012b,,,,,,,0.115,0.005,0.007,,,5.50860439,1.151e-05,1.151e-05,,,,,,,,,,,,,primarytransit,2016,2016-05-12,
Kepler-1013 b,kepler-1013b,,,,,,,0.192,0.018,0.032,,,18.93054959,4.672e-05,4.672e-05,,,,,,,,,,,,,primarytransit,2016,2016-05-12,
Kepler-1014 b,kepler-1014b,,,,,,,0.213,0.022,0.019,,,16.57110363,3.817e-05,3.817e-05,,,,,,,,,,,,,primarytransit,2016,2016-05-12,
Kepler-1015 b,kepler-1015b,,,,,,,0.317,0.059,0.118,,,16.00494214,4.175e-05,4.175e-05,,,,,,,,,,,,,primarytransit,2016,2016-05-12,
Kepler-1016 b,kepler-1016b,,,,,,,0.194,0.025,0.033,,,1.95452434,3.31e-06,3.31e-06,,,,,,,,,,,,,primarytransit,2016,2016-05-12,
Kepler-1016 c,kepler-1016c,,,,,,,0.328,0.033,0.058,,,105.6551369,0.0005452,0.0005452,,,,,,,,,,,,,primarytransit,2016,2016-05-12,
Kepler-1017 b,kepler-1017b,,,,,,,0.178,0.011,0.026,,,7.23400469,1.433e-05,1.433e-05,,,,,,,,,,,,,primarytransit,2016,2016-05-12,
Kepler-1018 b,kepler-1018b,,,,,,,0.23,0.017,0.027,,,49.1013514,0.0001876,0.0001876,,,,,,,,,,,,,primarytransit,2016,2016-05-12,
Kepler-1019 b,kepler-1019b,,,,,,,0.13,0.014,0.004,,,1.41122985,7.5e-07,7.5e-07,,,,,,,,,,,,,primarytransit,2016,2016-05-12,
Kepler-102 b,kepler-102b,,0.0013,0.005,0.005,0.005,0.005,0.042,0.002,0.002,,,5.28696,,,,,,,,,,792.0,,,,,primarytransit,2014,2015-12-10,
Kepler-102 c,kepler-102c,,0.009,inf,nan,inf,nan,0.052,0.002,0.002,,,7.07142,,,,,,,,,,718.0,,,,,primarytransit,2013,2015-12-10,
Kepler-102 d,kepler-102d,,0.0082,0.0035,0.0041,0.0035,0.0041,0.104,0.006,0.004,,,10.3117,,,,,,,,,,,,,,,primarytransit,2014,2015-12-09,
