# name,All planet names,Lists,mass,mass_error_min,mass_error_max,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,Radius [Rjup] lowerlimit,Radius [Rjup] upperlimit,orbital_period,orbital_period_error_min,orbital_period_error_max,Orbital period [days] lowerlimit,Orbital period [days] upperlimit,eccentricity,eccentricity_error_min,eccentricity_error_max,Eccentricity lowerlimit,Eccentricity upperlimit,temp_calculated,Equilibrium temperature [K] errorminus,Equilibrium temperature [K] errorplus,Equilibrium temperature [K] lowerlimit,Equilibrium temperature [K] upperlimit,detection_type,discovered,updated,source (xml)
55 Cnc c,55 Cnc c,,0.169,0.008,0.008,0.008,0.008,,,,,,44.3446,0.007,0.007,,,0.053,,,,,,,,,,Radial Velocity,2002,2011-06-07,
55 Cnc d,55 Cnc d,,4.802,0.4573,0.6223,0.4573,0.6223,,,,,,5218.0,230.0,230.0,,,0.025,0.03,0.03,,,,,,,,Radial Velocity,2002,2011-06-07,
55 Cnc e,55 Cnc e,,0.0262621097297,0.0012878946042,0.00137264299634,0.0012878946042,0.00137264299634,0.177536225419,0.00713713469022159,0.00713713469022159,,,0.7365417,2.8e-06,2.8e-06,,,0.06,inf,nan,,,,,,,,Primary Transit,2004,2015-12-01,
55 Cnc f,55 Cnc f,,0.144,0.04,0.04,0.04,0.04,,,,,,260.7,1.1,1.1,,,0.0002,,,,,,,,,,Radial Velocity,2007,2011-06-07,
6 Lyn b,6 Lyn b,,69.0,66.0,69.0,66.0,69.0,,,,,,899.0,19.0,19.0,,,0.134,0.052,0.052,,,,,,,,Radial Velocity,2008,2014-08-27,
61 Vir b,61 Vir b,,0.016,0.0016,0.0016,0.0016,0.0016,,,,,,4.215,0.0006,0.0006,,,0.12,0.11,0.11,,,,,,,,Radial Velocity,2009,2009-12-15,
61 Vir c,61 Vir c,,0.0573,0.0035,0.0035,0.0035,0.0035,,,,,,38.021,0.034,0.034,,,0.14,0.06,0.06,,,,,,,,Radial Velocity,2009,2009-12-15,
61 Vir d,61 Vir d,,0.072,0.008,0.008,0.008,0.008,,,,,,123.01,0.55,0.55,,,0.35,0.09,0.09,,,,,,,,Radial Velocity,2009,2009-12-15,
7 CMa b,7 CMa b,,2.46,0.14,0.14,0.14,0.14,,,,,,796.0,7.4,7.4,,,0.22,0.07,0.07,,,,,,,,Radial Velocity,2011,2015-10-19,
70 Vir b,70 Vir b,,6.6,,,,,,,,,,116.67,0.01,0.01,,,0.43,,,,,,,,,,Radial Velocity,1996,2010-12-29,
75 Cet b,75 Cet b,,3.0,,,,,,,,,,691.9,3.6,3.6,,,,,,,,,,,,,Radial Velocity,2012,2012-09-03,
8 Umi b,8 Umi b,,1.5,0.2,0.2,0.2,0.2,,,,,,93.4,4.5,4.5,,,0.06,0.18,0.18,,,,,,,,Radial Velocity,2015,2015-10-01,
81 Cet b,81 Cet b,,5.3,,,,,,,,,,952.7,8.8,8.8,,,0.206,0.029,0.029,,,,,,,,Radial Velocity,2008,2014-08-27,
91 Aqr b,91 Aqr b,,3.2,,,,,,,,,,181.4,0.1,0.1,,,0.027,0.026,0.026,,,,,,,,Radial Velocity,2003,2015-08-21,
AB Pic b,AB Pic b,,13.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,Imaging,2005,2010-12-06,
