# name,All planet names,Lists,mass,mass_error_min,mass_error_max,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,Radius [Rjup] lowerlimit,Radius [Rjup] upperlimit,orbital_period,orbital_period_error_min,orbital_period_error_max,Orbital period [days] lowerlimit,Orbital period [days] upperlimit,eccentricity,eccentricity_error_min,eccentricity_error_max,Eccentricity lowerlimit,Eccentricity upperlimit,temp_calculated,Equilibrium temperature [K] errorminus,Equilibrium temperature [K] errorplus,Equilibrium temperature [K] lowerlimit,Equilibrium temperature [K] upperlimit,detection_type,discovered,updated,source (xml)
HD 156668 b,HD 156668 b,,0.0131,0.0018,0.0018,0.0018,0.0018,,,,,,4.646,0.0011,0.0011,,,0.0,,,,,,,,,,Radial Velocity,2010,2010-05-24,
HD 157172 b,HD 157172 b,,0.12,,,,,,,,,,104.84,,,,,0.46,,,,,,,,,,Radial Velocity,2011,2011-09-12,
HD 158038 b,HD 158038 b,,1.8,0.2,0.2,0.2,0.2,,,,,,521.0,6.9,6.9,,,0.291,0.093,0.093,,,,,,,,Radial Velocity,2011,2011-09-02,
HD 159243 b,HD 159243 b,,1.13,0.05,0.05,0.05,0.05,,,,,,12.62,0.004,0.004,,,0.02,0.018,0.018,,,,,,,,Radial Velocity,2013,2014-08-25,
HD 159243 c,HD 159243 c,,1.9,0.13,0.13,0.13,0.13,,,,,,248.4,4.9,4.9,,,0.075,0.05,0.05,,,,,,,,Radial Velocity,2013,2014-08-25,
HD 159868 b,HD 159868 b,,2.1,0.11,0.11,0.11,0.11,,,,,,1178.4,8.8,8.8,,,0.01,0.03,0.03,,,,,,,,Radial Velocity,2007,2014-08-27,
HD 159868 c,HD 159868 c,,0.73,0.05,0.05,0.05,0.05,,,,,,352.3,1.3,1.3,,,0.15,0.05,0.05,,,,,,,,Radial Velocity,2012,2014-08-27,
HD 1605 b,HD 1605 b,,0.96,0.04,0.06,0.04,0.06,,,,,,577.9,4.9,5.6,,,0.078,0.035,0.082,,,,,,,,Radial Velocity,2015,2015-07-27,
HD 1605 c,HD 1605 c,,3.48,0.11,0.13,0.11,0.13,,,,,,2111.0,32.0,42.0,,,0.098,0.022,0.032,,,,,,,,Radial Velocity,2015,2015-07-27,
HD 160508 b,HD 160508 b,,48.0,3.0,3.0,3.0,3.0,,,,,,178.9049,0.0074,0.0074,,,0.5967,0.0009,0.0009,,,,,,,,Radial Velocity,2016,2016-02-10,
HD 16141 b,HD 16141 b,,0.215,0.03,0.03,0.03,0.03,,,,,,75.82,0.4,0.4,,,0.28,0.15,0.15,,,,,,,,Radial Velocity,2000,2010-12-29,
HD 16175 b,HD 16175 b,,4.77,0.37,0.37,0.37,0.37,,,,,,995.4,2.8,2.8,,,0.637,0.02,0.02,,,,,,,,Radial Velocity,2007,2016-04-29,
HD 162004 b,HD 162004 b,,1.53,0.1,0.1,0.1,0.1,,,,,,3117.0,42.0,42.0,,,0.4,0.05,0.05,,,,,,,,Radial Velocity,2015,2015-12-10,
HD 162020 b,HD 162020 b,,14.4,,,,,,,,,,8.428198,5.6e-05,5.6e-05,,,0.277,0.002,0.002,,,,,,,,Radial Velocity,2002,2010-12-29,
HD 163607 b,HD 163607 b,,0.77,0.04,0.04,0.04,0.04,,,,,,75.229,0.02,0.02,,,0.73,0.02,0.02,,,,,,,,Radial Velocity,2011,2013-05-20,
HD 163607 c,HD 163607 c,,2.29,0.16,0.16,0.16,0.16,,,,,,1314.0,8.0,8.0,,,0.12,0.06,0.06,,,,,,,,Radial Velocity,2011,2013-05-20,
HD 16417 b,HD 16417 b,,0.069,0.007,0.007,0.007,0.007,,,,,,17.24,0.01,0.01,,,0.2,0.09,0.09,,,,,,,,Radial Velocity,2009,2016-01-10,
HD 164509 b,HD 164509 b,,0.48,0.09,0.09,0.09,0.09,,,,,,282.4,3.8,3.8,,,0.26,0.14,0.14,,,,,,,,Radial Velocity,2011,2016-09-03,
HD 164595 b,HD 164595 b,,0.0516,0.00856,0.00856,0.00856,0.00856,,,,,,40.0,0.24,0.24,,,0.088,0.066,0.12,,,,,,,,Radial Velocity,2015,2015-09-03,
HD 164604 b,HD 164604 b,,2.7,1.3,1.3,1.3,1.3,,,,,,606.4,9.0,9.0,,,0.24,0.14,0.14,,,,,,,,Radial Velocity,2010,2014-08-27,
HD 164922 b,HD 164922 b,,0.3385,0.015,0.015,0.015,0.015,,,,,,1201.1,5.6,5.6,,,0.126,0.05,0.05,,,159.4,,,,,Radial Velocity,2006,2016-07-04,
HD 164922 c,HD 164922 c,,0.0406,0.005,0.005,0.005,0.005,,,,,,75.765,0.058,0.058,,,0.22,0.13,0.13,,,400.5,,,,,Radial Velocity,2016,2016-07-11,
HD 165155 b,HD 165155 b,,2.89,0.23,0.23,0.23,0.23,,,,,,434.5,2.1,2.1,,,0.2,0.03,0.03,,,,,,,,Radial Velocity,2016,2016-04-02,
HD 1666 b,HD 1666 b,,6.43,0.22,0.31,0.22,0.31,,,,,,270.0,0.9,0.8,,,0.63,0.03,0.03,,,,,,,,Radial Velocity,2015,2015-07-27,
HD 166724 b,HD 166724 b,,3.53,0.11,0.11,0.11,0.11,,,,,,8100.0,,,,,0.734,0.02,0.02,,,,,,,,Radial Velocity,2011,2012-11-30,
HD 167042 b,HD 167042 b,,1.6,,,,,,,,,,416.1,4.0,4.0,,,0.03,0.04,0.04,,,,,,,,Radial Velocity,2007,2007-10-19,
HD 168443 b,HD 168443 b,,7.659,0.0975,0.0975,0.0975,0.0975,,,,,,58.11247,0.0003,0.0003,,,0.52883,0.00103,0.00103,,,,,,,,Radial Velocity,1998,2016-01-10,
HD 168443 c,HD 168443 c,,29.463,6.1276,12.184,6.1276,12.184,,,,,,1749.83,0.57,0.57,,,0.2113,0.0017,0.0017,,,,,,,,Radial Velocity,2001,2014-08-22,
HD 168746 b,HD 168746 b,,0.23,,,,,,,,,,6.403,0.001,0.001,,,0.081,0.029,0.029,,,,,,,,Radial Velocity,2002,2010-12-29,
HD 1690 b,HD 1690 b,,6.1,0.9,0.9,0.9,0.9,,,,,,533.0,1.7,1.7,,,0.64,0.04,0.04,,,,,,,,Radial Velocity,2010,2010-12-20,
HD 169830 b,HD 169830 b,,2.88,,,,,,,,,,225.62,0.22,0.22,,,0.31,0.01,0.01,,,,,,,,Radial Velocity,2000,2010-12-23,
HD 169830 c,HD 169830 c,,4.04,,,,,,,,,,2102.0,264.0,264.0,,,0.33,0.02,0.02,,,,,,,,Radial Velocity,2003,2010-12-23,
HD 170469 b,HD 170469 b,,0.67,,,,,,,,,,1145.0,18.0,18.0,,,0.11,0.08,0.08,,,,,,,,Radial Velocity,2007,2007-10-31,
HD 17092 b,HD 17092 b,,4.6,0.3,0.3,0.3,0.3,,,,,,359.9,2.4,2.4,,,0.166,0.052,0.052,,,,,,,,Radial Velocity,2007,2007-05-07,
HD 171028 b,HD 171028 b,,1.98,,,,,,,,,,550.0,3.0,3.0,,,0.59,0.01,0.01,,,,,,,,Radial Velocity,2007,2010-11-10,
HD 171238 b,HD 171238 b,,2.6,0.15,0.15,0.15,0.15,,,,,,1523.0,45.0,45.0,,,0.4,0.065,0.065,,,,,,,,Radial Velocity,2009,2014-12-19,
HD 17156 b,HD 17156 b,,3.195,0.03383,0.03394,0.03383,0.03394,1.095,0.02,0.02,,,21.2163979,1.59e-05,1.59e-05,,,0.6768,0.0034,0.0034,,,,,,,,Primary Transit,2007,2014-08-16,
HD 173416 b,HD 173416 b,,2.7,0.3,0.3,0.3,0.3,,,,,,323.6,2.2,2.2,,,0.21,0.04,0.04,,,,,,,,Radial Velocity,2009,2009-01-12,
HD 175167 b,HD 175167 b,,7.8,3.5,3.5,3.5,3.5,,,,,,1290.0,22.0,22.0,,,0.54,0.09,0.09,,,,,,,,Radial Velocity,2010,2014-08-27,
HD 175370 b,HD 175370 b,,4.6,1.0,1.0,1.0,1.0,,,,,,349.5,4.5,4.5,,,0.22,0.1,0.1,,,,,,,,Radial Velocity,2016,2016-09-21,
HD 175541 b,HD 175541 b,,0.61,,,,,,,,,,297.3,6.0,6.0,,,0.33,0.2,0.2,,,,,,,,Radial Velocity,2007,2007-04-20,
HD 175607 b,HD 175607 b,,0.0283,0.0035,0.0035,0.0035,0.0035,,,,,,29.01,0.02,0.02,,,0.11,0.09,0.09,,,,,,,,Radial Velocity,2015,2015-12-30,
HD 176051 b,HD 176051 b,,1.5,0.3,0.3,0.3,0.3,,,,,,1016.0,40.0,40.0,,,0.0,,,,,,,,,,Astrometry,2010,2010-10-22,
HD 177830 b,HD 177830 b,,1.49,0.03,0.03,0.03,0.03,,,,,,406.6,0.4,0.4,,,0.0009,0.004,0.004,,,,,,,,Radial Velocity,1999,2012-08-17,
HD 177830 c,HD 177830 c,,0.15,0.03,0.03,0.03,0.03,,,,,,110.9,0.3,0.3,,,0.3495,0.0002,0.0002,,,,,,,,Radial Velocity,2010,2012-08-17,
HD 178911 B b,HD 178911 B b,,6.292,0.059,0.059,0.059,0.059,,,,,,71.487,0.018,0.018,,,0.1243,0.0075,0.0075,,,,,,,,Radial Velocity,2001,2010-12-29,
HD 179079 b,HD 179079 b,,0.08,,,,,,,,,,14.476,0.011,0.011,,,0.115,0.087,0.087,,,,,,,,Radial Velocity,2009,2009-08-13,
HD 179949 b,HD 179949 b,,0.92,,,,,1.05,,,,,3.0925,3e-05,3e-05,,,0.0104,0.0099,0.0104,,,,,,,,Radial Velocity,2000,2015-02-24,
HD 180314 b,HD 180314 b,,22.0,,,,,,,,,,396.03,0.62,0.62,,,0.257,0.01,0.01,,,,,,,,Radial Velocity,2010,2011-08-05,
HD 180777 b,HD 180777 b,,25.0,,,,,,,,,,28.44,,,,,0.2,0.01,0.01,,,,,,,,Radial Velocity,2006,2016-08-22,
HD 180902 b,HD 180902 b,,1.6,0.2,0.2,0.2,0.2,,,,,,479.0,13.0,13.0,,,0.09,0.11,0.11,,,,,,,,Radial Velocity,2010,2010-03-19,
HD 181342 b,HD 181342 b,,2.9,0.2,0.2,0.2,0.2,,,,,,562.0,6.0,6.0,,,0.1,0.07,0.07,,,,,,,,Radial Velocity,2010,2016-03-17,
HD 181433 b,HD 181433 b,,0.0238,,,,,,,,,,9.3743,0.0019,0.0019,,,0.396,0.062,0.062,,,,,,,,Radial Velocity,2008,2013-06-03,
HD 181433 c,HD 181433 c,,0.64,,,,,,,,,,962.0,15.0,15.0,,,0.28,0.02,0.02,,,,,,,,Radial Velocity,2008,2013-06-03,
HD 181433 d,HD 181433 d,,0.54,,,,,,,,,,2172.0,158.0,158.0,,,0.48,0.05,0.05,,,,,,,,Radial Velocity,2008,2013-06-03,
HD 181720 b,HD 181720 b,,12.0,5.9,200.0,5.9,200.0,,,,,,956.0,14.0,14.0,,,0.26,0.06,0.06,,,,,,,,Radial Velocity,2009,2014-07-10,
HD 183263 b,HD 183263 b,,3.67,0.3,0.3,0.3,0.3,,,,,,626.5,1.1,1.1,,,0.357,0.09,0.09,,,,,,,,Radial Velocity,2004,2010-12-17,
HD 183263 c,HD 183263 c,,3.82,0.59,0.59,0.59,0.59,,,,,,2950.0,340.0,340.0,,,0.253,0.076,0.076,,,,,,,,Radial Velocity,2008,2008-12-10,
HD 185269 b,HD 185269 b,,0.94,,,,,,,,,,6.838,0.001,0.001,,,0.3,0.04,0.04,,,,,,,,Radial Velocity,2006,2006-08-16,
HD 187085 b,HD 187085 b,,0.75,,,,,,,,,,986.0,,,,,0.47,,,,,,,,,,Radial Velocity,2006,2010-12-22,
HD 187123 b,HD 187123 b,,0.52,0.04,0.04,0.04,0.04,,,,,,3.0965828,7.8e-06,7.8e-06,,,0.01,0.006,0.006,,,,,,,,Radial Velocity,1998,2013-05-20,
HD 187123 c,HD 187123 c,,1.99,0.25,0.25,0.25,0.25,,,,,,3810.0,420.0,420.0,,,0.252,0.033,0.033,,,,,,,,Radial Velocity,1998,2013-05-20,
HD 18742 b,HD 18742 b,,2.7,0.3,0.3,0.3,0.3,,,,,,772.0,11.0,11.0,,,0.23,inf,nan,,,,,,,,Radial Velocity,2011,2011-09-02,
HD 188015 b,HD 188015 b,,1.26,,,,,,,,,,456.46,9.12,9.12,,,0.15,0.09,0.09,,,,,,,,Radial Velocity,2004,2010-12-30,
HD 189567 b,HD 189567 b,,0.0316,0.0034,0.0034,0.0034,0.0034,,,,,,14.275,0.0052,0.0052,,,0.23,0.14,0.14,,,,,,,,Radial Velocity,2011,2011-09-12,
HD 189733 b,HD 189733 b,,1.142,0.02515,0.02516,0.02515,0.02516,1.138,0.077,0.077,,,2.21857312,7.6e-07,7.6e-07,,,0.0041,0.002,0.002,,,,,,,,Primary Transit,2005,2016-10-08,
HD 190228 b,HD 190228 b,,65.7,20.4,20.4,20.4,20.4,,,,,,1146.0,16.0,16.0,,,0.5,0.04,0.04,,,,,,,,Radial Velocity,2002,2016-08-22,
HD 190360 b,HD 190360 b,,1.495,0.15,0.15,0.15,0.15,,,,,,2867.9,7.7,7.7,,,0.343,0.017,0.017,,,,,,,,Radial Velocity,2003,2015-09-03,
HD 190360 c,HD 190360 c,,0.06381,0.00994,0.00994,0.00994,0.00994,,,,,,17.1186,0.0016,0.0016,,,0.107,0.07,0.07,,,,,,,,Radial Velocity,2005,2015-09-03,
HD 190647 b,HD 190647 b,,1.9,0.06,0.06,0.06,0.06,,,,,,1038.1,4.9,4.9,,,0.18,0.02,0.02,,,,,,,,Radial Velocity,2007,2014-08-30,
HD 190984 b,HD 190984 b,,3.1,,,,,,,,,,4885.0,,,,,0.57,0.1,0.1,,,,,,,,Radial Velocity,2009,2010-11-06,
HD 191806 b,HD 191806 b,,8.52,0.63,0.63,0.63,0.63,,,,,,1606.3,7.2,7.2,,,0.259,0.017,0.017,,,,,,,,Radial Velocity,2016,2016-04-29,
HD 192263 b,HD 192263 b,,0.733,0.015,0.015,0.015,0.015,,,,,,24.3587,0.0022,0.0022,,,0.008,0.014,0.014,,,,,,,,Radial Velocity,1999,2014-08-22,
HD 192699 b,HD 192699 b,,2.5,,,,,,,,,,351.5,6.0,6.0,,,0.149,0.06,0.06,,,,,,,,Radial Velocity,2007,2007-04-20,
HD 19467 b,HD 19467 b,,52.0,4.3,4.3,4.3,4.3,,,,,,,,,,,,,,,,,,,,,Imaging,2016,2016-01-08,
HD 195019 b,HD 195019 b,,3.7,0.3,0.3,0.3,0.3,,,,,,18.20163,0.0004,0.0004,,,0.014,0.0044,0.0044,,,,,,,,Radial Velocity,1998,2006-11-25,
HD 196050 b,HD 196050 b,,2.83,,,,,,,,,,1316.24,,,,,0.21,,,,,,,,,,Radial Velocity,2002,2010-12-22,
HD 196067 b,HD 196067 b,,6.9,1.1,3.9,1.1,3.9,,,,,,3638.0,232.0,185.0,,,0.66,0.09,0.18,,,,,,,,Radial Velocity,2011,2014-05-26,
HD 196885 A b,HD 196885 A b,,2.98,0.05,0.05,0.05,0.05,,,,,,1326.0,3.7,3.7,,,0.48,0.02,0.02,,,,,,,,Radial Velocity,2007,2012-12-11,
HD 197037 b,HD 197037 b,,0.79,0.05,0.05,0.05,0.05,,,,,,1035.7,13.0,13.0,,,0.22,0.07,0.07,,,,,,,,Radial Velocity,2012,2012-02-04,
HD 19994 b,HD 19994 b,,1.68,,,,,,,,,,535.7,3.1,3.1,,,0.3,0.04,0.04,,,,,,,,Radial Velocity,2003,2016-07-12,
HD 20003 b,HD 20003 b,,0.0378,0.0031,0.0031,0.0031,0.0031,,,,,,11.849,0.0028,0.0028,,,0.4,0.08,0.08,,,,,,,,Radial Velocity,2011,2011-09-12,
HD 20003 c,HD 20003 c,,0.0422,0.004,0.004,0.004,0.004,,,,,,33.823,0.0654,0.0654,,,0.16,0.09,0.09,,,,,,,,Radial Velocity,2011,2011-09-12,
HD 200964 b,HD 200964 b,,1.85,0.08,0.14,0.08,0.14,,,,,,613.8,1.4,1.3,,,0.04,0.02,0.04,,,,,,,,Radial Velocity,2010,2014-05-26,
HD 200964 c,HD 200964 c,,0.895,0.063,0.123,0.063,0.123,,,,,,825.0,3.1,5.1,,,0.181,0.017,0.024,,,,,,,,Radial Velocity,2010,2014-05-26,
HD 202206 b,HD 202206 b,,17.4,,,,,,,,,,255.87,0.06,0.06,,,0.435,0.001,0.001,,,,,,,,Radial Velocity,2002,2010-12-30,
HD 202206 c,HD 202206 c,,2.44,,,,,,,,,,1383.4,18.4,18.4,,,0.267,0.021,0.021,,,,,,,,Radial Velocity,2004,2010-12-30,
HD 20367 b,HD 20367 b,,1.07,,,,,,,,,,500.0,6.0,6.0,,,0.23,0.1,0.1,,,,,,,,Radial Velocity,2002,2010-12-16,
HD 2039 b,HD 2039 b,,6.11,0.82,0.82,0.82,0.82,,,,,,1120.0,23.0,23.0,,,0.67,0.1,0.1,,,,,,,,Radial Velocity,2002,2016-01-19,
HD 204313 b,HD 204313 b,,4.28,0.3,0.3,0.3,0.3,,,,,,2024.1,3.1,3.1,,,0.0946,0.0032,0.0032,,,,,,,,Radial Velocity,2009,2015-10-26,
HD 204313 c,HD 204313 c,,0.0553,0.0053,0.0053,0.0053,0.0053,,,,,,34.905,0.012,0.012,,,0.155,0.071,0.071,,,,,,,,Radial Velocity,2011,2015-10-26,
HD 204313 d,HD 204313 d,,1.68,0.3,0.3,0.3,0.3,,,,,,2831.6,150.0,150.0,,,0.28,0.09,0.09,,,,,,,,Radial Velocity,2012,2012-05-22,
HD 204941 b,HD 204941 b,,0.266,0.032,0.032,0.032,0.032,,,,,,1733.0,74.0,74.0,,,0.37,0.08,0.08,,,,,,,,Radial Velocity,2011,2011-08-02,
HD 205739 b,HD 205739 b,,1.37,0.09,0.07,0.09,0.07,,,,,,279.8,0.1,0.1,,,0.27,0.07,0.07,,,,,,,,Radial Velocity,2008,2008-09-08,
HD 206610 b,HD 206610 b,,2.2,0.1,0.1,0.1,0.1,,,,,,610.0,13.0,13.0,,,0.229,0.058,0.058,,,,,,,,Radial Velocity,2010,2010-03-19,
HD 20781 b,HD 20781 b,,0.0379,0.0035,0.0035,0.0035,0.0035,,,,,,29.15,0.0201,0.0201,,,0.11,0.06,0.06,,,,,,,,Radial Velocity,2011,2014-05-08,
HD 20781 c,HD 20781 c,,0.0496,0.0038,0.0038,0.0038,0.0038,,,,,,85.131,0.1161,0.1161,,,0.28,0.09,0.09,,,,,,,,Radial Velocity,2011,2014-05-08,
HD 20782 b,HD 20782 b,,1.9,0.5,0.5,0.5,0.5,,,,,,591.9,2.8,2.8,,,0.97,0.01,0.01,,,,,,,,Radial Velocity,2006,2016-01-19,
HD 207832 b,HD 207832 b,,0.56,0.03,0.06,0.03,0.06,,,,,,161.97,0.78,0.97,,,0.13,0.05,0.18,,,,,,,,Radial Velocity,2012,2014-05-26,
HD 207832 c,HD 207832 c,,0.73,0.05,0.18,0.05,0.18,,,,,,1155.7,37.0,71.9,,,0.27,0.1,0.22,,,,,,,,Radial Velocity,2012,2014-05-26,
HD 20794 b,HD 20794 b,,0.0085,0.00094,0.00094,0.00094,0.00094,,,,,,18.315,0.008,0.008,,,0.0,,,,,,,,,,Radial Velocity,2011,2012-08-03,
HD 20794 c,HD 20794 c,,0.0076,0.0013,0.0013,0.0013,0.0013,,,,,,40.114,0.053,0.053,,,0.0,,,,,,,,,,Radial Velocity,2011,2012-08-03,
HD 20794 d,HD 20794 d,,0.015,0.0019,0.0019,0.0019,0.0019,,,,,,90.309,,,,,0.0,,,,,,,,,,Radial Velocity,2011,2012-08-03,
HD 208487 b,HD 208487 b,,0.413,0.05,0.05,0.05,0.05,,,,,,129.8,0.4,0.4,,,0.21,0.09,0.09,,,,,,,,Radial Velocity,2004,2010-12-24,
HD 208527 b,HD 208527 b,,9.9,1.7,1.7,1.7,1.7,,,,,,875.5,5.8,5.8,,,0.08,0.04,0.04,,,,,,,,Radial Velocity,2012,2012-11-12,
HD 20868 b,HD 20868 b,,1.99,0.05,0.05,0.05,0.05,,,,,,380.85,0.09,0.09,,,0.75,0.002,0.002,,,,,,,,Radial Velocity,2008,2014-08-27,
HD 209458 b,HD 209458 b,,0.69,0.017,0.017,0.017,0.017,1.38,0.018,0.018,,,3.52472,2.82e-05,2.82e-05,,,0.0082,0.0082,0.0078,,,,,,,,Primary Transit,1999,2016-06-02,
HD 210277 b,HD 210277 b,,1.23,0.03,0.03,0.03,0.03,,,,,,442.1,0.4,0.4,,,0.472,0.011,0.011,,,,,,,,Radial Velocity,1998,2006-09-06,
HD 210702 b,HD 210702 b,,1.9,,,,,,,,,,354.8,1.1,1.1,,,0.152,0.08,0.08,,,,,,,,Radial Velocity,2007,2012-09-01,
HD 211847 b,HD 211847 b,,19.2,1.2,1.2,1.2,1.2,,,,,,7930.0,2000.0,2500.0,,,0.685,0.07,0.07,,,,,,,,Radial Velocity,2011,2014-06-18,
HD 212301 b,HD 212301 b,,0.4,,,,,1.07,,,,,2.245715,2.8e-05,2.8e-05,,,0.0147,0.0147,0.0365,,,,,,,,Radial Velocity,2005,2015-07-27,
HD 212771 b,HD 212771 b,,2.3,0.4,0.4,0.4,0.4,,,,,,373.3,3.4,3.4,,,0.111,0.06,0.06,,,,,,,,Radial Velocity,2010,2010-03-19,
HD 213240 b,HD 213240 b,,4.5,,,,,,,,,,951.0,42.0,42.0,,,0.45,0.04,0.04,,,,,,,,Radial Velocity,2001,2012-09-25,
HD 214823 b,HD 214823 b,,19.2,1.4,1.4,1.4,1.4,,,,,,1877.0,15.0,15.0,,,0.154,0.014,0.014,,,,,,,,Radial Velocity,2016,2016-04-29,
HD 215152 b,HD 215152 b,,0.0087,0.0049,0.0049,0.0049,0.0049,,,,,,7.2825,0.0057,0.0057,,,0.34,0.27,0.27,,,,,,,,Radial Velocity,2011,2011-09-12,
HD 215152 c,HD 215152 c,,0.0097,0.0032,0.0032,0.0032,0.0032,,,,,,10.866,0.0137,0.0137,,,0.38,0.23,0.23,,,,,,,,Radial Velocity,2011,2011-09-12,
HD 215456 b,HD 215456 b,,0.101,,,,,,,,,,191.99,,,,,0.15,,,,,,,,,,Radial Velocity,2011,2011-09-12,
HD 215456 c,HD 215456 c,,0.246,,,,,,,,,,2277.0,,,,,0.19,,,,,,,,,,Radial Velocity,2011,2011-09-12,
HD 215497 b,HD 215497 b,,0.02,,,,,,,,,,3.93404,0.00066,0.00066,,,0.16,0.009,0.009,,,,,,,,Radial Velocity,2009,2010-12-06,
HD 215497 c,HD 215497 c,,0.33,,,,,,,,,,567.94,2.7,2.7,,,0.49,0.04,0.04,,,,,,,,Radial Velocity,2009,2010-12-06,
HD 216435 b,HD 216435 b,,1.26,0.13,0.13,0.13,0.13,,,,,,1311.0,49.0,49.0,,,0.07,0.078,0.078,,,,,,,,Radial Velocity,2002,2016-01-15,
HD 216437 b,HD 216437 b,,1.82,,,,,,,,,,1256.0,35.0,35.0,,,0.29,0.12,0.12,,,,,,,,Radial Velocity,2002,2010-12-30,
HD 216536 b,HD 216536 b,,1.47,0.12,0.2,0.12,0.2,,,,,,148.6,0.7,0.7,,,0.38,0.12,0.12,,,,,,,,Radial Velocity,2015,2016-01-10,
HD 216770 b,HD 216770 b,,0.65,,,,,,,,,,118.45,0.4,0.4,,,0.37,0.06,0.06,,,,,,,,Radial Velocity,2003,2010-12-30,
HD 21693 b,HD 21693 b,,0.0322,0.0046,0.0046,0.0046,0.0046,,,,,,22.656,0.0236,0.0236,,,0.26,0.17,0.17,,,,,,,,Radial Velocity,2011,2011-09-12,
HD 21693 c,HD 21693 c,,0.06472,0.0057,0.0057,0.0057,0.0057,,,,,,53.881,0.0704,0.0704,,,0.24,0.09,0.09,,,,,,,,Radial Velocity,2011,2011-09-12,
HD 217107 b,HD 217107 b,,1.33,0.05,0.05,0.05,0.05,,,,,,7.12689,5e-05,5e-05,,,0.132,0.005,0.005,,,,,,,,Radial Velocity,1998,2013-05-20,
HD 217107 c,HD 217107 c,,2.49,0.25,0.25,0.25,0.25,,,,,,4210.0,190.0,190.0,,,0.517,0.033,0.033,,,,,,,,Radial Velocity,1998,2013-05-20,
HD 217786 b,HD 217786 b,,13.0,0.8,0.8,0.8,0.8,,,,,,1319.0,4.0,4.0,,,0.4,0.05,0.05,,,,,,,,Radial Velocity,2010,2010-12-20,
HD 218566 b,HD 218566 b,,0.21,0.02,0.02,0.02,0.02,,,,,,225.7,0.4,0.4,,,0.3,0.1,0.1,,,,,,,,Radial Velocity,2010,2010-11-19,
HD 219077 b,HD 219077 b,,10.39,0.09,0.09,0.09,0.09,,,,,,5501.0,130.0,130.0,,,0.77,0.003,0.003,,,,,,,,Radial Velocity,2012,2013-01-17,
HD 219134 b,HD 219134 b,,0.012,0.001,0.001,0.001,0.001,0.1433,0.0077,0.0077,,,3.0931,0.0001,0.0001,,,0.0,0.0,0.13,,,,,,,,Primary Transit,2015,2015-11-25,
HD 219134 c,HD 219134 c,,0.011,0.002,0.002,0.002,0.002,,,,,,6.7635,0.0006,0.0006,,,0.0,0.0,0.26,,,,,,,,Radial Velocity,2015,2015-11-17,
HD 219134 d,HD 219134 d,,0.067,0.004,0.004,0.004,0.004,,,,,,46.71,0.01,0.01,,,0.0,,,,,,,,,,Radial Velocity,2015,2015-11-17,
HD 219134 e,HD 219134 e,,0.0117,0.006,0.19,0.006,0.19,,,,,,1190.0,34.0,379.0,,,0.34,0.17,0.17,,,,,,,,Radial Velocity,2015,2016-05-05,
HD 219134 g,HD 219134 g,,0.034,0.004,0.004,0.004,0.004,,,,,,94.2,0.2,0.2,,,0.0,,,,,,,,,,Radial Velocity,2015,2015-11-17,
HD 219134 h,HD 219134 h,,0.28,0.056,0.056,0.056,0.056,,,,,,2198.0,51.0,51.0,,,0.37,0.18,0.18,,,,,,,,Radial Velocity,2015,2016-02-18,
HD 219415 b,HD 219415 b,,1.0,,,,,,,,,,2093.3,32.7,32.7,,,,,,,,,,,,,Radial Velocity,2012,2013-01-17,
HD 219828 b,HD 219828 b,,0.0661,0.0044,0.0044,0.0044,0.0044,,,,,,3.834887,9.6e-05,9.6e-05,,,0.059,0.036,0.036,,,,,,,,Radial Velocity,2007,2016-05-24,
HD 219828 c,HD 219828 c,,15.1,0.85,0.85,0.85,0.85,,,,,,4791.0,75.0,75.0,,,0.8118,0.0032,0.0032,,,,,,,,Radial Velocity,2016,2016-05-24,
HD 220074 b,HD 220074 b,,11.1,1.8,1.8,1.8,1.8,,,,,,672.1,3.7,3.7,,,0.14,0.05,0.05,,,,,,,,Radial Velocity,2012,2012-11-13,
HD 220689 b,HD 220689 b,,1.06,0.09,0.09,0.09,0.09,,,,,,2209.0,103.0,81.0,,,0.16,0.07,0.1,,,,,,,,Radial Velocity,2011,2014-05-21,
HD 220773 b,HD 220773 b,,1.45,0.3,0.3,0.3,0.3,,,,,,3724.7,463.0,463.0,,,0.51,0.1,0.1,,,,,,,,Radial Velocity,2012,2012-02-04,
HD 220842 b,HD 220842 b,,3.18,0.15,0.15,0.15,0.15,,,,,,218.47,0.19,0.19,,,0.404,0.009,0.009,,,,,,,,Radial Velocity,2016,2016-02-17,
HD 221287 b,HD 221287 b,,3.09,0.79,0.79,0.79,0.79,,,,,,456.1,7.7,7.7,,,0.08,0.17,0.17,,,,,,,,Radial Velocity,2007,2014-08-30,
HD 221585 b,HD 221585 b,,1.61,0.14,0.14,0.14,0.14,,,,,,1173.0,16.0,16.0,,,0.123,0.069,0.069,,,,,,,,Radial Velocity,2016,2016-04-29,
HD 222076,HD 222076,,1.56,0.11,0.11,0.11,0.11,,,,,,871.0,19.0,19.0,,,0.08,0.05,0.05,,,,,,,,Radial Velocity,2016,2016-11-24,
HD 222155 b,HD 222155 b,,1.9,0.53,0.67,0.53,0.67,,,,,,3999.0,541.0,541.0,,,0.16,0.22,0.22,,,,,,,,Radial Velocity,2012,2012-05-25,
