Primary star name(from standardize_OEC_star.csv),star_name(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun](from standardize_OEC_star.csv),star_mass(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun] errorminus(from standardize_OEC_star.csv),star_mass_error_min(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun] errorplus(from standardize_OEC_star.csv),star_mass_error_max(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun](from standardize_OEC_star.csv),star_radius(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun] errorminus(from standardize_OEC_star.csv),star_radius_error_min(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun] errorplus(from standardize_OEC_star.csv),star_radius_error_max(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr](from standardize_OEC_star.csv),star_age(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] errorminus(from standardize_OEC_star.csv),star_age_error_min(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] errorplus(from standardize_OEC_star.csv),star_age_error_max(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] lowerlimit(from standardize_OEC_star.csv),star_age_error_min(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] upperlimit(from standardize_OEC_star.csv),star_age_error_max(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H](from standardize_OEC_star.csv),star_metallicity(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorminus(from standardize_OEC_star.csv),star_metallicity_error_min(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorplus(from standardize_OEC_star.csv),star_metallicity_error_max(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K](from standardize_OEC_star.csv),star_teff(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K] errorminus(from standardize_OEC_star.csv),star_teff_error_min(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K] errorplus(from standardize_OEC_star.csv),star_teff_error_max(from standardize_EU_Catalogue_Star_Data.csv),Spectral type(from standardize_OEC_star.csv),Spectral type(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude(from standardize_OEC_star.csv),mag_v(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude errorminus(from standardize_OEC_star.csv),Visual magnitude errorminus(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude errorplus(from standardize_OEC_star.csv),Visual magnitude errorplus(from standardize_EU_Catalogue_Star_Data.csv),source (xml)(from standardize_OEC_star.csv),source (xml)(from standardize_EU_Catalogue_Star_Data.csv)
Kepler-1016,Kepler-1016,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.182,0.14,0.137,,,169.9,169.89,177.4,177.41,,,,,,,,,Kepler-1016.xml,
Kepler-1017,Kepler-1017,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.105,0.10,0.101,,,81.0,81.05,93.2,93.16,,,,,,,,,Kepler-1017.xml,
Kepler-1018,Kepler-1018,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.183,0.15,0.154,,,57.6,57.64,61.2,61.16,,,,,,,,,Kepler-1018.xml,
Kepler-1019,Kepler-1019,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.178,0.17,0.175,,,45.1,45.09,43.7,43.73,,,,,,,,,Kepler-1019.xml,
Kepler-102,Kepler-102,0.80,0.81,0.06,0.09,0.06,0.04,0.74,0.76,0.02,0.07,0.02,0.07,,,,,,,,,,,0.08,0.18,0.07,0.47,0.07,0.42,4903,4809.0,74,41.0,74,41.0,,,12.07,11.492,0.19,,0.19,,Kepler-102.xml,
Kepler-1020,Kepler-1020,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.101,0.10,0.103,,,60.6,60.63,66.7,66.71,,,,,,,,,Kepler-1020.xml,
Kepler-1021,Kepler-1021,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.147,,,144.0,143.99,143.1,143.14,,,,,,,,,Kepler-1021.xml,
Kepler-1022,Kepler-1022,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.175,0.16,0.157,,,51.8,51.77,49.5,49.47,,,,,,,,,Kepler-1022.xml,
Kepler-1023,Kepler-1023,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.161,0.15,0.155,,,98.7,98.69,75.3,75.28,,,,,,,,,Kepler-1023.xml,
Kepler-1024,Kepler-1024,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.182,0.14,0.142,,,76.4,76.37,126.7,126.73,,,,,,,,,Kepler-1024.xml,
Kepler-1025,Kepler-1025,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.181,0.14,0.145,,,95.5,95.52,,,,,,,,,,,Kepler-1025.xml,
Kepler-1026,Kepler-1026,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.167,0.15,0.151,,,89.4,89.37,85.8,85.79,,,,,,,,,Kepler-1026.xml,
Kepler-1027,Kepler-1027,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.087,0.11,0.107,,,58.5,58.48,66.8,66.85,,,,,,,,,Kepler-1027.xml,
Kepler-1028,Kepler-1028,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.195,0.17,0.166,,,78.2,78.23,102.7,102.65,,,,,,,,,Kepler-1028.xml,
Kepler-1029,Kepler-1029,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.172,0.16,0.163,,,91.8,91.81,68.4,68.38,,,,,,,,,Kepler-1029.xml,
Kepler-103,Kepler-103,1.09,1.099,0.07,0.03,0.07,0.019,1.44,1.455,0.04,0.013,0.04,0.024,5.70,6.67,,0.62,,0.69,,0.62,,0.69,,,,,,,,,,,,,,,11.88,12.287,0.16,,0.16,,Kepler-103.xml,
Kepler-1030,Kepler-1030,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.161,0.15,0.154,,,85.0,85.01,78.4,78.38,,,,,,,,,Kepler-1030.xml,
Kepler-1031,Kepler-1031,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.136,,,,,125.9,125.91,,,,,,,,,Kepler-1031.xml,
Kepler-1032,Kepler-1032,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.211,0.10,0.103,,,84.4,84.37,57.1,57.14,,,,,,,,,Kepler-1032.xml,
Kepler-1033,Kepler-1033,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.156,0.15,0.147,,,66.5,66.49,59.8,59.76,,,,,,,,,Kepler-1033.xml,
Kepler-1034,Kepler-1034,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.172,0.15,0.148,,,86.2,86.25,102.4,102.36,,,,,,,,,Kepler-1034.xml,
Kepler-1035,Kepler-1035,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.183,0.14,0.135,,,121.2,121.15,114.3,114.35,,,,,,,,,Kepler-1035.xml,
Kepler-1036,Kepler-1036,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.099,0.10,0.105,,,69.6,69.58,83.3,83.31,,,,,,,,,Kepler-1036.xml,
Kepler-1037,Kepler-1037,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.164,0.14,0.139,,,70.7,70.71,97.0,96.95,,,,,,,,,Kepler-1037.xml,
Kepler-1038,Kepler-1038,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.176,0.16,0.158,,,212.9,212.93,253.3,253.32,,,,,,,,,Kepler-1038.xml,
Kepler-1039,Kepler-1039,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.164,,,,,173.3,173.27,194.2,194.18,,,,,,,,,Kepler-1039.xml,
Kepler-104,Kepler-104,0.8070,0.81,0.0390,,0.0390,,1.349,1.35,.223,0.22,0.223,0.22,,,,,,,,,,,,-0.777,,,,,,,4,74.0,,,,,,,,,,,Kepler-104.xml,
Kepler-1040,Kepler-1040,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.102,0.09,0.094,,,65.7,65.65,78.2,78.24,,,,,,,,,Kepler-1040.xml,
Kepler-1041,Kepler-1041,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.175,0.14,0.136,,,105.2,105.23,107.7,107.73,,,,,,,,,Kepler-1041.xml,
Kepler-1042,Kepler-1042,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.195,0.15,0.153,,,79.6,79.62,86.9,86.89,,,,,,,,,Kepler-1042.xml,
Kepler-1043,Kepler-1043,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.187,0.15,0.155,,,67.6,67.58,73.2,73.19,,,,,,,,,Kepler-1043.xml,
Kepler-1044,Kepler-1044,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.163,0.14,0.137,,,124.5,124.51,112.3,112.26,,,,,,,,,Kepler-1044.xml,
Kepler-1045,Kepler-1045,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.163,0.15,0.146,,,59.8,59.81,56.0,56.01,,,,,,,,,Kepler-1045.xml,
Kepler-1046,Kepler-1046,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.092,0.09,0.089,,,81.9,81.92,72.8,72.81,,,,,,,,,Kepler-1046.xml,
Kepler-1047,Kepler-1047,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.062,0.07,0.065,,,,,83.6,83.64,,,,,,,,,Kepler-1047.xml,
Kepler-1048,Kepler-1048,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.149,,,62.4,62.38,59.4,59.42,,,,,,,,,Kepler-1048.xml,
Kepler-1049,Kepler-1049,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.078,0.08,0.083,,,,,42.0,42.03,,,,,,,,,Kepler-1049.xml,
Kepler-105,Kepler-105,1.1800,1.28,0.0930,0.12,0.0930,0.12,,,0.245,0.24,0.245,0.24,,,,,,,,,,,,-0.22,,0.47,,0.47,,,,,,,,,,,,,,,Kepler-105.xml,
Kepler-1050,Kepler-1050,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.165,0.14,0.141,,,99.7,99.65,90.7,90.67,,,,,,,,,Kepler-1050.xml,
Kepler-1051,Kepler-1051,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.166,,,,,,,270.6,270.59,,,,,,,,,Kepler-1051.xml,
Kepler-1052,Kepler-1052,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.175,,,,,173.3,173.26,,,,,,,,,,,Kepler-1052.xml,
Kepler-1053,Kepler-1053,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.171,,,,,98.2,98.25,81.7,81.74,,,,,,,,,Kepler-1053.xml,
Kepler-1054,Kepler-1054,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.138,0.14,0.143,,,147.0,147.02,106.6,106.61,,,,,,,,,Kepler-1054.xml,
Kepler-1055,Kepler-1055,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.099,0.10,0.098,,,61.7,61.68,76.3,76.28,,,,,,,,,Kepler-1055.xml,
Kepler-1056,Kepler-1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.3,285.27,199.8,199.75,,,,,,,,,Kepler-1056.xml,
Kepler-1057,Kepler-1057,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.181,0.13,0.132,,,297.0,296.99,293.8,293.78,,,,,,,,,Kepler-1057.xml,
Kepler-1058,Kepler-1058,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.171,0.18,0.178,,,112.7,112.73,89.8,89.85,,,,,,,,,Kepler-1058.xml,
Kepler-1059,Kepler-1059,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.236,,,,,62.3,62.34,81.5,81.53,,,,,,,,,Kepler-1059.xml,
Kepler-106,Kepler-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.98,12.882,,,,,Kepler-106.xml,
Kepler-1060,Kepler-1060,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.192,0.15,0.155,,,198.6,198.61,181.0,180.98,,,,,,,,,Kepler-1060.xml,
Kepler-1061,Kepler-1061,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.101,0.10,0.096,,,59.0,59.04,71.8,71.81,,,,,,,,,Kepler-1061.xml,
Kepler-1062,Kepler-1062,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.142,,,,,61.9,61.91,,,,,,,,,Kepler-1062.xml,
Kepler-1063,Kepler-1063,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.133,0.15,0.146,,,155.4,155.38,188.8,188.84,,,,,,,,,Kepler-1063.xml,
Kepler-1064,Kepler-1064,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.097,0.10,0.101,,,60.0,59.98,80.6,80.62,,,,,,,,,Kepler-1064.xml,
Kepler-1065,Kepler-1065,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.178,0.14,0.138,,,202.4,202.38,166.0,166.04,,,,,,,,,Kepler-1065.xml,
Kepler-1066,Kepler-1066,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.183,0.14,0.143,,,209.5,209.47,287.4,287.38,,,,,,,,,Kepler-1066.xml,
Kepler-1067,Kepler-1067,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.172,0.13,0.132,,,65.9,65.87,63.0,63.05,,,,,,,,,Kepler-1067.xml,
Kepler-1068,Kepler-1068,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.176,0.14,0.142,,,170.0,169.98,123.7,123.65,,,,,,,,,Kepler-1068.xml,
Kepler-1069,Kepler-1069,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.161,,,,,104.9,104.94,88.8,88.79,,,,,,,,,Kepler-1069.xml,
Kepler-107,Kepler-107,1.1830,,0.0390,,0.0390,,1.411,1.41,0.047,0.05,0.047,0.05,,,,,,,,,,,0.27,-0.092,0.10,,0.10,,,,,,,,,,,,,,,,Kepler-107.xml,
Kepler-1070,Kepler-1070,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.175,0.13,0.132,,,114.4,114.36,114.1,114.14,,,,,,,,,Kepler-1070.xml,
Kepler-1071,Kepler-1071,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.113,0.11,0.108,,,83.3,83.32,78.4,78.36,,,,,,,,,Kepler-1071.xml,
Kepler-1072,Kepler-1072,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.132,0.13,0.129,,,123.2,123.19,102.8,102.85,,,,,,,,,Kepler-1072.xml,
Kepler-1073,Kepler-1073,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.171,0.14,0.138,,,186.2,186.16,252.9,252.91,,,,,,,,,Kepler-1073.xml,
Kepler-1074,Kepler-1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6,33.56,33.5,33.45,,,,,,,,,Kepler-1074.xml,
Kepler-1075,Kepler-1075,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.105,0.11,0.111,,,38.7,38.69,39.3,39.29,,,,,,,,,Kepler-1075.xml,
Kepler-1076,Kepler-1076,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.111,0.10,0.101,,,45.6,45.61,38.2,38.24,,,,,,,,,Kepler-1076.xml,
Kepler-1077,Kepler-1077,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.126,,,113.5,113.54,99.9,99.93,,,,,,,,,Kepler-1077.xml,
Kepler-1078,Kepler-1078,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.186,0.14,0.142,,,123.5,123.53,100.2,100.22,,,,,,,,,Kepler-1078.xml,
Kepler-1079,Kepler-1079,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.128,0.10,0.098,,,84.6,84.62,90.6,90.64,,,,,,,,,Kepler-1079.xml,
Kepler-108,Kepler-108,0.8900,0.87,0.1700,,0.1700,,2.192,2.19,0.121,0.12,0.121,0.12,,,,,,,,,,,,-0.026,,,,,,,2,92.0,,,,,,,,,,,Kepler-108.xml,
Kepler-1080,Kepler-1080,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.143,0.15,0.147,,,88.0,87.98,,,,,,,,,,,Kepler-1080.xml,
Kepler-1081,Kepler-1081,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.155,0.14,0.141,,,,,,,,,,,,,,,Kepler-1081.xml,
Kepler-1082,Kepler-1082,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.125,0.10,0.105,,,64.3,64.28,80.7,80.65,,,,,,,,,Kepler-1082.xml,
Kepler-1083,Kepler-1083,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.166,0.15,0.155,,,46.4,46.43,45.5,45.47,,,,,,,,,Kepler-1083.xml,
Kepler-1084,Kepler-1084,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.108,0.08,0.083,,,75.6,75.56,63.7,63.72,,,,,,,,,Kepler-1084.xml,
Kepler-1085,Kepler-1085,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.158,0.14,0.145,,,,,83.8,83.83,,,,,,,,,Kepler-1085.xml,
Kepler-1086,Kepler-1086,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.129,0.09,0.094,,,34.1,34.14,46.0,45.98,,,,,,,,,Kepler-1086.xml,
Kepler-1087,Kepler-1087,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.255,0.15,0.153,,,191.4,191.41,,,,,,,,,,,Kepler-1087.xml,
Kepler-1088,Kepler-1088,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.082,0.08,0.082,,,58.2,58.16,64.4,64.37,,,,,,,,,Kepler-1088.xml,
Kepler-1089,Kepler-1089,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.084,0.09,0.087,,,32.5,32.55,32.4,32.38,,,,,,,,,Kepler-1089.xml,
Kepler-109,Kepler-109,1.04,1.069,0.06,0.04,0.06,0.04,1.32,1.339,0.04,0.015,0.04,0.017,5.73,6.35,,1.05,,1.05,,1.05,,1.05,,,,,,,,,,,,,,,12.93,12.365,,,,,Kepler-109.xml,
Kepler-1090,Kepler-1090,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.165,0.15,0.149,,,145.4,145.36,147.8,147.76,,,,,,,,,Kepler-1090.xml,
Kepler-1091,Kepler-1091,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.179,0.13,0.134,,,,,286.3,286.31,,,,,,,,,Kepler-1091.xml,
Kepler-1092,Kepler-1092,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.195,0.16,0.164,,,156.1,156.05,195.0,195.01,,,,,,,,,Kepler-1092.xml,
Kepler-1093,Kepler-1093,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.203,0.13,0.132,,,138.4,138.45,147.6,147.64,,,,,,,,,Kepler-1093.xml,
Kepler-1094,Kepler-1094,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.148,0.14,0.135,,,187.7,187.65,127.4,127.39,,,,,,,,,Kepler-1094.xml,
Kepler-1095,Kepler-1095,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.195,0.16,0.158,,,,,206.3,206.29,,,,,,,,,Kepler-1095.xml,
Kepler-1096,Kepler-1096,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.098,0.13,0.132,,,39.8,39.79,53.1,53.07,,,,,,,,,Kepler-1096.xml,
Kepler-1097,Kepler-1097,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.176,,,,,86.8,86.77,77.1,77.13,,,,,,,,,Kepler-1097.xml,
Kepler-1098,Kepler-1098,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.173,0.14,0.141,,,216.4,216.42,204.8,204.81,,,,,,,,,Kepler-1098.xml,
Kepler-1099,Kepler-1099,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.177,0.14,0.143,,,82.6,82.61,92.9,92.89,,,,,,,,,Kepler-1099.xml,
Kepler-11,Kepler-11,0.961,0.95,0.024,0.1,0.027,0.1,1.053,1.1,0.015,0.1,0.013,0.1,8.1,8.0,1.3,2.0,1.2,2.0,,2.0,,2.0,,0.0,,0.1,,0.1,5663,5680.0,67,100.0,55,100.0,g,,,,,,,,Kepler-11.xml,
Kepler-110,Kepler-110,1.0670,,0.0640,,0.0640,,1.149,1.15,.228,0.23,0.228,0.23,,,,,,,,,,,,-0.151,,,,,,,53,153.0,,,,,,,,,,,Kepler-110.xml,
Kepler-1100,Kepler-1100,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.144,0.14,0.135,,,164.4,164.45,128.6,128.56,,,,,,,,,Kepler-1100.xml,
Kepler-1101,Kepler-1101,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.178,,,,,168.7,168.73,130.3,130.34,,,,,,,,,Kepler-1101.xml,
Kepler-1102,Kepler-1102,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.204,0.16,0.162,,,71.3,71.34,,,,,,,,,,,Kepler-1102.xml,
Kepler-1103,Kepler-1103,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.183,0.14,0.136,,,106.6,106.64,106.1,106.14,,,,,,,,,Kepler-1103.xml,
Kepler-1104,Kepler-1104,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.099,0.10,0.097,,,84.1,84.06,90.5,90.52,,,,,,,,,Kepler-1104.xml,
Kepler-1105,Kepler-1105,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.109,0.08,0.082,,,47.8,47.77,41.8,41.81,,,,,,,,,Kepler-1105.xml,
Kepler-1106,Kepler-1106,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.171,0.12,0.125,,,185.3,185.27,152.4,152.44,,,,,,,,,Kepler-1106.xml,
Kepler-1107,Kepler-1107,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.162,0.15,0.148,,,126.8,126.81,105.0,104.99,,,,,,,,,Kepler-1107.xml,
Kepler-1108,Kepler-1108,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.182,0.16,0.158,,,,,,,,,,,,,,,Kepler-1108.xml,
Kepler-1109,Kepler-1109,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.147,0.14,0.141,,,163.5,163.52,111.4,111.41,,,,,,,,,Kepler-1109.xml,
Kepler-111,Kepler-111,1.1710,,0.0300,,0.0300,,1.157,1.16,.143,0.14,0.143,0.14,,,,,,,,,,,,0.005,,,,,,,4,74.0,,,,,,,,,,,Kepler-111.xml,
Kepler-1110,Kepler-1110,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.188,0.18,0.185,,,,,88.0,88.04,,,,,,,,,Kepler-1110.xml,
Kepler-1111,Kepler-1111,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.136,,,,,143.8,143.77,,,,,,,,,Kepler-1111.xml,
Kepler-1112,Kepler-1112,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.153,0.12,0.125,,,147.3,147.28,147.0,147.03,,,,,,,,,Kepler-1112.xml,
Kepler-1113,Kepler-1113,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.157,0.15,0.146,,,,,80.3,80.28,,,,,,,,,Kepler-1113.xml,
Kepler-1114,Kepler-1114,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.119,0.11,0.108,,,77.7,77.65,87.5,87.46,,,,,,,,,Kepler-1114.xml,
Kepler-1115,Kepler-1115,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.121,0.11,0.106,,,217.9,217.88,296.0,295.98,,,,,,,,,Kepler-1115.xml,
Kepler-1116,Kepler-1116,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.178,0.14,0.139,,,133.1,133.14,91.9,91.87,,,,,,,,,Kepler-1116.xml,
Kepler-1117,Kepler-1117,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.152,0.14,0.136,,,101.6,101.57,83.0,82.98,,,,,,,,,Kepler-1117.xml,
Kepler-1118,Kepler-1118,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.168,0.14,0.138,,,268.9,268.88,303.8,303.78,,,,,,,,,Kepler-1118.xml,
Kepler-1119,Kepler-1119,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.167,0.13,0.134,,,249.8,249.75,,,,,,,,,,,Kepler-1119.xml,
Kepler-112,Kepler-112,0.9460,,0.0940,,0.0940,,0.841,0.84,.203,0.2,0.203,0.2,,,,,,,,,,,,-0.588,,,,,,,48,148.0,,,,,,,,,,,Kepler-112.xml,
Kepler-1120,Kepler-1120,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.163,,,,,67.8,67.83,70.0,70.02,,,,,,,,,Kepler-1120.xml,
Kepler-1121,Kepler-1121,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.086,0.09,0.092,,,72.9,72.86,90.2,90.24,,,,,,,,,Kepler-1121.xml,
Kepler-1122,Kepler-1122,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.178,0.14,0.144,,,72.6,72.56,73.2,73.22,,,,,,,,,Kepler-1122.xml,
Kepler-1123,Kepler-1123,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.153,0.14,0.144,,,90.5,90.52,75.4,75.39,,,,,,,,,Kepler-1123.xml,
Kepler-1124,Kepler-1124,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.084,0.07,0.074,,,26.6,26.65,,,,,,,,,,,Kepler-1124.xml,
Kepler-1125,Kepler-1125,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.159,,,131.5,131.51,241.4,241.45,,,,,,,,,Kepler-1125.xml,
Kepler-1126,Kepler-1126,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.152,0.14,0.141,,,55.4,55.36,61.2,61.16,,,,,,,,,Kepler-1126.xml,
Kepler-1127,Kepler-1127,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.155,0.13,0.127,,,137.3,137.31,89.8,89.83,,,,,,,,,Kepler-1127.xml,
Kepler-1128,Kepler-1128,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.159,0.14,0.142,,,145.0,144.99,95.3,95.27,,,,,,,,,Kepler-1128.xml,
Kepler-1129,Kepler-1129,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.187,0.15,0.147,,,114.3,114.35,135.0,134.99,,,,,,,,,Kepler-1129.xml,
Kepler-113,Kepler-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.461,,,,,Kepler-113.xml,
Kepler-1130,Kepler-1130,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.081,0.09,0.088,,,51.4,51.42,53.0,53.01,,,,,,,,,Kepler-1130.xml,
Kepler-1131,Kepler-1131,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.174,0.15,0.148,,,114.9,114.89,,,,,,,,,,,Kepler-1131.xml,
Kepler-1132,Kepler-1132,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.162,,,56.8,56.79,54.2,54.24,,,,,,,,,Kepler-1132.xml,
Kepler-1133,Kepler-1133,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.138,,,118.1,118.09,157.9,157.93,,,,,,,,,Kepler-1133.xml,
Kepler-1134,Kepler-1134,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.179,0.16,0.158,,,135.5,135.47,169.7,169.66,,,,,,,,,Kepler-1134.xml,
Kepler-1135,Kepler-1135,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.165,0.13,0.132,,,72.9,72.91,,,,,,,,,,,Kepler-1135.xml,
Kepler-1136,Kepler-1136,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.171,0.15,0.155,,,47.8,47.76,46.4,46.44,,,,,,,,,Kepler-1136.xml,
Kepler-1137,Kepler-1137,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.157,0.13,0.126,,,120.3,120.35,117.8,117.84,,,,,,,,,Kepler-1137.xml,
