Primary planet name(from standardize_OEC_planet.csv),# name(from standardize_EU_Catalogue_Data.csv),Lists(from standardize_OEC_planet.csv),Lists(from standardize_EU_Catalogue_Data.csv),Mass [Mjup](from standardize_OEC_planet.csv),mass(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] errorminus(from standardize_OEC_planet.csv),mass_error_min(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] errorplus(from standardize_OEC_planet.csv),mass_error_max(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] lowerlimit(from standardize_OEC_planet.csv),mass_error_min(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] upperlimit(from standardize_OEC_planet.csv),mass_error_max(from standardize_EU_Catalogue_Data.csv),Radius [Rjup](from standardize_OEC_planet.csv),radius(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] errorminus(from standardize_OEC_planet.csv),radius_error_min(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] errorplus(from standardize_OEC_planet.csv),radius_error_max(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] lowerlimit(from standardize_OEC_planet.csv),Radius [Rjup] lowerlimit(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] upperlimit(from standardize_OEC_planet.csv),Radius [Rjup] upperlimit(from standardize_EU_Catalogue_Data.csv),Orbital period [days](from standardize_OEC_planet.csv),orbital_period(from standardize_EU_Catalogue_Data.csv),Orbital period [days] errorminus(from standardize_OEC_planet.csv),orbital_period_error_min(from standardize_EU_Catalogue_Data.csv),Orbital period [days] errorplus(from standardize_OEC_planet.csv),orbital_period_error_max(from standardize_EU_Catalogue_Data.csv),Orbital period [days] lowerlimit(from standardize_OEC_planet.csv),Orbital period [days] lowerlimit(from standardize_EU_Catalogue_Data.csv),Orbital period [days] upperlimit(from standardize_OEC_planet.csv),Orbital period [days] upperlimit(from standardize_EU_Catalogue_Data.csv),Eccentricity(from standardize_OEC_planet.csv),eccentricity(from standardize_EU_Catalogue_Data.csv),Eccentricity errorminus(from standardize_OEC_planet.csv),eccentricity_error_min(from standardize_EU_Catalogue_Data.csv),Eccentricity errorplus(from standardize_OEC_planet.csv),eccentricity_error_max(from standardize_EU_Catalogue_Data.csv),Eccentricity lowerlimit(from standardize_OEC_planet.csv),Eccentricity lowerlimit(from standardize_EU_Catalogue_Data.csv),Eccentricity upperlimit(from standardize_OEC_planet.csv),Eccentricity upperlimit(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K](from standardize_OEC_planet.csv),temp_calculated(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] errorminus(from standardize_OEC_planet.csv),Equilibrium temperature [K] errorminus(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] errorplus(from standardize_OEC_planet.csv),Equilibrium temperature [K] errorplus(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] lowerlimit(from standardize_OEC_planet.csv),Equilibrium temperature [K] lowerlimit(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] upperlimit(from standardize_OEC_planet.csv),Equilibrium temperature [K] upperlimit(from standardize_EU_Catalogue_Data.csv),Discovery method(from standardize_OEC_planet.csv),detection_type(from standardize_EU_Catalogue_Data.csv),Discovery year(from standardize_OEC_planet.csv),discovered(from standardize_EU_Catalogue_Data.csv),Last updated [yy/mm/dd](from standardize_OEC_planet.csv),updated(from standardize_EU_Catalogue_Data.csv),source (xml)(from standardize_OEC_planet.csv),source (xml)(from standardize_EU_Catalogue_Data.csv)
HD 163607 b,HD 163607 b,confirmedplanets,,,,,0.04,,0.04,,0.04,,0.04,,,,,,,,,,,,,,0.02,,0.02,,,,,,,,0.02,,0.02,,,,,499.8,,,,,,,,,,rv,radialvelocity,,,11/09/15,2013-05-20,HD 163607.xml,
HD 163607 c,HD 163607 c,confirmedplanets,,,,,0.16,,0.16,,0.16,,0.16,,,,,,,,,,,,,,8.0,,8.0,,,,,,,,0.06,,0.06,,,,,200.4,,,,,,,,,,rv,radialvelocity,,,11/09/15,2013-05-20,HD 163607.xml,
HD 16417 b,HD 16417 b,confirmedplanets,,,,,0.007,,0.007,,0.007,,0.007,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,0.09,,0.09,,,,,875.5,,,,,,,,,,rv,radialvelocity,,,09/02/25,2016-01-10,HD 16417.xml,
HD 164509 b,HD 164509 b,confirmedplanets,,,,,0.09,,0.09,,0.09,,0.09,,,,,,,,,,,,,,3.8,,3.8,,,,,,,,0.14,,0.14,,,,,286.2,,,,,,,,,,rv,radialvelocity,,,11/09/15,2016-09-03,HD 164509.xml,
HD 164595 b,HD 164595 b,confirmedplanets,,0.051,0.0516,0.008,0.00856,0.008,0.00856,,0.00856,,0.00856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/06/29,2015-09-03,HD 164595.xml,
HD 164604 b,HD 164604 b,confirmedplanets,,,,,1.3,,1.3,,1.3,,1.3,,,,,,,,,,,,,,9.0,,9.0,,,,,,,,0.14,,0.14,,,,,157.4,,,,,,,,,,rv,radialvelocity,,,10/01/26,2014-08-27,HD 164604.xml,
HD 164922 b,HD 164922 b,confirmedplanets,,0.36,0.3385,,0.015,,0.015,,0.015,,0.015,,,,,,,,,,,1155,1201.1,,5.6,,5.6,,,,,0.05,0.126,,0.05,,0.05,,,,,155.0,159.4,,,,,,,,,rv,radialvelocity,,,06/07/15,2016-07-04,HD 164922.xml,
HD 1666 b,HD 1666 b,confirmedplanets,,,,,,,,,0.22,,0.31,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/03/26,2015-07-27,HD 1666.xml,
HD 166724 b,HD 166724 b,confirmedplanets,,,,,0.11,,0.11,,0.11,,0.11,,,,,,,,,,,5144,8100.0,,,,,,,,,,,,0.02,,0.02,,,,,,,,,,,,,,,rv,radialvelocity,,,12/11/29,2012-11-30,HD 166724.xml,
HD 167042 b,HD 167042 b,confirmedplanets,,1.70,1.6,0.12,,0.09,,,,,,,,,,,,,,,,420.77,416.1,3.11,4.0,3.48,4.0,,,,,0.089,0.03,0.065,0.04,0.028,0.04,,,,,,,,,,,,,,,rv,radialvelocity,,,15/09/20,2007-10-19,HD 167042.xml,
HD 168443 b,HD 168443 b,confirmedplanets,,,,,0.0975,,0.0975,,0.0975,,0.0975,,,,,,,,,,,,,,0.0003,,0.0003,,,,,,,,0.00103,,0.00103,,,,,549.0,,,,,,,,,,rv,radialvelocity,,,11/09/26,2016-01-10,HD 168443.xml,
HD 168443 c,HD 168443 c,confirmedplanets,,17.193,29.463,,6.1276,,12.184,,6.1276,,12.184,,,,,,,,,,,,,,0.57,,0.57,,,,,,,,0.0017,,0.0017,,,,,179.3,,,,,,,,,,rv,radialvelocity,,,11/09/26,2014-08-22,HD 168443.xml,
HD 168746 b,HD 168746 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,0.001,,,,,,,,0.029,,0.029,,,,,1026.4,,,,,,,,,,rv,radialvelocity,,,10/12/29,2010-12-29,HD 168746.xml,
HD 1690 b,HD 1690 b,confirmedplanets,,,,,0.9,,0.9,,0.9,,0.9,,,,,,,,,,,,,,1.7,,1.7,,,,,,,,0.04,,0.04,,,,,674.4,,,,,,,,,,rv,radialvelocity,,,10/12/20,2010-12-20,HD 1690.xml,
HD 169830 b,HD 169830 b,confirmedplanets,,2.94,2.88,0.12,,0.12,,,,,,,,,,,,,,,,229.9,225.62,4.6,0.22,4.6,0.22,,,,,0.35,0.31,0.04,0.01,0.04,0.01,,,,,413.9,,,,,,,,,,rv,radialvelocity,,,14/06/24,2010-12-23,HD 169830.xml,
HD 169830 c,HD 169830 c,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,264.0,,264.0,,,,,,,,0.02,,0.02,,,,,196.1,,,,,,,,,,rv,radialvelocity,,,10/12/23,2010-12-23,HD 169830.xml,
HD 170469 b,HD 170469 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,18.0,,,,,,,,0.08,,0.08,,,,,188.9,,,,,,,,,,rv,radialvelocity,,,07/10/31,2007-10-31,HD 170469.xml,
HD 17092 b,HD 17092 b,confirmedplanets,,,,,0.3,,0.3,,0.3,,0.3,,,,,,,,,,,,,,2.4,,2.4,,,,,,,,0.052,,0.052,,,,,513.6,,,,,,,,,,rv,radialvelocity,,,07/05/07,2007-05-07,HD 17092.xml,
HD 171028 b,HD 171028 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,,,,,,,0.01,,0.01,,,,,296.2,,,,,,,,,,rv,radialvelocity,,,10/11/10,2010-11-10,HD 171028.xml,
HD 171238 b,HD 171238 b,confirmedplanets,,,,,0.15,,0.15,,0.15,,0.15,,,,,,,,,,,,,,45.0,,45.0,,,,,,,,0.065,,0.065,,,,,152.4,,,,,,,,,,rv,radialvelocity,,,09/08/12,2014-12-19,HD 171238.xml,
HD 17156 b,HD 17156 b,confirmedplanets,,3.191,3.195,,0.03383,,0.03394,,0.03383,,0.03394,,,,0.02,,0.02,,,,,,,,1.59e-05,,1.59e-05,,,,,,,,0.0034,,0.0034,,,,,790.5,,,,,,,,,,transit,primarytransit,,,12/04/08,2014-08-16,HD 17156.xml,
HD 173416 b,HD 173416 b,confirmedplanets,,,,,0.3,,0.3,,0.3,,0.3,,,,,,,,,,,,,,2.2,,2.2,,,,,,,,0.04,,0.04,,,,,702.5,,,,,,,,,,rv,radialvelocity,,,09/01/12,2009-01-12,HD 173416.xml,
HD 175167 b,HD 175167 b,confirmedplanets,,,,,3.5,,3.5,,3.5,,3.5,,,,,,,,,,,,,,22.0,,22.0,,,,,,,,0.09,,0.09,,,,,154.0,,,,,,,,,,rv,radialvelocity,,,10/01/26,2014-08-27,HD 175167.xml,
HD 175541 b,HD 175541 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,6.0,,,,,,,,0.2,,0.2,,,,,428.3,,,,,,,,,,rv,radialvelocity,,,07/04/20,2007-04-20,HD 175541.xml,
HD 175607 b,HD 175607 b,confirmedplanets,,,,,,,,,0.0035,,0.0035,,,,,,,,,,,8.98,29.01,1.10,0.02,1.10,0.02,,,,,,,0.07,0.09,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/15,2015-12-30,HD 175607.xml,
HD 176051 b,HD 176051 b,confirmedplanets,,,,,0.3,,0.3,,0.3,,0.3,,,,,,,,,,,,,,40.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,rv,astrometry,,,10/10/22,2010-10-22,HD 176051.xml,
HD 177830 A b,HD 177830 b,confirmedplanets|planetsinbinarysystems|s-type,,,,,,,,,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,0.009,0.0009,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/03,2012-08-17,HD 177830.xml,
HD 177830 A c,HD 177830 c,confirmedplanets|planetsinbinarysystems|s-type,,,,0.02,0.03,0.02,0.03,,0.03,,0.03,,,,,,,,,,,,,0.1,0.3,0.1,0.3,,,,,0.3,0.3495,0.1,0.0002,0.1,0.0002,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/03,2012-08-17,HD 177830.xml,
HD 178911 B b,HD 178911 B b,confirmedplanets|planetsinbinarysystems|s-type,,,,,0.059,,0.059,,0.059,,0.059,,,,,,,,,,,,,,0.018,,0.018,,,,,,,,0.0075,,0.0075,,,,,469.8,,,,,,,,,,rv,radialvelocity,,,12/12/07,2010-12-29,HD 178911.xml,
HD 179079 b,HD 179079 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,0.011,,0.011,,,,,,,,0.087,,0.087,,,,,925.0,,,,,,,,,,rv,radialvelocity,,,09/08/13,2009-08-13,HD 179079.xml,
HD 179949 b,HD 179949 b,confirmedplanets,,0.95,0.92,,,,,,,,,,1.05,,,,,,,,,,,,3e-05,,3e-05,,,,,0.022,0.0104,,0.0099,,0.0104,,,,,1419.4,,,,,,,,,,rv,radialvelocity,,,06/09/06,2015-02-24,HD 179949.xml,
HD 180314 b,HD 180314 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,0.62,,,,,,,,0.01,,0.01,,,,,553.4,,,,,,,,,,rv,radialvelocity,,,11/08/05,2011-08-05,HD 180314.xml,
HD 180902 b,HD 180902 b,confirmedplanets,,,,,0.2,,0.2,,0.2,,0.2,,,,,,,,,,,,,,13.0,,13.0,,,,,,,,0.11,,0.11,,,,,380.7,,,,,,,,,,rv,radialvelocity,,,10/03/19,2010-03-19,HD 180902.xml,
HD 181342 b,HD 181342 b,confirmedplanets,,3.3,2.9,,0.2,,0.2,,0.2,,0.2,,,,,,,,,,,663,562.0,,6.0,,6.0,,,,,0.177,0.1,,0.07,,0.07,,,,,354.7,,,,,,,,,,rv,radialvelocity,,,10/03/19,2016-03-17,HD 181342.xml,
HD 181433 b,HD 181433 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,0.0019,,0.0019,,,,,,,,0.062,,0.062,,,,,660.5,,,,,,,,,,rv,radialvelocity,,,09/01/13,2013-06-03,HD 181433.xml,
HD 181433 c,HD 181433 c,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,15.0,,,,,,,,0.02,,0.02,,,,,141.6,,,,,,,,,,rv,radialvelocity,,,09/01/13,2013-06-03,HD 181433.xml,
HD 181433 d,HD 181433 d,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,158.0,,158.0,,,,,,,,0.05,,0.05,,,,,107.3,,,,,,,,,,rv,radialvelocity,,,09/01/13,2013-06-03,HD 181433.xml,
HD 181720 b,HD 181720 b,confirmedplanets,,0.37,12.0,,5.9,,200.0,,5.9,,200.0,,,,,,,,,,,,,,14.0,,14.0,,,,,,,,0.06,,0.06,,,,,225.0,,,,,,,,,,rv,radialvelocity,,,11/01/11,2014-07-10,HD 181720.xml,
HD 183263 b,HD 183263 b,confirmedplanets,,3.635,3.67,0.034,0.3,0.034,0.3,,0.3,,0.3,,,,,,,,,,,625.10,626.5,0.34,1.1,0.34,1.1,,,,,0.3728,0.357,0.0065,0.09,0.0065,0.09,,,,,,,,,,,,,,,rv,radialvelocity,,,15/08/15,2010-12-17,HD 183263.xml,
HD 183263 c,HD 183263 c,confirmedplanets,,6.90,3.82,0.12,0.59,0.12,0.59,,0.59,,0.59,,,,,,,,,,,4684,2950.0,71,340.0,71,340.0,,,,,0.051,0.253,0.010,0.076,0.010,0.076,,,,,,,,,,,,,,,rv,radialvelocity,,,15/08/15,2008-12-10,HD 183263.xml,
HD 185269 b,HD 185269 b,confirmedplanets|planetsinbinarysystems|s-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,16/01/22,2006-08-16,HD 185269.xml,
HD 187085 b,HD 187085 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.5,,,,,,,,,,rv,radialvelocity,,,10/12/22,2010-12-22,HD 187085.xml,
HD 187123 b,HD 187123 b,confirmedplanets,,0.5074,0.52,0.0026,0.04,0.0026,0.04,,0.04,,0.04,,,,,,,,,,,3.0965886,3.0965828,0.0000043,7.8e-06,0.0000043,7.8e-06,,,,,0.0093,0.01,0.0046,0.006,0.0046,0.006,,,,,,,,,,,,,,,rv,radialvelocity,,,15/08/15,2013-05-20,HD 187123.xml,
HD 187123 c,HD 187123 c,confirmedplanets,,1.818,1.99,0.035,0.25,0.035,0.25,,0.25,,0.25,,,,,,,,,,,3324,3810.0,46,420.0,46,420.0,,,,,0.280,0.252,0.022,0.033,0.022,0.033,,,,,,,,,,,,,,,rv,radialvelocity,2007,1998,15/08/15,2013-05-20,HD 187123.xml,
HD 18742 b,HD 18742 b,confirmedplanets,,,,,0.3,,0.3,,0.3,,0.3,,,,,,,,,,,,,,11.0,,11.0,,,,,0,0.23,,inf,,nan,,,,,354.4,,,,,,,,,,rv,radialvelocity,,,12/08/07,2011-09-02,HD 18742.xml,
HD 188015 A b,HD 188015 b,confirmedplanets|planetsinbinarysystems|s-type,,,,,,,,,,,,,,,,,,,,,,,,,9.12,,9.12,,,,,,,,0.09,,0.09,,,,,,,,,,,,,,,rv,radialvelocity,,,12/12/08,2010-12-30,HD 188015.xml,
HD 189567 b,HD 189567 b,confirmedplanets,,,,,0.0034,,0.0034,,0.0034,,0.0034,,,,,,,,,,,,,,0.0052,,0.0052,,,,,,,,0.14,,0.14,,,,,769.4,,,,,,,,,,rv,radialvelocity,,,11/09/12,2011-09-12,HD 189567.xml,
HD 189733 A b,HD 189733 b,confirmedplanets|planetsinbinarysystems|s-type,,1.138,1.142,,0.02515,,0.02516,,0.02515,,0.02516,,,,0.077,,0.077,,,,,,,,7.6e-07,,7.6e-07,,,,,,,,0.002,,0.002,,,,,1099.7,,,,,,,,,,transit,primarytransit,,,13/08/18,2016-10-08,HD 189733.xml,
Gliese 777 A b,HD 190360 b,confirmedplanets|planetsinbinarysystems|s-type,,,,0.154,0.15,1.154,0.15,,0.15,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/06/29,2015-09-03,Gliese 777.xml,
Gliese 777 A c,HD 190360 c,confirmedplanets|planetsinbinarysystems|s-type,,0.064,0.06381,0.01,0.00994,0.01,0.00994,,0.00994,,0.00994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/06/29,2015-09-03,Gliese 777.xml,
HD 190647 b,HD 190647 b,confirmedplanets,,,,,0.06,,0.06,,0.06,,0.06,,,,,,,,,,,,,,4.9,,4.9,,,,,,,,0.02,,0.02,,,,,209.5,,,,,,,,,,rv,radialvelocity,,,07/04/07,2014-08-30,HD 190647.xml,
HD 190984 b,HD 190984 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.1,,,,,136.2,,,,,,,,,,rv,radialvelocity,,,10/11/06,2010-11-06,HD 190984.xml,
HD 192263 b,HD 192263 b,confirmedplanets,,,,,0.015,,0.015,,0.015,,0.015,,,,,,,,,,,,,,0.0022,,0.0022,,,,,,,,0.014,,0.014,,,,,484.5,,,,,,,,,,rv,radialvelocity,,,12/06/12,2014-08-22,HD 192263.xml,
HD 192699 b,HD 192699 b,confirmedplanets,,2.40,2.5,0.21,,0.15,,,,,,,,,,,,,,,,345.53,351.5,1.63,6.0,1.77,6.0,,,,,0.129,0.149,,,0.029,0.06,,,,,,,,,,,,,,,rv,radialvelocity,,,15/09/20,2007-04-20,HD 192699.xml,
HD 195019 A b,HD 195019 b,confirmedplanets|planetsinbinarysystems|s-type,,,,,0.3,,0.3,,0.3,,0.3,,,,,,,,,,,,,,0.0004,,0.0004,,,,,,,,0.0044,,0.0044,,,,,,,,,,,,,,,rv,radialvelocity,,,12/12/08,2006-11-25,HD 195019.xml,
HD 196050 A b,HD 196050 b,confirmedplanets|planetsinbinarysystems|s-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.7,,,,,,,,,,rv,radialvelocity,,,12/12/04,2010-12-22,HD 196050.xml,
HD 196067 b,HD 196067 b,confirmedplanets,,,,,1.1,,3.9,,1.1,,3.9,,,,,,,,,,,,,,232.0,,185.0,,,,,,,,0.09,,0.18,,,,,177.2,,,,,,,,,,rv,radialvelocity,,,12/11/29,2014-05-26,HD 196067.xml,
HD 196885 A b,HD 196885 A b,confirmedplanets|planetsinbinarysystems|s-type,,,,,0.05,,0.05,,0.05,,0.05,,,,,,,,,,,,,,3.7,,3.7,,,,,,,,0.02,,0.02,,,,,228.4,,,,,,,,,,rv,radialvelocity,,,12/12/07,2012-12-11,HD 196885.xml,
HD 197037 b,HD 197037 b,confirmedplanets|planetsinbinarysystems|s-type,,,,,,,,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,16/01/22,2012-02-04,HD 197037.xml,
HD 19994 A b,HD 19994 b,confirmedplanets|planetsinbinarysystems|s-type,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,3.1,,,,,,,,0.04,,0.04,,,,,,,,,,,,,,,rv,radialvelocity,2000,2003,12/12/08,2016-07-12,HD 19994.xml,
HD 20003 b,HD 20003 b,confirmedplanets,,,,,0.0031,,0.0031,,0.0031,,0.0031,,,,,,,,,,,,,,0.0028,,0.0028,,,,,,,,0.08,,0.08,,,,,751.7,,,,,,,,,,rv,radialvelocity,,,11/09/12,2011-09-12,HD 20003.xml,
HD 20003 c,HD 20003 c,confirmedplanets,,,,,0.004,,0.004,,0.004,,0.004,,,,,,,,,,,,,,0.0654,,0.0654,,,,,,,,0.09,,0.09,,,,,534.5,,,,,,,,,,rv,radialvelocity,,,11/09/12,2011-09-12,HD 20003.xml,
HD 200964 b,HD 200964 b,confirmedplanets,,,,,,,,,0.08,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/09/23,2014-05-26,HD 200964.xml,
HD 200964 c,HD 200964 c,confirmedplanets,,,,,,,,,0.063,,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/09/23,2014-05-26,HD 200964.xml,
HD 202206 b,HD 202206 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.06,,,,,,,,0.001,,0.001,,,,,277.6,,,,,,,,,,rv,radialvelocity,,,10/12/30,2010-12-30,HD 202206.xml,
HD 202206 c,HD 202206 c,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,18.4,,18.4,,,,,,,,0.021,,0.021,,,,,159.6,,,,,,,,,,rv,radialvelocity,,,10/12/30,2010-12-30,HD 202206.xml,
HD 20367 b,HD 20367 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,6.0,,,,,,,,0.1,,0.1,,,,,261.6,,,,,,,,,,rv,radialvelocity,,,10/12/16,2010-12-16,HD 20367.xml,
HD 2039 b,HD 2039 b,confirmedplanets,,4.9,6.11,,0.82,,0.82,,0.82,,0.82,,,,,,,,,,,1183,1120.0,,23.0,,23.0,,,,,,,,0.1,,0.1,,,,,188.3,,,,,,,,,,rv,radialvelocity,,,09/10/07,2016-01-19,HD 2039.xml,
HD 204313 b,HD 204313 b,confirmedplanets,,3.55,4.28,,0.3,,0.3,,0.3,,0.3,,,,,,,,,,,1920.1,2024.1,,3.1,,3.1,,,,,0.23,0.0946,,0.0032,,0.0032,,,,,153.8,,,,,,,,,,rv,radialvelocity,,,12/05/22,2015-10-26,HD 204313.xml,
HD 204313 c,HD 204313 c,confirmedplanets,,0.054,0.0553,,0.0053,,0.0053,,0.0053,,0.0053,,,,,,,,,,,34.873,34.905,,0.012,,0.012,,,,,0.17,0.155,,0.071,,0.071,,,,,585.7,,,,,,,,,,rv,radialvelocity,,,11/09/12,2015-10-26,HD 204313.xml,
HD 204313 d,HD 204313 d,confirmedplanets,,,,,0.3,,0.3,,0.3,,0.3,,,,,,,,,,,,,,150.0,,150.0,,,,,,,,0.09,,0.09,,,,,135.1,,,,,,,,,,rv,radialvelocity,,,12/05/22,2012-05-22,HD 204313.xml,
HD 204941 b,HD 204941 b,confirmedplanets,,,,,0.032,,0.032,,0.032,,0.032,,,,,,,,,,,,,,74.0,,74.0,,,,,,,,0.08,,0.08,,,,,117.2,,,,,,,,,,rv,radialvelocity,,,11/08/02,2011-08-02,HD 204941.xml,
HD 205739 b,HD 205739 b,confirmedplanets,,,,,0.09,,0.07,,0.09,,0.07,,,,,,,,,,,,,,0.1,,0.1,,,,,,,,0.07,,0.07,,,,,330.2,,,,,,,,,,rv,radialvelocity,,,08/09/08,2008-09-08,HD 205739.xml,
HD 206610 b,HD 206610 b,confirmedplanets,,,,,0.1,,0.1,,0.1,,0.1,,,,,,,,,,,,,,13.0,,13.0,,,,,,,,0.058,,0.058,,,,,408.1,,,,,,,,,,rv,radialvelocity,,,10/03/19,2010-03-19,HD 206610.xml,
HD 20781 b,HD 20781 b,confirmedplanets|planetsinbinarysystems|s-type,,0.037882,0.0379,0.003524,0.0035,0.003524,0.0035,,0.0035,,0.0035,,,,,,,,,,,,,0.02,0.0201,0.02,0.0201,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,16/01/10,2014-05-08,HD 20782.xml,
HD 20781 c,HD 20781 c,confirmedplanets|planetsinbinarysystems|s-type,,0.049649,0.0496,0.003807,0.0038,0.003807,0.0038,,0.0038,,0.0038,,,,,,,,,,,,,0.12,0.1161,0.12,0.1161,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,16/01/10,2014-05-08,HD 20782.xml,
HD 20782 b,HD 20782 b,confirmedplanets|planetsinbinarysystems|s-type,,1.43,1.9,0.03,0.5,0.03,0.5,,0.5,,0.5,,,,,,,,,,,597.065,591.9,0.043,2.8,0.043,2.8,,,,,0.956,0.97,0.004,0.01,0.004,0.01,,,,,,,,,,,,,,,rv,radialvelocity,,,16/01/10,2016-01-19,HD 20782.xml,
HD 207832 b,HD 207832 b,confirmedplanets,,,,,0.03,,0.06,,0.03,,0.06,,,,,,,,,,,,,,0.78,,0.97,,,,,,,,0.05,,0.18,,,,,316.5,,,,,,,,,,rv,radialvelocity,,,12/07/13,2014-05-26,HD 207832.xml,
HD 207832 c,HD 207832 c,confirmedplanets,,,,,0.05,,0.18,,0.05,,0.18,,,,,,,,,,,,,,37.0,,71.9,,,,,,,,0.1,,0.22,,,,,164.4,,,,,,,,,,rv,radialvelocity,,,12/07/13,2014-05-26,HD 207832.xml,
HD 20794 b,HD 20794 b,confirmedplanets,,0.0084933,0.0085,,0.00094,,0.00094,,0.00094,,0.00094,,,,,,,,,,,,,,0.008,,0.008,,,,,,,,,,,,,,,661.0,,,,,,,,,,rv,radialvelocity,,,11/08/18,2012-08-03,HD 20794.xml,
HD 20794 c,HD 20794 c,confirmedplanets,,0.00754968,0.0076,,0.0013,,0.0013,,0.0013,,0.0013,,,,,,,,,,,,,,0.053,,0.053,,,,,,,,,,,,,,,508.9,,,,,,,,,,rv,radialvelocity,,,11/08/18,2012-08-03,HD 20794.xml,
HD 20794 d,HD 20794 d,confirmedplanets,,0.015099,0.015,,0.0019,,0.0019,,0.0019,,0.0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.2,,,,,,,,,,rv,radialvelocity,,,11/08/18,2012-08-03,HD 20794.xml,
HD 208487 b,HD 208487 b,confirmedplanets,,,,,0.05,,0.05,,0.05,,0.05,,,,,,,,,,,,,,0.4,,0.4,,,,,,,,0.09,,0.09,,,,,391.5,,,,,,,,,,rv,radialvelocity,,,10/12/24,2010-12-24,HD 208487.xml,
HD 208527 b,HD 208527 b,confirmedplanets,,,,,1.7,,1.7,,1.7,,1.7,,,,,,,,,,,,,,5.8,,5.8,,,,,,,,0.04,,0.04,,,,,877.3,,,,,,,,,,rv,radialvelocity,,,12/11/11,2012-11-12,HD 208527.xml,
HD 20868 b,HD 20868 b,confirmedplanets,,,,,,,,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/17,2014-08-27,HD 20868.xml,
HD 209458 b,HD 209458 b,confirmedplanets,,0.714,0.69,,,,,,0.017,,0.017,,,,,,,,,,,3.52474859,3.52472,3.8e-07,2.82e-05,3.8e-07,2.82e-05,,,,,0.0004,0.0082,0.003,0.0082,0.003,0.0078,,,,,1316.1,,,,,,,,,,transit,primarytransit,,,14/04/18,2016-06-02,HD 209458.xml,
