Primary system name(from OEC_system.csv),star_name(from standardize_EU_Catalogue_System_Data.csv),Right ascension(from OEC_system.csv),Right ascension(from standardize_EU_Catalogue_System_Data.csv),Declination(from OEC_system.csv),Declination(from standardize_EU_Catalogue_System_Data.csv),Distance [parsec](from OEC_system.csv),star_distance(from standardize_EU_Catalogue_System_Data.csv),Distance errorminus(from OEC_system.csv),star_distance_error_min(from standardize_EU_Catalogue_System_Data.csv),Distance errorplus(from OEC_system.csv),star_distance_error_max(from standardize_EU_Catalogue_System_Data.csv),source (xml)(from OEC_system.csv),source (xml)(from standardize_EU_Catalogue_System_Data.csv)
HD 145377,HD 145377,16 11 36.44543,,-27 04 41.4286,,55.0,57.7,2.8,3.0,2.8,3.0,HD 145377.xml,
HD 145457,HD 145457,16 10 04,,+26 44 34,,,,,10.0,,10.0,HD 145457.xml,
HD 145934,HD 145934,16 13 09.9,,+13 14 22.1,,,,,,,,HD 145934.xml,
HD 1461,HD 1461,00 18 42,,-08 03 11,,,,,0.5,,0.5,HD 1461.xml,
HD 147018,HD 147018,16 23 00,,-61 41 20,,,,,1.6,,1.6,HD 147018.xml,
HD 147513,HD 147513,16 24 01,,-39 11 34,,,,,,,,HD 147513.xml,
HD 148156,HD 148156,16 28 17,,-46 19 03,,,,,2.9,,2.9,HD 148156.xml,
HD 148427,HD 148427,16 28 28,,-13 23 59,,,,,,,,HD 148427.xml,
HD 149026,HD 149026,16 30 29,,+38 20 50,,,,,6.6,,6.6,HD 149026.xml,
HD 149143,HD 149143,16 32 51,,+02 05 05,,,,,,,,HD 149143.xml,
HD 1502,HD 1502,00 19 17,,+14 03 17,,,,,19.0,,19.0,HD 1502.xml,
HD 150433,HD 150433,16 41 08,,-02 51 26,,,,,0.5,,0.5,HD 150433.xml,
HD 150706,HD 150706,16 31 17,,+79 47 23,,,,,,,,HD 150706.xml,
HD 152079,HD 152079,16 53 30,,-46 19 51,,,,,10.3,,10.3,HD 152079.xml,
HD 152581,HD 152581,16 53 43,,+11 58 25,,,,,33.0,,33.0,HD 152581.xml,
HD 153950,HD 153950,17 04 30.86989,,-43 18 35.1765,,49.5,49.6,1.7,1.8,1.7,1.8,HD 153950.xml,
HD 154088,HD 154088,17 04 28,,-28 34 58,,,,,0.2,,0.2,HD 154088.xml,
HD 154345,HD 154345,17 02 36,,+47 04 55,,,,,0.18,,0.18,HD 154345.xml,
HD 154672,HD 154672,17 10 05,,-56 26 57,,,,,,,,HD 154672.xml,
HD 154857,HD 154857,17 11 15,,-56 40 50,,,,,,,,HD 154857.xml,
HD 155233,HD 155233,17 11 04.36474,,-20 39 16.4509,,,,,,,,HD 155233.xml,
HD 155358,HD 155358,17 09 35,,+33 21 21,,,,,,,,HD 155358.xml,
HD 156279,HD 156279,17 12 23,,+63 21 08,,,,,1.0,,1.0,HD 156279.xml,
HD 156411,HD 156411,17 19 51,,-48 32 58,,,,,2.5,,2.5,HD 156411.xml,
HD 156668,HD 156668,17 17 40,,+29 13 38,,,,,0.5,,0.5,HD 156668.xml,
HD 157172,HD 157172,17 22 35,,-19 36 58,,,,,0.9,,0.9,HD 157172.xml,
HD 158038,HD 158038,17 25 45,,+27 18 12,,103,103.6,,7.9,,7.9,HD 158038.xml,
HD 159243,HD 159243,17 33 21.54580,,+05 42 02.6391,,,,,,,,HD 159243.xml,
HD 159868,HD 159868,17 39 00,,-43 08 44,,,,,,,,HD 159868.xml,
HD 1605,HD 1605,00 20 31.51872,,+30 58 29.2948,,,,,,,,HD 1605.xml,
HD 16141,HD 16141,02 35 19,,-03 33 38,,,,,,,,HD 16141.xml,
HD 16175,HD 16175,02 37 02,,+42 03 45,,,,,,,,HD 16175.xml,
HD 162020,HD 162020,17 50 38,,-40 19 06,,,,,,,,HD 162020.xml,
HD 163607,HD 163607,17 53 40,,+56 23 31,,,,,3.0,,3.0,HD 163607.xml,
HD 16417,HD 16417,02 36 59,,-34 34 41,,,,,0.5,,0.5,HD 16417.xml,
HD 164509,HD 164509,18 01 31,,+00 06 16,,,,,3.0,,3.0,HD 164509.xml,
HD 164595,HD 164595,18 00 38.89431,,+29 34 18.9202,,,,,,,,HD 164595.xml,
HD 164604,HD 164604,18 03 07,,-28 33 38,,,,,2.7,,2.7,HD 164604.xml,
HD 164922,HD 164922,18 02 30,,+26 18 46,,21.93,22.13,,0.27,,0.27,HD 164922.xml,
HD 1666,HD 1666,00 20 52.33959,,-19 55 52.4083,,,,,,,,HD 1666.xml,
HD 166724,HD 166724,18 14 00,,-42 34 31,,,,,0.9,,0.9,HD 166724.xml,
HD 167042,HD 167042,18 10 31.64008,,+54 17 11.5922,,50.23,50.0,0.66,,0.66,,HD 167042.xml,
HD 168443,HD 168443,18 20 04,,-09 35 34,,,,,1.26,,1.26,HD 168443.xml,
HD 168746,HD 168746,18 21 49,,-11 55 21,,,,,1.8,,1.8,HD 168746.xml,
HD 1690,HD 1690,00 21 13,,-08 16 52,,,,,100.0,,100.0,HD 1690.xml,
HD 169830,HD 169830,18 27 49,,-29 49 00,,,,1.16,,1.24,,HD 169830.xml,
HD 170469,HD 170469,18 29 11,,+11 41 44,,,,,,,,HD 170469.xml,
HD 17092,HD 17092,02 46 22,,+49 39 11,,,,,55.0,,55.0,HD 17092.xml,
HD 171028,HD 171028,18 32 15,,+06 56 45,,,,,7.8,,7.8,HD 171028.xml,
HD 171238,HD 171238,18 34 44,,-28 04 20,,,,,2.91,,2.91,HD 171238.xml,
HD 17156,HD 17156,02 49 44,,+71 45 12,,,,,,,,HD 17156.xml,
HD 173416,HD 173416,18 43 36,,+36 33 24,,,,,9.6,,9.6,HD 173416.xml,
HD 175167,HD 175167,19 00 01,,-69 56 39,,,,,4.09,,4.09,HD 175167.xml,
HD 175541,HD 175541,18 55 41,,+04 15 55,,,,,,,,HD 175541.xml,
HD 175607,HD 175607,19 01 05.49,,-66 11 33.65,,,,,,,,HD 175607.xml,
HD 176051,HD 176051,18 57 02,,+32 54 05,,,,,0.13,,0.13,HD 176051.xml,
HD 177830,HD 177830,19 05 20.77341,,+25 55 14.3797,,,,2.2,2.8,2.2,2.8,HD 177830.xml,
HD 179079,HD 179079,19 11 10,,-02 38 18,,,,,,,,HD 179079.xml,
HD 180314,HD 180314,19 14 50,,+31 51 37,,,,,10.0,,10.0,HD 180314.xml,
HD 180902,HD 180902,19 19 18,,-23 33 29,,,,,10.0,,10.0,HD 180902.xml,
HD 181342,HD 181342,19 21 04,,-23 37 10,,,,,7.5,,7.5,HD 181342.xml,
HD 181433,HD 181433,19 25 10,,-66 28 08,,,,,1.0,,1.0,HD 181433.xml,
HD 181720,HD 181720,19 22 53,,-32 55 09,,,,,4.0,,4.0,HD 181720.xml,
HD 183263,HD 183263,19 28 24.6,,+08 21 28.9,,55.1,53.0,2.8,,2.8,,HD 183263.xml,
HD 185269,HD 185269,19 37 11.74092,,+28 29 59.5055,,50.28,47.0,1.42,1.0,1.42,1.0,HD 185269.xml,
HD 187085,HD 187085,19 49 33,,-37 46 50,,,,,1.3,,1.3,HD 187085.xml,
HD 187123,HD 187123,19 46 58.1,,+34 25 10.3,,48.3,50.0,1.2,,1.2,,HD 187123.xml,
HD 18742,HD 18742,03 00 10.656,,-20 48 09.38,,,,,14.0,,14.0,HD 18742.xml,
HD 188015,HD 188015,19 52 04,,+28 06 01,,,,,,,,HD 188015.xml,
HD 189567,HD 189567,20 05 33,,-67 19 15,,,,,0.13,,0.13,HD 189567.xml,
HD 190647,HD 190647,20 07 20,,-35 32 19,,,,,3.4,,3.4,HD 190647.xml,
HD 190984,HD 190984,20 11 31,,-64 37 14,,,,,21.0,,21.0,HD 190984.xml,
HD 192263,HD 192263,20 14 00,,-00 52 01,,,,,,,,HD 192263.xml,
HD 192699,HD 192699,20 16 06.00508,,+04 34 50.8537,,65.6,67.0,2.5,,2.5,,HD 192699.xml,
HD 195019,HD 195019,20 28 17,,+18 46 12,,,,,1.2,,1.2,HD 195019.xml,
HD 196050,HD 196050,20 37 51,,-60 38 04,,46.93,46.9,,,,,HD 196050.xml,
HD 196067,HD 196067,20 41 44,,-75 21 03,,,,,4.0,,4.0,HD 196067.xml,
HD 197037,HD 197037,20 39 32.96014,,+42 14 54.7845,,32.3,33.0,0.4,,0.4,,HD 197037.xml,
HD 19994,HD 19994,03 12 46,,-01 11 45,,,,,,,,HD 19994.xml,
HD 20003,HD 20003,03 07 38,,-72 19 19,,,,,1.5,,1.5,HD 20003.xml,
HD 200964,HD 200964,21 06 39.84239,,+03 48 11.2280,,,,,,,,HD 200964.xml,
HD 202206,HD 202206,21 14 57,,-20 47 21,,,,,,,,HD 202206.xml,
HD 20367,HD 20367,03 17 40,,+31 07 37,,,,,,,,HD 20367.xml,
HD 2039,HD 2039,00 24 20,,-56 39 00,,,,,,,,HD 2039.xml,
HD 204313,HD 204313,21 28 12,,-21 43 35,,,,,1.39,,1.39,HD 204313.xml,
HD 204941,HD 204941,21 32 24,,-20 57 27,,,,,1.0,,1.0,HD 204941.xml,
HD 205739,HD 205739,21 38 08,,-31 44 15,,,,,,,,HD 205739.xml,
HD 206610,HD 206610,21 43 25,,-07 24 30,,,,,36.0,,36.0,HD 206610.xml,
HD 20782,HD 20781,03 20 03.57791,,-28 51 14.6651,,35.49,35.4,0.36,1.0,0.36,1.0,HD 20782.xml,
HD 20782,HD 20782,03 20 03.57791,,-28 51 14.6651,,35.49,36.02,0.36,1.0,0.36,1.0,HD 20782.xml,
HD 207832,HD 207832,21 52 35,,-26 49 44,,,,,2.7,,2.7,HD 207832.xml,
HD 20794,HD 20794,03 19 55,,-43 30 10,,,,,,,,HD 20794.xml,
HD 208487,HD 208487,21 57 19,,-37 45 49,,,,,,,,HD 208487.xml,
HD 208527,HD 208527,21 56 24,,+21 14 23,,,,,61.1,,61.1,HD 208527.xml,
HD 20868,HD 20868,03 20 42.69404,,-33 43 48.3916,,46.2,48.9,2.9,3.5,2.9,3.5,HD 20868.xml,
HD 210277,HD 210277,22 09 29,,-07 32 32,,,,,0.36,,0.36,HD 210277.xml,
HD 210702,HD 210702,22 11 51.33086,,+16 02 25.9903,,54.9,56.0,1.2,2.3,1.2,2.3,HD 210702.xml,
HD 212301,HD 212301,22 27 30,,-77 43 04,,,,,,,,HD 212301.xml,
HD 212771,HD 212771,22 27 03,,-17 15 49,,,,,14.0,,14.0,HD 212771.xml,
HD 213240,HD 213240,22 31 00,,-49 25 59,,,,,,,,HD 213240.xml,
HD 215152,HD 215152,22 43 21,,-06 24 03,,,,,0.4,,0.4,HD 215152.xml,
HD 215456,HD 215456,22 46 08,,-48 58 04,,,,,0.7,,0.7,HD 215456.xml,
HD 215497,HD 215497,22 46 37,,-56 35 58,,,,,2.0,,2.0,HD 215497.xml,
HD 216435,HD 216435,22 53 37,,-48 35 53,,,,,,,,HD 216435.xml,
HD 216437,HD 216437,22 54 39,,-70 04 25,,,,,,,,HD 216437.xml,
HD 216536,HD 216536,22 53 03.9725,,+44 28 39.862,,,,,,,,HD 216536.xml,
HD 216770,HD 216770,22 55 53,,-26 39 31,,,,,,,,HD 216770.xml,
HD 21693,HD 21693,03 27 12,,-58 19 25,,,,,0.5,,0.5,HD 21693.xml,
HD 217107,HD 217107,22 58 15.5,,-02 23 43.4,,19.86,19.72,0.15,0.3,0.15,0.3,HD 217107.xml,
HD 217786,HD 217786,23 03 08.205,,-00 25 46.66,,54.9,54.8,2.3,2.0,2.3,2.0,HD 217786.xml,
HD 218566,HD 218566,23 09 10.72771,,-02 15 38.6775,,28.55,29.94,0.93,1.11,0.93,1.11,HD 218566.xml,
HD 219077,HD 219077,23 14 07,,-62 42 00,,29,29.35,,0.3,,0.3,HD 219077.xml,
HD 219134,HD 219134,23 13 16.97632,,+57 10 06.0823,,6.546,6.55,0.012,,0.012,,HD 219134.xml,
HD 219415,HD 219415,23 14 53.8203,,+56 43 49.154,,,,,,,,HD 219415.xml,
HD 219828,HD 219828,23 18 47,,+18 38 45,,,,,1.0,,1.0,HD 219828.xml,
HD 220074,HD 220074,23 20 14,,+61 58 12,,,,,45.5,,45.5,HD 220074.xml,
HD 220689,HD 220689,23 25 53,,-20 36 58,,,,,1.5,,1.5,HD 220689.xml,
HD 220773,HD 220773,23 26 27,,+08 38 38,,,,,,,,HD 220773.xml,
HD 221287,HD 221287,23 31 20,,-58 12 35,,,,,2.4,,2.4,HD 221287.xml,
HD 222155,HD 222155,23 38 00,,+48 59 47,,,,,1.5,,1.5,HD 222155.xml,
HD 222582,HD 222582,23 41 51,,-05 59 08,,,,,,,,HD 222582.xml,
HD 224693,HD 224693,23 59 54,,-22 25 41,,,,,,,,HD 224693.xml,
HD 22781,HD 22781,03 40 50,,+31 49 35,,,,,,,,HD 22781.xml,
HD 23079,HD 23079,03 39 43,,-52 54 57,,,,,,,,HD 23079.xml,
HD 23127,HD 23127,03 39 24,,-60 04 40,,,,,,,,HD 23127.xml,
HD 231701,HD 231701,19 32 04,,+16 28 27,,,,,,,,HD 231701.xml,
HD 233604,HD 233604,09 09 48.8205,,+53 34 05.623,,,,,,,,HD 233604.xml,
HD 23596,HD 23596,03 48 00,,+40 31 50,,,,,,,,HD 23596.xml,
HD 240210,HD 240210,23 10 29.2303,,+57 01 46.035,,,,,,,,HD 240210.xml,
HD 240237,HD 240237,23 15 42.22361,,+58 02 35.6654,,,1500.0,,,,,HD 240237.xml,
HD 24040,HD 24040,03 50 22.9,,+17 28 34.9,,46.6,46.51,1.6,2.3,1.6,2.3,HD 24040.xml,
HD 24064,HD 24064,03 56 36.297,,+74 04 48.12,,,,,,,,HD 24064.xml,
HD 25171,HD 25171,03 55 49,,-65 11 12,,,,,1.5,,1.5,HD 25171.xml,
HD 2638,HD 2638,00 29 16.10949,,-05 54 37.7582,,,,,,,,HD 2638.xml,
HD 27442,HD 27442,04 16 29,,-59 18 07,,,,,,,,HD 27442.xml,
HD 27631,HD 27631,04 19 45,,-41 57 37,,,,,1.5,,1.5,HD 27631.xml,
HD 27894,HD 27894,04 20 47,,-59 24 39,,,,,,,,HD 27894.xml,
HD 28185,HD 28185,04 26 26,,-10 33 02,,,,,,,,HD 28185.xml,
HD 28254,HD 28254,04 24 51,,-50 37 20,,,,,2.0,,2.0,HD 28254.xml,
HD 285507,HD 285507,04 07 01,,+15 20 06,,41.339,41.3,,3.0,,3.0,HD 285507.xml,
HD 28678,HD 28678,04 31 28,,+04 34 48,,,,,48.0,,48.0,HD 28678.xml,
HD 290327,HD 290327,05 23 22,,-02 16 39,,,,,4.3,,4.3,HD 290327.xml,
HD 2952,HD 2952,00 33 10,,+54 53 41,,115,115.2,,9.0,,9.0,HD 2952.xml,
HD 30177,HD 30177,04 41 54,,-58 01 14,,,,,,,,HD 30177.xml,
HD 30562,HD 30562,04 48 36,,-05 40 27,,,,,,,,HD 30562.xml,
HD 30669,HD 30669,04 48 28.48561,,-28 25 09.4699,,57.1,57.0,,,,,HD 30669.xml,
HD 30856,HD 30856,04 50 14,,-24 21 36,,118,118.1,,9.9,,9.9,HD 30856.xml,
HD 31253,HD 31253,04 54 43.65327,,+12 21 07.9133,,50.3,53.82,1.6,3.45,1.6,3.45,HD 31253.xml,
HD 31527,HD 31527,04 55 38,,-23 14 31,,,,,0.9,,0.9,HD 31527.xml,
HD 32518,HD 32518,05 09 36.71904,,+69 38 21.8510,,120.6,117.4,8.4,10.7,8.4,10.7,HD 32518.xml,
HD 32963,HD 32963,05 07 55.76384,,+26 19 40.6623,,36.39,,0.95,,0.95,,HD 32963.xml,
HD 330075,HD 330075,15 49 37,,-49 57 48,,,,,,,,HD 330075.xml,
HD 33142,HD 33142,05 07 35.54,,-13 59 11.3,,,,,11.0,,11.0,HD 33142.xml,
HD 33283,HD 33283,05 08 01,,-26 47 50,,,,,,,,HD 33283.xml,
HD 33564,HD 33564,05 22 33,,+79 13 52,,,,,0.2,,0.2,HD 33564.xml,
HD 33844,HD 33844,05 12 36.10097,,-14 57 04.0084,,,,6.5,,6.5,,HD 33844.xml,
HD 34445,HD 34445,05 17 40.98051,,+07 21 12.0508,,,,1.4,1.5,1.4,1.5,HD 34445.xml,
HD 3651,HD 3651,00 39 21,,+21 15 01,,,,,,,,HD 3651.xml,
HD 37124,HD 37124,05 37 02,,+20 43 50,,,,,,,,HD 37124.xml,
HD 37605,HD 37605,05 40 01,,+06 03 38,,42.9,44.0,,2.1,,2.1,HD 37605.xml,
HD 38283,HD 38283,05 37 02,,-73 41 58,,,,,0.9,,0.9,HD 38283.xml,
HD 38529,HD 38529,05 46 34,,+01 10 05,,,,,0.4,,0.4,HD 38529.xml,
HD 38801,HD 38801,05 47 59,,-08 19 40,,,,,,,,HD 38801.xml,
HD 38858,HD 38858,05 48 35,,-04 05 41,,,,,0.09,,0.09,HD 38858.xml,
HD 39091,HD 39091,05 37 09,,-80 28 08,,,,,0.09,,0.09,HD 39091.xml,
HD 39194,HD 39194,05 44 32,,-70 08 37,,,,,0.4,,0.4,HD 39194.xml,
HD 39392,HD 39392,05 53 19,,+22 04 20,,,94.2,,,,,HD 39392.xml,
HD 40307,HD 40307,05 54 04,,-60 01 24,,,,,1.0,,1.0,HD 40307.xml,
HD 40979,HD 40979,06 04 29,,+44 15 37,,,,,,,,HD 40979.xml,
HD 4113,HD 4113,00 43 13,,-37 58 57,,,,,1.0,,1.0,HD 4113.xml,
HD 4203,HD 4203,00 44 41,,+20 26 56,,77.82,77.5,8.53,,7,,HD 4203.xml,
HD 4208,HD 4208,00 44 26,,-26 30 56,,,,,,,,HD 4208.xml,
HD 4308,HD 4308,00 44 39,,-65 38 58,,,,,,,,HD 4308.xml,
HD 4313,HD 4313,00 45 40,,+07 50 42,,,,,14.0,,14.0,HD 4313.xml,
HD 43197,HD 43197,06 13 36,,-29 53 50,,,,,6.3,,6.3,HD 43197.xml,
HD 43691,HD 43691,06 19 35,,+41 05 32,,,,,9.0,,9.0,HD 43691.xml,
HD 44219,HD 44219,06 20 14,,-10 43 30,,,,,2.6,,2.6,HD 44219.xml,
HD 45184,HD 45184,06 24 44,,-28 46 48,,,,,0.2,,0.2,HD 45184.xml,
HD 45350,HD 45350,06 28 45,,+38 57 46,,,,,,,,HD 45350.xml,
HD 45364,HD 45364,06 25 38,,-31 28 51,,,,,1.0,,1.0,HD 45364.xml,
HD 45652,HD 45652,06 29 13,,+10 56 02,,,,,2.0,,2.0,HD 45652.xml,
HD 46375,HD 46375,06 33 12,,+05 27 46,,,,,,,,HD 46375.xml,
HD 47186,HD 47186,06 36 09,,-27 37 20,,,,,1.5,,1.5,HD 47186.xml,
HD 4732,HD 4732,00 49 13,,-24 08 12,,,,,3.2,,3.2,HD 4732.xml,
HD 47536,HD 47536,06 37 47,,-32 20 23,,,,,8.25,,8.25,HD 47536.xml,
HD 48265,HD 48265,06 40 02,,-48 32 31,,,,,,,,HD 48265.xml,
HD 49674,HD 49674,06 51 30,,+40 52 03,,,,,,,,HD 49674.xml,
HD 50499,HD 50499,06 52 02,,-33 54 56,,,,,,,,HD 50499.xml,
HD 50554,HD 50554,06 54 42,,+24 14 44,,,,,,,,HD 50554.xml,
HD 51608,HD 51608,06 54 51,,-55 15 34,,,,,0.6,,0.6,HD 51608.xml,
HD 52265,HD 52265,07 00 18,,-05 22 01,,28.1,28.0,,,,,HD 52265.xml,
HD 5319,HD 5319,00 55 01.400,,+00 47 22.40,,114,100.0,11,10.0,11,10.0,HD 5319.xml,
HD 5608,HD 5608,00 58 14.21893,,+33 57 03.1843,,56.4,58.2,1.3,2.8,1.3,2.8,HD 5608.xml,
HD 564,HD 564,00 09 52.82123,,-50 16 04.1606,,53.6,54.0,,,,,HD 564.xml,
HD 5891,HD 5891,01 00 59,,+20 17 56,,,,,76.0,,76.0,HD 5891.xml,
HD 60532,HD 60532,07 34 03,,-22 17 46,,,,,,,,HD 60532.xml,
HD 62509,HD 62509,07 45 18,,+28 01 34,,,,,1.0,,1.0,HD 62509.xml,
HD 63454,HD 63454,07 39 21,,-78 16 44,,,,,,,,HD 63454.xml,
HD 63765,HD 63765,07 47 50,,-54 15 51,,,,,0.7,,0.7,HD 63765.xml,
HD 6434,HD 6434,01 04 40.15077,,-39 29 17.5822,,41.4,40.32,1.03,,1.03,,HD 6434.xml,
HD 65216,HD 65216,07 53 41,,-63 38 50,,,,,,,,HD 65216.xml,
HD 66141,HD 66141,08 02 16,,+02 20 04,,,,,6.3,,6.3,HD 66141.xml,
HD 66428,HD 66428,08 03 28.7,,-01 09 45.7,,54.9,55.0,3.2,3.8,3.2,3.8,HD 66428.xml,
HD 67087,HD 67087,08 07 39.75457,,+31 33 04.7381,,,,,,,,HD 67087.xml,
HD 6718,HD 6718,01 07 49,,-08 14 01,,,,,2.2,,2.2,HD 6718.xml,
HD 68988,HD 68988,08 18 22,,+61 27 38,,,,,,,,HD 68988.xml,
HD 69830,HD 69830,08 18 23,,-12 37 55,,,,,,,,HD 69830.xml,
HD 70642,HD 70642,08 21 28,,-39 42 19,,,,,,,,HD 70642.xml,
HD 7199,HD 7199,01 10 47,,-66 11 17,,,,,1.0,,1.0,HD 7199.xml,
HD 72659,HD 72659,08 34 03,,-01 34 05,,,,,2.0,,2.0,HD 72659.xml,
HD 73256,HD 73256,08 36 23,,-30 02 15,,,,,,,,HD 73256.xml,
HD 73267,HD 73267,08 36 17.77517,,-34 27 35.9219,,54.2,54.91,2.7,3.0,2.7,3.0,HD 73267.xml,
HD 73526,HD 73526,08 37 16,,-41 19 08,,,,,,,,HD 73526.xml,
HD 73534,HD 73534,08 39 16,,+12 57 37,,,,,,,,HD 73534.xml,
HD 74156,HD 74156,08 42 25.1,,+04 34 41.1,,64.4,64.56,2.2,4.9,2.2,4.9,HD 74156.xml,
HD 7449,HD 7449,01 14 29.32198,,-05 02 50.5942,,38.9,39.0,0.71,1.0,0.74,1.0,HD 7449.xml,
HD 75289,HD 75289,08 47 40,,-41 44 12,,,,,,,,HD 75289.xml,
HD 75784,HD 75784,08 52 23.941,,+13 14 00.37,,,,,,,,HD 75784.xml,
HD 75898,HD 75898,08 53 51,,+33 03 25,,,,,,,,HD 75898.xml,
HD 76700,HD 76700,08 53 55,,-66 48 03,,,,,,,,HD 76700.xml,
HD 77338,HD 77338,09 01 12,,-25 31 37,,,,,1.76,,1.76,HD 77338.xml,
HD 7924,HD 7924,01 21 59.11491,,+76 42 37.0335,,16.82,16.8,0.13,0.1,0.13,0.1,HD 7924.xml,
HD 79498,HD 79498,09 15 09,,+23 22 32,,,,,,,,HD 79498.xml,
HD 80606,HD 80606,09 22 37,,+50 36 13,,,,,15.0,,15.0,HD 80606.xml,
HD 81040,HD 81040,09 23 47,,+20 21 52,,,,,1.31,,1.31,HD 81040.xml,
HD 81688,HD 81688,09 28 39.98840,,+45 36 05.3344,,85.8,88.26,2.9,8.0,2.9,8.0,HD 81688.xml,
HD 82886,HD 82886,09 35 45.1827,,+34 46 50.673,,,,,12.0,,12.0,HD 82886.xml,
HD 82943,HD 82943,09 34 50,,-12 07 46,,,,,,,,HD 82943.xml,
HD 83443,HD 83443,09 37 11,,-43 16 19,,,,,,,,HD 83443.xml,
HD 8535,HD 8535,01 23 37,,-41 16 11,,,,,1.6,,1.6,HD 8535.xml,
HD 85390,HD 85390,09 50 02,,-49 47 25,,,,,1.0,,1.0,HD 85390.xml,
HD 85512,HD 85512,09 51 07,,-43 30 10,,,,,,,,HD 85512.xml,
HD 8574,HD 8574,01 25 12,,+28 34 00,,,,,1.7,,1.7,HD 8574.xml,
HD 86081,HD 86081,09 56 06,,-03 48 30,,,,,,,,HD 86081.xml,
HD 86226,HD 86226,09 56 30,,-24 05 58,,,,,1.53,,1.53,HD 86226.xml,
HD 86264,HD 86264,09 56 58,,-15 53 42,,,,,,,,HD 86264.xml,
HD 8673,HD 8673,01 26 08,,+34 34 46,,36.1,38.25,0.5,1.2,0.5,1.2,HD 8673.xml,
HD 87883,HD 87883,10 08 43,,+34 14 32,,,,,,,,HD 87883.xml,
HD 88133,HD 88133,10 10 07,,+18 11 12,,,,,,,,HD 88133.xml,
HD 89307,HD 89307,10 18 21,,+12 37 15,,,,,,,,HD 89307.xml,
HD 89744,HD 89744,10 22 10,,+41 13 46,,,,,,,,HD 89744.xml,
HD 90156,HD 90156,10 23 55,,-29 38 44,,,,,0.66,,0.66,HD 90156.xml,
HD 92788,HD 92788,10 42 48,,-02 11 01,,,,,,,,HD 92788.xml,
HD 93083,HD 93083,10 44 20,,-33 34 37,,,,,,,,HD 93083.xml,
HD 93385,HD 93385,10 46 15,,-41 27 52,,,,,1.2,,1.2,HD 93385.xml,
HD 9446,HD 9446,01 33 20,,+29 15 55,,,,,3.0,,3.0,HD 9446.xml,
HD 95086,HD 95086,10 57 03,,-68 40 02,,90.27,90.4,,3.3,,3.3,HD 95086.xml,
HD 95089,HD 95089,10 58 48,,+01 43 45,,,,,16.0,,16.0,HD 95089.xml,
HD 95127,HD 95127,10 59 35.08667,,+43 48 52.0823,,327,300.0,106,100.0,106,100.0,HD 95127.xml,
HD 9578,HD 9578,01 33 17,,-38 14 42,,,,,2.9,,2.9,HD 9578.xml,
HD 95872,HD 95872,11 03 28.071,,-22 05 38.41,,,7.56,,,,,HD 95872.xml,
HD 96063,HD 96063,11 04 44.4546,,-02 30 47.587,,,,,20.0,,20.0,HD 96063.xml,
HD 96127,HD 96127,11 05 45.94825,,+44 18 05.6092,,483,540.0,135,26.0,135,26.0,HD 96127.xml,
HD 96167,HD 96167,11 05 15,,-10 17 29,,,,,9.0,,9.0,HD 96167.xml,
HD 96700,HD 96700,11 07 54,,-30 10 28,,,,,0.3,,0.3,HD 96700.xml,
HD 97658,HD 97658,11 14 33,,+25 42 37,,21.11,21.1,0.34,0.33,0.34,0.33,HD 97658.xml,
HD 98219,HD 98219,11 17 47,,-23 58 31,,,,,12.0,,12.0,HD 98219.xml,
HD 98649,HD 98649,11 20 52,,-23 13 02,,,,,1.3,,1.3,HD 98649.xml,
HD 99109,HD 99109,11 24 17,,-01 31 44,,,,,4.8,,4.8,HD 99109.xml,
HD 99706,HD 99706,11 28 30,,+43 58 00,,,,,11.0,,11.0,HD 99706.xml,
HIP 107773,HIP 107773,21 50 00.12563,,-64 42 45.1275,,104,106.0,,,,,HIP 107773.xml,
HIP 116454,HIP 116454,23 35 49.281,,+00 26 43.86,,,,,,,,HIP 116454.xml,
HIP 11915,HIP 11915,02 33 49.02495,,-19 36 42.5032,,,,,,,,HIP 11915.xml,
HIP 12961,HIP 12961,02 46 43,,-23 05 12,,,,,0.9,,0.9,HIP 12961.xml,
HIP 14810,HIP 14810,03 11 14,,+21 05 50,,,,,4.1,,4.1,HIP 14810.xml,
HIP 5158,HIP 5158,01 06 02,,-22 27 11,,,,,4.0,,4.0,HIP 5158.xml,
HIP 57050,HIP 57050,11 41 45,,+42 45 07,,,,,0.4,,0.4,HIP 57050.xml,
HIP 57274,HIP 57274,11 44 41,,+30 57 33,,,,,,,,HIP 57274.xml,
HIP 63242,HIP 63242,12 57 32,,-65 38 47,,,,,8.9,,8.9,HIP 63242.xml,
HIP 65891,HIP 65891,13 30 25.27310,,-58 39 51.6746,,,,11,1.0,11,1.0,HIP 65891.xml,
HIP 67851,HIP 67851,13 53 52.06197,,-35 18 51.7033,,66.0,65.96,,,,,HIP 67851.xml,
HIP 70849,HIP 70849,14 29 19,,-46 27 50,,,,,1.2,,1.2,HIP 70849.xml,
HIP 75458,HIP 75458,15 24 55,,+58 57 57,,,,,,,,HIP 75458.xml,
HIP 78530,HIP 78530,16 01 55,,-21 58 49,,,,,,,,HIP 78530.xml,
HIP 79431,HIP 79431,16 12 42,,-18 52 32,,,,,0.7,,0.7,HIP 79431.xml,
HIP 91258,HIP 91258,18 36 53.15422,,+61 42 09.0124,,,,,,,,HIP 91258.xml,
