Primary system name(from OEC_system.csv),star_name(from standardize_EU_Catalogue_System_Data.csv),Right ascension(from OEC_system.csv),Right ascension(from standardize_EU_Catalogue_System_Data.csv),Declination(from OEC_system.csv),Declination(from standardize_EU_Catalogue_System_Data.csv),Distance [parsec](from OEC_system.csv),star_distance(from standardize_EU_Catalogue_System_Data.csv),Distance errorminus(from OEC_system.csv),star_distance_error_min(from standardize_EU_Catalogue_System_Data.csv),Distance errorplus(from OEC_system.csv),star_distance_error_max(from standardize_EU_Catalogue_System_Data.csv),source (xml)(from OEC_system.csv),source (xml)(from standardize_EU_Catalogue_System_Data.csv)
CoRoT-22,CoRoT-22,18 42 40.109,,+06 13 08.97,,,,,,,,CoRoT-22.xml,
CoRoT-23,CoRoT-23,18 39 08,,+04 21 28,,,,,50.0,,50.0,CoRoT-23.xml,
CoRoT-24,CoRoT-24,06 47 41,,-03 43 10,,,,,,,,CoRoT-24.xml,
CoRoT-25,CoRoT-25,18 42 31.13,,+06 30 50.04,,,,25,85.0,85,25.0,CoRoT-25.xml,
CoRoT-26,CoRoT-26,18 39 00.13,,+06 58 11.71,,,,110,205.0,205,110.0,CoRoT-26.xml,
CoRoT-27,CoRoT-27,18 33 59,,+05 32 19,,,,,,,,CoRoT-27.xml,
CoRoT-28,CoRoT-28,18 34 45.21,,+05 34 25.72,,,,,,,,CoRoT-28.xml,
CoRoT-29,CoRoT-29,18 35 36.50,,+06 28 46.99,,,,,,,,CoRoT-29.xml,
CoRoT-3,CoRoT-3,19 28 13,,+00 07 19,,,,,160.0,,160.0,CoRoT-3.xml,
CoRoT-4,CoRoT-4,06 48 47,,-00 40 22,,,,,,,,CoRoT-4.xml,
CoRoT-5,CoRoT-5,06 45 07,,+00 48 55,,,,,0.0,,0.0,CoRoT-5.xml,
CoRoT-6,CoRoT-6,18 44 18,,+06 39 48,,,,,,,,CoRoT-6.xml,
CoRoT-7,CoRoT-7,06 43 49,,-01 03 47,,,,,,,,CoRoT-7.xml,
CoRoT-8,CoRoT-8,19 26 21,,+01 25 36,,,,,100.0,,100.0,CoRoT-8.xml,
CoRoT-9,CoRoT-9,18 43 09,,+06 12 15,,,,,,,,CoRoT-9.xml,
DH Tau,DH Tau,04 29 42,,+26 32 58,,140.01,,,,,,DH Tau.xml,
DP Leo,DP Leo,11 17 16,,+17 57 41,,400,,,,,,DP Leo.xml,
EPIC 201295312,EPIC 201295312,11 36 02.791,,-02 31 15.17,,331,,35,,61,,EPIC 201295312.xml,
EPIC 201445392,K2-8,11 19 10.48,,-00 17 03.75,,405,,16,,14,,EPIC 201445392.xml,
EPIC 201637175,EPIC 201637175 ,11 17 55.856,,+02 37 06.79,,,,,,,,EPIC 201637175.xml,
EPIC 201713348,EPIC 201713348,11 17 47.78,,+03 51 59.0,,,,,,,,EPIC 201713348.xml,
EPIC 203826436,EPIC 203826436,16 13 48.24,,-24 47 13.4,,,,,,,,EPIC 203826436.xml,
EPIC 204221263,EPIC 204221263,16 00 08.06,,-23 11 21.4,,,,,,,,EPIC 204221263.xml,
EPIC 205071984,EPIC 205071984,16 49 42.26,,-19 32 34.2,,,,,,,,EPIC 205071984.xml,
FU Tau,FU Tau,04 23 35.386,,+25 03 03.05,,,,,,,,FU Tau.xml,
FW Tau,FW Tau,04 29 30,,+26 16 53,,,,,15.0,,15.0,FW Tau.xml,
Fomalhaut,Fomalhaut,22 57 39,,-29 37 20,,,,,,,,Fomalhaut.xml,
Gliese 1214,GJ 1214,17 15 18.94,,+04 57 49.7,,14.55,13.0,0.13,,0.13,,Gliese 1214.xml,
GJ 160.2,GJ 160.2,04 06 34.84136,,-20 51 11.2391,,43.25,,0.8,,0.9,,GJ 160.2.xml,
GJ 180,GJ 180,04 53 49.97976,,-17 46 24.2944,,12.1,,0.3,,0.4,,GJ 180.xml,
GJ 229,GJ 229,06 10 34.61533,,-21 51 52.7117,,5.75,,0.03,,0.03,,GJ 229.xml,
GJ 27.1,GJ 27.1,00 39 58.82591,,-44 15 11.5985,,24.0,,1.5,,1.7,,GJ 27.1.xml,
Gliese 328,GJ 328,08 55 08,,+01 32 56,,,,,,,,Gliese 328.xml,
Gliese 3470,GJ 3470,07 59 06,,+15 23 30,,30.7,29.28,,1.7,,2.1,Gliese 3470.xml,
GJ 422,GJ 422,11 16 00.20551,,-57 32 51.5988,,12.67,,0.40,,0.43,,GJ 422.xml,
14 Her, H,16 10 23,,+43 49 18,,18.1,,,,,,14 Her.xml,
GJ 682,GJ 682,17 37 03.66242,,-44 19 09.1697,,5.079,,0.054,,0.056,,GJ 682.xml,
Gliese 687,GJ 687,17 36 25.89973,,+68 20 20.9108,,,,,,,,Gliese 687.xml,
GQ Lup,GQ Lup,15 49 12,,-35 39 03,,,,,50.0,,50.0,GQ Lup.xml,
GU Psc,GU Psc,01 12 35,,+17 03 56,,,,,,,,GU Psc.xml,
Kepler-100, O I,19 25 32,,+41 59 24,,296.6,,,,,,Kepler-100.xml,
HAT-P-11,HAT-P-11,19 50 50,,+48 04 51,,,,,1.3,,1.3,HAT-P-11.xml,
HAT-P-12,HAT-P-12,13 57 34,,+43 29 37,,,,,3.3,,3.3,HAT-P-12.xml,
HAT-P-13,HAT-P-13,08 39 32,,+47 21 07,,,,,12.0,,12.0,HAT-P-13.xml,
HAT-P-14,HAT-P-14,17 20 28,,+38 14 32,,,,,11.0,,11.0,HAT-P-14.xml,
HAT-P-15,HAT-P-15,04 24 59.534,,+39 27 38.31,,,,,8.0,,8.0,HAT-P-15.xml,
HAT-P-16,HAT-P-16,00 38 18,,+42 27 47,,,,,10.0,,10.0,HAT-P-16.xml,
HAT-P-17,HAT-P-17,21 38 09,,+30 29 19,,,,,3.0,,3.0,HAT-P-17.xml,
HAT-P-18,HAT-P-18,17 05 24,,+33 00 45,,,,,,,,HAT-P-18.xml,
HAT-P-19,HAT-P-19,00 38 04.012,,+34 42 41.56,,,,,,,,HAT-P-19.xml,
HAT-P-2,HAT-P-2,16 20 36,,+41 02 53,,,,,8.0,,8.0,HAT-P-2.xml,
HAT-P-20,HAT-P-20,07 27 40,,+24 20 11,,,,,3.0,,3.0,HAT-P-20.xml,
HAT-P-21,HAT-P-21,11 25 06,,+41 01 41,,,,,19.0,,19.0,HAT-P-21.xml,
HAT-P-22,HAT-P-22,10 22 44,,+50 07 42,,,,,3.0,,3.0,HAT-P-22.xml,
HAT-P-23,HAT-P-23,20 24 30,,+16 45 44,,,,,25.0,,25.0,HAT-P-23.xml,
HAT-P-24,HAT-P-24,07 15 18,,+14 15 44,,396,306.0,,,,,HAT-P-24.xml,
HAT-P-25,HAT-P-25,03 13 45,,+25 11 51,,,,,13.0,,13.0,HAT-P-25.xml,
HAT-P-26,HAT-P-26,14 12 37.54,,+04 03 36.13,,,,,8.0,,8.0,HAT-P-26.xml,
HAT-P-28,HAT-P-28,00 52 00,,+34 43 42,,,,,26.0,,26.0,HAT-P-28.xml,
HAT-P-29,HAT-P-29,02 12 31,,+51 46 44,,,,,21.0,,21.0,HAT-P-29.xml,
HAT-P-3,HAT-P-3,13 44 23,,+48 01 43,,,,,10.0,,10.0,HAT-P-3.xml,
HAT-P-31,HAT-P-31,18 06 09,,+26 25 36,,,,,51.0,,51.0,HAT-P-31.xml,
HAT-P-32,HAT-P-32,02 04 10.278,,+46 41 16.21,,283,320.0,5,16.0,5,16.0,HAT-P-32.xml,
HAT-P-33,HAT-P-33,07 32 44,,+33 50 06,,387,419.0,9,66.0,9,66.0,HAT-P-33.xml,
HAT-P-34,HAT-P-34,20 12 46.885,,+18 06 17.42,,,,,17.0,,17.0,HAT-P-34.xml,
HAT-P-35,HAT-P-35,08 13 00,,+04 47 13,,,,,32.0,,32.0,HAT-P-35.xml,
HAT-P-36,HAT-P-36,12 33 03.909,,+44 54 55.18,,,,,17.0,,17.0,HAT-P-36.xml,
HAT-P-37,HAT-P-37,18 57 11,,+51 16 09,,,,,26.0,,26.0,HAT-P-37.xml,
HAT-P-38,HAT-P-38,02 21 32,,+32 14 47,,,,,19.0,,19.0,HAT-P-38.xml,
HAT-P-39,HAT-P-39,07 35 02,,+17 49 48,,,,,29.0,,29.0,HAT-P-39.xml,
HAT-P-4,HAT-P-4,15 19 58,,+36 13 47,,,,,30.0,,30.0,HAT-P-4.xml,
HAT-P-40,HAT-P-40,22 22 03,,+45 27 27,,,,,16.0,,16.0,HAT-P-40.xml,
HAT-P-41,HAT-P-41,19 49 17,,+04 40 20,,,,,8.0,,12.0,HAT-P-41.xml,
