Primary planet name,All planet names,Lists,Mass [Mjup],Mass [Mjup] errorminus,Mass [Mjup] errorplus,Mass [Mjup] lowerlimit,Mass [Mjup] upperlimit,Radius [Rjup],Radius [Rjup] errorminus,Radius [Rjup] errorplus,Radius [Rjup] lowerlimit,Radius [Rjup] upperlimit,Orbital period [days],Orbital period [days] errorminus,Orbital period [days] errorplus,Orbital period [days] lowerlimit,Orbital period [days] upperlimit,Eccentricity,Eccentricity errorminus,Eccentricity errorplus,Eccentricity lowerlimit,Eccentricity upperlimit,Equilibrium temperature [K],Equilibrium temperature [K] errorminus,Equilibrium temperature [K] errorplus,Equilibrium temperature [K] lowerlimit,Equilibrium temperature [K] upperlimit,Discovery method,Discovery year,Last updated [yy/mm/dd],source (xml)
alf Tau b,alf Tau b|Aldebaran b|alf Tau A b|Alpha Tauri A b|a Tau A b|a Tauri A b|87 Tau A b|87 Tauri A b|HR 1457 b|HD 29139 b|HIP 21421 b|TYC 1266-1416-1 b|BD+16 629 b|PPM 120061 b,Controversial|Planets in binary systems| S-type,6.47,0.53,0.53,,,,,,,,628.96,0.90,0.90,,,0.10,0.05,0.05,,,,,,,,RV,2015,15/11/17,alf Tau.xml
Proxima Centauri b,Proxima Centauri b|a Centauri C b|GL 551 b|HIP 70890 b|Proxima b,Confirmed planets|Planets in binary systems| S-type,0.004089,,,,,,,,,,11.186,0.002,0.001,,,,,,,0.35,234,14,6,,,RV,2016,16/08/22,Alpha Centauri.xml
Alpha Centauri B b,Alpha Centauri B b|GJ 559 B b|HR 5460 b|HD 128621 b|HIP 71681 b|Albertus Alauda|alf Cen B b,Controversial|Planets in binary systems| S-type,0.00356,0.00028,0.00028,,,,,,,,3.2357,0.0008,0.0008,,,0.0,,,,,,,,,,RV,2012,15/11/17,Alpha Centauri.xml
Alpha Centauri B c,Alpha Centauri B c|GJ 559 B c|HR 5460 c|HD 128621 c|HIP 71681 c|alf Cen B c,Controversial|Planets in binary systems| S-type,,,,,,0.083840,0.005468,0.005468,,,,,,,20.4,,,,,0.24,,,,,,transit,2015,15/11/17,Alpha Centauri.xml
BD+14 4559 b,BD+14 4559 b|BD14 4559 b,Confirmed planets,1.47,,,,,,,,,,268.94,0.99,0.99,,,0.29,0.03,0.03,,,,,,,,RV,2009,15/11/26,BD+14 4559.xml
BD+15 2940 b,BD+15 2940 b|HIC 78407 b,Confirmed planets,1.11,,,,,,,,,,137.48,0.34,0.34,,,0.26,0.10,0.10,,,,,,,,RV,2013,15/11/23,BD+15 2940.xml
BD+20 1790 b,BD+20 1790 b|V429 Gem b|V429 Geminorum b|2MASS J07234358+2024588 b|TYC 1355-214-1 b,Confirmed planets,6.37,1.35,1.35,,,,,,,,7.78287,0.00076,0.00077,,,0.22,0.09,0.07,,,,,,,,RV,2015,15/11/23,BD+20 1790.xml
BD+20 2457 b,BD+20 2457 b|BD20 2457 b,Controversial,21.42,,,,,,,,,,379.63,2.01,2.01,,,0.15,0.03,0.03,,,,,,,,RV,2009,15/11/26,BD+20 2457.xml
BD+20 2457 c,BD+20 2457 c|BD20 2457 c,Controversial,12.47,,,,,,,,,,621.99,10.20,10.20,,,0.18,0.06,0.06,,,,,,,,RV,2009,15/11/26,BD+20 2457.xml
BD+20 274 b,BD+20 274 b|2MASS J01434087+2100191 b|TYC 1211-603-1 b|GSC 1211-603 b|SAO 74893 b,Confirmed planets,4.2,,,,,,,,,,578.2,5.4,5.4,,,0.21,0.06,0.06,,,,,,,,RV,2012,15/11/23,BD+20 274.xml
BD+48 738 b,BD+48 738 b,Confirmed planets,0.91,,,,,,,,,,392.6,5.5,5.5,,,0.2,0.1,0.1,,,,,,,,RV,2011,15/11/17,BD+48 738.xml
BD+49 828 b,BD+49 828 b,Confirmed planets,1.6,0.2,0.4,,,,,,,,2590,180,300,,,0.35,0.10,0.24,,,,,,,,RV,2015,15/11/23,BD+49 828.xml
BD-08 2823 b,BD-08 2823 b|HIP 49067 b|TYC 5480-00020-1 b|BD-08 2823 b|2MASS J10004775-0931001 b,Confirmed planets,0.045,0.007,0.007,,,,,,,,5.60,0.02,0.02,,,0.15,0.15,0.15,,,,,,,,RV,2009,15/11/17,BD-08 2823.xml
BD-08 2823 c,BD-08 2823 c|HIP 49067 c|TYC 5480-00020-1 c|BD-08 2823 c|2MASS J10004775-0931001 c,Confirmed planets,0.33,0.03,0.03,,,,,,,,237.6,1.5,1.5,,,0.19,0.09,0.09,,,,,,,,RV,2009,15/11/17,BD-08 2823.xml
BD-10 3166 b,BD-10 3166 b,Confirmed planets,0.408,0.035,0.035,,,,,,,,3.48777,0.00011,0.00011,,,0.0190,0.0230,0.0230,,,,,,,,RV,2000,15/11/17,BD-10 3166.xml
BD-11 4672 b,BD-11 4672 b,Confirmed planets,0.53,0.05,0.05,,,,,,,,1667,31,33,,,0.05,0.04,0.06,,,,,,,,RV,2014,15/11/17,BD-11 4672.xml
