Primary star name(from standardize_OEC_star.csv),pl_hostname(from standardize_NASA_Catalogue_Star_Data.csv),Mass [MSun](from standardize_OEC_star.csv),st_mass(from standardize_NASA_Catalogue_Star_Data.csv),Mass [MSun] errorminus(from standardize_OEC_star.csv),st_masserr2(from standardize_NASA_Catalogue_Star_Data.csv),Mass [MSun] errorplus(from standardize_OEC_star.csv),st_masserr1(from standardize_NASA_Catalogue_Star_Data.csv),Radius [RSun](from standardize_OEC_star.csv),st_rad(from standardize_NASA_Catalogue_Star_Data.csv),Radius [RSun] errorminus(from standardize_OEC_star.csv),st_raderr2(from standardize_NASA_Catalogue_Star_Data.csv),Radius [RSun] errorplus(from standardize_OEC_star.csv),st_raderr1(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr](from standardize_OEC_star.csv),st_age(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr] errorminus(from standardize_OEC_star.csv),st_ageerr2(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr] errorplus(from standardize_OEC_star.csv),st_ageerr1(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr] lowerlimit(from standardize_OEC_star.csv),Age [Gyr] lowerlimit(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr] upperlimit(from standardize_OEC_star.csv),Age [Gyr] upperlimit(from standardize_NASA_Catalogue_Star_Data.csv),Metallicity [Fe/H](from standardize_OEC_star.csv),st_metfe(from standardize_NASA_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorminus(from standardize_OEC_star.csv),st_metfeerr2(from standardize_NASA_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorplus(from standardize_OEC_star.csv),st_metfeerr1(from standardize_NASA_Catalogue_Star_Data.csv),Temperature [K](from standardize_OEC_star.csv),st_teff(from standardize_NASA_Catalogue_Star_Data.csv),Temperature [K] errorminus(from standardize_OEC_star.csv),st_tefferr2(from standardize_NASA_Catalogue_Star_Data.csv),Temperature [K] errorplus(from standardize_OEC_star.csv),st_tefferr1(from standardize_NASA_Catalogue_Star_Data.csv),Spectral type(from standardize_OEC_star.csv),Spectral type(from standardize_NASA_Catalogue_Star_Data.csv),Visual magnitude(from standardize_OEC_star.csv),st_optmag(from standardize_NASA_Catalogue_Star_Data.csv),Visual magnitude errorminus(from standardize_OEC_star.csv),st_optmagerr(from standardize_NASA_Catalogue_Star_Data.csv),Visual magnitude errorplus(from standardize_OEC_star.csv),st_optmagerr(from standardize_NASA_Catalogue_Star_Data.csv),source (xml)(from standardize_OEC_star.csv),source (xml)(from standardize_NASA_Catalogue_Star_Data.csv)
Kepler-927,Kepler-927,,,,,,,,,,,,,,4.370,,2.540,,3.740,,,,,,,,,0.13,0.131,,,106.0,106.02,85.7,85.68,,,,14.630,,,,,Kepler-927.xml,
Kepler-928,Kepler-928,,,,,,,,,,,,,,4.370,,2.510,,6.030,,,,,,,0.17,0.175,0.17,0.171,,,58.0,57.97,57.5,57.52,,,,15.320,,,,,Kepler-928.xml,
Kepler-929,Kepler-929,,,,,,,,,,,,,,3.470,,1.780,,3.420,,,,,,,0.18,0.183,,,,,266.5,266.47,290.4,290.44,,,,14.542,,,,,Kepler-929.xml,
Kepler-930,Kepler-930,,,,,,,,,,,,,,2.340,,0.763,,1.240,,,,,,,0.16,0.156,0.13,0.128,,,258.9,258.85,273.3,273.34,,,,13.781,,,,,Kepler-930.xml,
Kepler-931,Kepler-931,,,,,,,,,,,,,,4.680,,2.890,,6.190,,,,,,,0.15,0.155,0.15,0.149,,,198.9,198.95,223.6,223.61,,,,14.471,,,,,Kepler-931.xml,
Kepler-932,Kepler-932,,,,,,,,,,,,,,4.680,,2.910,,5.600,,,,,,,0.16,0.157,0.14,0.142,,,166.7,166.65,194.8,194.78,,,,14.131,,,,,Kepler-932.xml,
Kepler-933,Kepler-933,,,,,,,,,,,,,,4.680,,2.930,,6.470,,,,,,,0.17,0.166,0.15,0.153,,,87.1,87.13,65.9,65.89,,,,15.469,,,,,Kepler-933.xml,
Kepler-934,Kepler-934,,,,,,,,,,,,,,4.470,,2.660,,6.150,,,,,,,0.16,0.158,0.15,0.149,,,76.0,76.01,68.2,68.25,,,,15.061,,,,,Kepler-934.xml,
Kepler-935,Kepler-935,,,,,,,,,,,,,,3.800,,2.070,,6.040,,,,,,,0.17,0.173,0.16,0.159,,,87.2,87.15,74.6,74.56,,,,14.925,,,,,Kepler-935.xml,
Kepler-936,Kepler-936,,,,,,,,,,,,,,4.570,,2.900,,5.830,,,,,,,0.16,0.158,0.14,0.137,,,127.6,127.57,99.3,99.27,,,,14.581,,,,,Kepler-936.xml,
Kepler-937,Kepler-937,,,,,,,,,,,,,,3.240,,1.420,,1.270,,,,,,,0.14,0.145,0.14,0.143,,,,,81.7,81.71,,,,15.224,,,,,Kepler-937.xml,
Kepler-938,Kepler-938,,,,,,,,,,,,,,4.270,,2.560,,5.500,,,,,,,0.18,0.182,0.15,0.148,,,,,95.4,95.38,,,,15.004,,,,,Kepler-938.xml,
Kepler-939,Kepler-939,,,,,,,,,,,,,,4.470,,2.790,,5.650,,,,,,,0.20,0.201,0.17,0.165,,,105.8,105.85,,,,,,15.534,,,,,Kepler-939.xml,
Kepler-940,Kepler-940,,,,,,,,,,,,,,3.630,,1.980,,3.380,,,,,,,0.20,0.199,0.15,0.152,,,,,169.7,169.66,,,,15.517,,,,,Kepler-940.xml,
Kepler-941,Kepler-941,,,,,,,,,,,,,,4.070,,2.440,,5.000,,,,,,,0.22,0.221,0.18,0.177,,,104.0,104.04,154.0,154.02,,,,15.601,,,,,Kepler-941.xml,
Kepler-942,Kepler-942,,,,,,,,,,,,,,4.170,,2.150,,2.640,,,,,,,,,0.10,0.099,,,66.3,66.28,77.8,77.85,,,,13.054,,,,,Kepler-942.xml,
Kepler-943,Kepler-943,,,,,,,,,,,,,,4.270,,3.000,,5.050,,,,,,,0.20,0.196,0.16,0.161,,,101.3,101.28,121.6,121.64,,,,15.640,,,,,Kepler-943.xml,
Kepler-944,Kepler-944,,,,,,,,,,,,,,4.470,,2.850,,6.050,,,,,,,0.18,0.183,0.16,0.161,,,133.2,133.24,108.7,108.67,,,,15.737,,,,,Kepler-944.xml,
Kepler-945,Kepler-945,,,,,,,,,,,,,,4.470,,2.700,,4.080,,,,,,,0.19,0.192,0.13,0.134,,,104.4,104.43,119.3,119.29,,,,15.898,,,,,Kepler-945.xml,
Kepler-946,Kepler-946,,,,,,,,,,,,,,4.170,,2.470,,4.640,,,,,,,0.20,0.199,0.16,0.159,,,144.8,144.77,263.4,263.42,,,,14.941,,,,,Kepler-946.xml,
Kepler-947,Kepler-947,,,,,,,,,,,,,,4.270,,2.630,,5.620,,,,,,,0.20,0.197,,,,,129.7,129.72,133.2,133.16,,,,15.789,,,,,Kepler-947.xml,
Kepler-948,Kepler-948,,,,,,,,,,,,,,4.170,,2.500,,4.070,,,,,,,0.18,0.177,0.13,0.129,,,134.3,134.32,174.9,174.93,,,,14.800,,,,,Kepler-948.xml,
Kepler-949,Kepler-949,,,,,,,,,,,,,,4.570,,2.870,,5.830,,,,,,,0.16,0.161,0.14,0.144,,,208.0,208.02,,,,,,14.548,,,,,Kepler-949.xml,
Kepler-411,Kepler-411,0.81,0.83,0.03,0.10,0.02,0.04,0.75,0.79,0.01,0.06,0.01,0.07,,,,,,,,,,,0.05,0.230,0.10,0.480,0.11,0.370,4906.0,4974.00,51.1,51.00,48.1,46.00,,,,12.231,,,,,Kepler-411.xml,
Kepler-950,Kepler-950,,,,,,,,,,,,,,3.800,,2.100,,2.600,,,,,,,,,0.14,0.135,,,163.5,163.53,115.9,115.89,,,,15.700,,,,,Kepler-950.xml,
Kepler-951,Kepler-951,,,,,,,,,,,,,,4.270,,2.440,,6.060,,,,,,,0.16,0.163,0.16,0.157,,,91.7,91.65,86.0,86.05,,,,14.521,,,,,Kepler-951.xml,
Kepler-952,Kepler-952,,,,,,,,,,,,,,4.270,,2.500,,3.620,,,,,,,,,0.14,0.136,,,100.2,100.17,87.5,87.45,,,,15.254,,,,,Kepler-952.xml,
Kepler-953,Kepler-953,,,,,,,,,,,,,,8.710,,4.950,,3.260,,,,,,,0.07,0.065,0.07,0.068,,,45.6,45.57,40.8,40.78,,,,12.160,,,,,Kepler-953.xml,
Kepler-1036,Kepler-1036,,,,,,,,,,,,,,3.240,,1.610,,2.730,,,,,,,0.10,0.099,0.10,0.105,,,69.6,69.58,83.3,83.31,,,,13.800,,,,,Kepler-1036.xml,
Kepler-1037,Kepler-1037,,,,,,,,,,,,,,5.130,,3.110,,5.740,,,,,,,0.16,0.164,0.14,0.139,,,70.7,70.71,97.0,96.95,,,,14.229,,,,,Kepler-1037.xml,
Kepler-1038,Kepler-1038,,,,,,,,,,,,,,4.270,,2.570,,5.420,,,,,,,0.18,0.176,0.16,0.158,,,212.9,212.93,253.3,253.32,,,,14.839,,,,,Kepler-1038.xml,
Kepler-1039,Kepler-1039,,,,,,,,,,,,,,4.370,,2.570,,5.920,,,,,,,0.16,0.164,,,,,173.3,173.27,194.2,194.18,,,,14.145,,,,,Kepler-1039.xml,
Kepler-1040,Kepler-1040,,,,,,,,,,,,,,4.170,,2.200,,2.860,,,,,,,0.10,0.102,0.09,0.094,,,65.7,65.65,78.2,78.24,,,,13.328,,,,,Kepler-1040.xml,
Kepler-1041,Kepler-1041,,,,,,,,,,,,,,3.550,,1.880,,2.250,,,,,,,0.17,0.175,0.14,0.136,,,105.2,105.23,107.7,107.73,,,,14.490,,,,,Kepler-1041.xml,
Kepler-1042,Kepler-1042,,,,,,,,,,,,,,4.790,,2.950,,6.130,,,,,,,0.20,0.195,0.15,0.153,,,79.6,79.62,86.9,86.89,,,,15.629,,,,,Kepler-1042.xml,
Kepler-1043,Kepler-1043,,,,,,,,,,,,,,4.470,,2.790,,4.910,,,,,,,0.19,0.187,0.15,0.155,,,67.6,67.58,73.2,73.19,,,,14.777,,,,,Kepler-1043.xml,
Kepler-1044,Kepler-1044,,,,,,,,,,,,,,3.550,,1.790,,1.920,,,,,,,0.16,0.163,0.14,0.137,,,124.5,124.51,112.3,112.26,,,,15.368,,,,,Kepler-1044.xml,
Kepler-1045,Kepler-1045,,,,,,,,,,,,,,4.470,,2.810,,5.860,,,,,,,0.16,0.163,0.15,0.146,,,59.8,59.81,56.0,56.01,,,,15.593,,,,,Kepler-1045.xml,
Kepler-1046,Kepler-1046,,,,,,,,,,,,,,3.630,,1.670,,1.880,,,,,,,0.09,0.092,0.09,0.089,,,81.9,81.92,72.8,72.81,,,,13.286,,,,,Kepler-1046.xml,
Kepler-1047,Kepler-1047,,,,,,,,,,,,,,4.470,,2.340,,1.920,,,,,,,0.06,0.062,0.07,0.065,,,,,83.6,83.64,,,,13.351,,,,,Kepler-1047.xml,
Kepler-1048,Kepler-1048,,,,,,,,,,,,,,3.980,,2.260,,5.930,,,,,,,,,0.15,0.149,,,62.4,62.38,59.4,59.42,,,,14.832,,,,,Kepler-1048.xml,
Kepler-1049,Kepler-1049,,,,,,,,,,,,,,3.800,,2.200,,5.360,,,,,,,0.08,0.078,0.08,0.083,,,,,42.0,42.03,,,,14.220,,,,,Kepler-1049.xml,
Kepler-1050,Kepler-1050,,,,,,,,,,,,,,3.550,,1.840,,1.600,,,,,,,0.17,0.165,0.14,0.141,,,99.7,99.65,90.7,90.67,,,,13.127,,,,,Kepler-1050.xml,
Kepler-1051,Kepler-1051,,,,,,,,,,,,,,1.740,,0.404,,0.617,,,,,,,0.17,0.166,,,,,,,270.6,270.59,,,,13.200,,,,,Kepler-1051.xml,
Kepler-1052,Kepler-1052,,,,,,,,,,,,,,3.550,,1.800,,2.650,,,,,,,0.17,0.175,,,,,173.3,173.26,,,,,,14.876,,,,,Kepler-1052.xml,
Kepler-1053,Kepler-1053,,,,,,,,,,,,,,3.090,,1.550,,5.500,,,,,,,0.17,0.171,,,,,98.2,98.25,81.7,81.74,,,,13.156,,,,,Kepler-1053.xml,
Kepler-1054,Kepler-1054,,,,,,,,,,,,,,2.820,,1.070,,0.888,,,,,,,0.14,0.138,0.14,0.143,,,147.0,147.02,106.6,106.61,,,,14.136,,,,,Kepler-1054.xml,
Kepler-1055,Kepler-1055,,,,,,,,,,,,,,3.090,,1.440,,2.200,,,,,,,0.10,0.099,0.10,0.098,,,61.7,61.68,76.3,76.28,,,,13.090,,,,,Kepler-1055.xml,
Kepler-1056,Kepler-1056,,,,,,,,,,,,,,2.950,,1.190,,1.940,,,,,,,,,,,,,285.3,285.27,199.8,199.75,,,,14.550,,,,,Kepler-1056.xml,
Kepler-1057,Kepler-1057,,,,,,,,,,,,,,3.090,,1.410,,2.430,,,,,,,0.18,0.181,0.13,0.132,,,297.0,296.99,293.8,293.78,,,,15.624,,,,,Kepler-1057.xml,
Kepler-1058,Kepler-1058,,,,,,,,,,,,,,3.390,,1.790,,6.070,,,,,,,0.17,0.171,0.18,0.178,,,112.7,112.73,89.8,89.85,,,,15.498,,,,,Kepler-1058.xml,
Kepler-1059,Kepler-1059,,,,,,,,,,,,,,5.370,,3.060,,6.030,,,,,,,0.24,0.236,,,,,62.3,62.34,81.5,81.53,,,,15.484,,,,,Kepler-1059.xml,
Kepler-1060,Kepler-1060,,,,,,,,,,,,,,4.270,,2.480,,3.370,,,,,,,0.19,0.192,0.15,0.155,,,198.6,198.61,181.0,180.98,,,,14.632,,,,,Kepler-1060.xml,
Kepler-1061,Kepler-1061,,,,,,,,,,,,,,2.140,,0.699,,1.200,,,,,,,0.10,0.101,0.10,0.096,,,59.0,59.04,71.8,71.81,,,,13.263,,,,,Kepler-1061.xml,
Kepler-351,Kepler-351,,0.89,,,,,0.854,0.85,.414,0.41,0.414,0.41,,,,,,,,,,,,-0.134,,,,,,,,,,,,,,15.990,,,,,Kepler-351.xml,
Kepler-1062,Kepler-1062,,,,,,,,,,,,,,2.450,,1.050,,5.250,,,,,,,,,0.14,0.142,,,,,61.9,61.91,,,,14.796,,,,,Kepler-1062.xml,
Kepler-1063,Kepler-1063,,,,,,,,,,,,,,3.390,,1.680,,2.200,,,,,,,0.13,0.133,0.15,0.146,,,155.4,155.38,188.8,188.84,,,,12.261,,,,,Kepler-1063.xml,
Kepler-1238,Kepler-1238,,,,,,,,,,,,,,2.140,,0.649,,1.200,,,,,,,0.14,0.144,,,,,299.5,299.46,341.3,341.26,,,,14.725,,,,,Kepler-1238.xml,
Kepler-1239,Kepler-1239,,,,,,,,,,,,,,1.620,,0.420,,0.632,,,,,,,0.17,0.172,0.13,0.129,,,198.4,198.42,153.5,153.47,,,,15.438,,,,,Kepler-1239.xml,
Kepler-1240,Kepler-1240,,,,,,,,,,,,,,4.070,,2.300,,4.540,,,,,,,0.16,0.159,0.14,0.138,,,,,103.3,103.27,,,,13.987,,,,,Kepler-1240.xml,
Kepler-1241,Kepler-1241,,,,,,,,,,,,,,4.680,,2.900,,6.110,,,,,,,0.18,0.185,0.15,0.153,,,119.8,119.79,180.7,180.72,,,,15.714,,,,,Kepler-1241.xml,
Kepler-1242,Kepler-1242,,,,,,,,,,,,,,5.620,,3.220,,5.240,,,,,,,0.17,0.169,0.13,0.129,,,57.6,57.56,84.6,84.63,,,,15.462,,,,,Kepler-1242.xml,
Kepler-1243,Kepler-1243,,,,,,,,,,,,,,4.370,,2.620,,4.130,,,,,,,0.17,0.168,0.14,0.135,,,139.8,139.83,113.9,113.87,,,,14.834,,,,,Kepler-1243.xml,
Kepler-1244,Kepler-1244,,,,,,,,,,,,,,1.700,,0.359,,0.420,,,,,,,0.17,0.165,0.14,0.143,,,106.3,106.27,,,,,,12.402,,,,,Kepler-1244.xml,
Kepler-1245,Kepler-1245,,,,,,,,,,,,,,4.570,,2.810,,6.270,,,,,,,,,0.14,0.143,,,102.0,101.98,77.5,77.49,,,,15.404,,,,,Kepler-1245.xml,
Kepler-1246,Kepler-1246,,,,,,,,,,,,,,3.890,,2.100,,6.020,,,,,,,0.16,0.163,0.16,0.158,,,51.3,51.31,49.7,49.69,,,,15.006,,,,,Kepler-1246.xml,
Kepler-1247,Kepler-1247,,,,,,,,,,,,,,4.680,,2.940,,6.650,,,,,,,0.16,0.156,0.14,0.141,,,112.6,112.59,116.5,116.55,,,,15.935,,,,,Kepler-1247.xml,
Kepler-1248,Kepler-1248,,,,,,,,,,,,,,1.510,,0.371,,0.705,,,,,,,0.08,0.077,0.07,0.075,,,,,83.2,83.25,,,,12.770,,,,,Kepler-1248.xml,
Kepler-1249,Kepler-1249,,,,,,,,,,,,,,2.820,,1.110,,1.080,,,,,,,0.15,0.153,0.13,0.131,,,201.7,201.72,133.6,133.62,,,,15.373,,,,,Kepler-1249.xml,
Kepler-1250,Kepler-1250,,,,,,,,,,,,,,4.570,,2.800,,4.060,,,,,,,0.18,0.178,0.14,0.139,,,82.5,82.51,71.4,71.36,,,,15.618,,,,,Kepler-1250.xml,
Kepler-1251,Kepler-1251,,,,,,,,,,,,,,4.790,,3.060,,5.710,,,,,,,0.18,0.177,0.15,0.148,,,95.2,95.15,85.5,85.54,,,,14.976,,,,,Kepler-1251.xml,
Kepler-1252,Kepler-1252,,,,,,,,,,,,,,3.890,,2.120,,2.360,,,,,,,0.16,0.161,0.14,0.137,,,218.4,218.38,,,,,,14.503,,,,,Kepler-1252.xml,
Kepler-1253,Kepler-1253,,,,,,,,,,,,,,7.080,,2.820,,1.800,,,,,,,0.14,0.145,0.15,0.147,,,56.4,56.44,65.9,65.89,,,,12.464,,,,,Kepler-1253.xml,
Kepler-1254,Kepler-1254,,,,,,,,,,,,,,5.620,,3.300,,5.650,,,,,,,0.20,0.203,0.15,0.149,,,45.0,45.04,,,,,,15.311,,,,,Kepler-1254.xml,
Kepler-1255,Kepler-1255,,,,,,,,,,,,,,3.550,,1.760,,2.010,,,,,,,0.16,0.161,0.13,0.133,,,186.8,186.81,134.7,134.73,,,,15.251,,,,,Kepler-1255.xml,
Kepler-1256,Kepler-1256,,,,,,,,,,,,,,3.720,,1.030,,0.910,,,,,,,0.08,0.077,0.09,0.092,,,69.3,69.29,67.9,67.94,,,,13.539,,,,,Kepler-1256.xml,
Kepler-1257,Kepler-1257,,,,,,,,,,,,,,4.370,,2.730,,5.360,,,,,,,0.18,0.177,0.15,0.147,,,93.9,93.92,168.3,168.32,,,,15.553,,,,,Kepler-1257.xml,
Kepler-1258,Kepler-1258,,,,,,,,,,,,,,3.890,,2.170,,3.110,,,,,,,0.18,0.182,0.14,0.145,,,73.5,73.45,79.2,79.16,,,,13.835,,,,,Kepler-1258.xml,
Kepler-1259,Kepler-1259,,,,,,,,,,,,,,5.250,,3.100,,6.000,,,,,,,0.17,0.169,0.14,0.144,,,67.6,67.62,113.6,113.64,,,,15.304,,,,,Kepler-1259.xml,
Kepler-1260,Kepler-1260,,,,,,,,,,,,,,3.800,,1.980,,2.210,,,,,,,0.18,0.183,0.14,0.136,,,192.5,192.48,131.6,131.56,,,,14.838,,,,,Kepler-1260.xml,
Kepler-1261,Kepler-1261,,,,,,,,,,,,,,4.470,,2.630,,5.910,,,,,,,,,,,,,44.5,44.49,48.3,48.34,,,,15.605,,,,,Kepler-1261.xml,
Kepler-1262,Kepler-1262,,,,,,,,,,,,,,4.270,,2.520,,3.550,,,,,,,0.18,0.182,0.14,0.139,,,103.4,103.42,101.7,101.71,,,,15.180,,,,,Kepler-1262.xml,
Kepler-1263,Kepler-1263,,,,,,,,,,,,,,4.900,,2.980,,6.270,,,,,,,,,0.16,0.157,,,74.4,74.37,,,,,,15.035,,,,,Kepler-1263.xml,
Kepler-1264,Kepler-1264,,,,,,,,,,,,,,4.170,,2.500,,3.040,,,,,,,,,0.14,0.139,,,145.2,145.15,109.2,109.18,,,,14.511,,,,,Kepler-1264.xml,
Kepler-1265,Kepler-1265,,,,,,,,,,,,,,5.250,,3.080,,5.570,,,,,,,0.20,0.204,0.15,0.155,,,,,42.6,42.63,,,,15.602,,,,,Kepler-1265.xml,
Kepler-167,Kepler-167,0.7130,0.77,0.0200,0.03,,,0.696,0.73,.037,0.01,0.037,0.02,,3.300,,0.800,,5.800,,,,,,-0.030,,0.080,,0.080,4796,4890.00,100,50.00,100,50.00,,,,14.023,,,,,Kepler-167.xml,
Kepler-1275,Kepler-1275,,,,,,,,,,,,,,2.510,,0.829,,1.080,,,,,,,,,0.13,0.131,,,214.9,214.87,202.9,202.94,,,,14.460,,,,,Kepler-1275.xml,
Kepler-1276,Kepler-1276,,,,,,,,,,,,,,3.090,,1.300,,1.000,,,,,,,0.10,0.096,0.08,0.084,,,55.2,55.24,65.2,65.25,,,,12.885,,,,,Kepler-1276.xml,
Kepler-1277,Kepler-1277,,,,,,,,,,,,,,5.010,,3.000,,3.560,,,,,,,0.11,0.111,0.10,0.105,,,68.7,68.73,82.2,82.21,,,,14.050,,,,,Kepler-1277.xml,
Kepler-1278,Kepler-1278,,,,,,,,,,,,,,3.310,,1.520,,1.450,,,,,,,0.16,0.161,0.13,0.134,,,128.3,128.32,112.2,112.24,,,,13.658,,,,,Kepler-1278.xml,
Kepler-1279,Kepler-1279,,,,,,,,,,,,,,2.820,,1.100,,0.804,,,,,,,0.14,0.141,0.13,0.134,,,110.4,110.44,,,,,,13.973,,,,,Kepler-1279.xml,
Kepler-1280,Kepler-1280,,,,,,,,,,,,,,2.820,,1.060,,1.020,,,,,,,0.15,0.153,0.14,0.135,,,156.5,156.51,121.7,121.69,,,,14.074,,,,,Kepler-1280.xml,
Kepler-1281,Kepler-1281,,,,,,,,,,,,,,4.370,,2.670,,5.890,,,,,,,0.17,0.175,0.17,0.169,,,93.6,93.58,,,,,,15.790,,,,,Kepler-1281.xml,
Kepler-1282,Kepler-1282,,,,,,,,,,,,,,4.570,,2.890,,6.120,,,,,,,0.17,0.168,0.14,0.137,,,,,81.1,81.08,,,,15.545,,,,,Kepler-1282.xml,
Kepler-1283,Kepler-1283,,,,,,,,,,,,,,2.880,,1.120,,1.570,,,,,,,0.16,0.159,0.13,0.128,,,233.5,233.53,183.2,183.18,,,,15.079,,,,,Kepler-1283.xml,
Kepler-1284,Kepler-1284,,,,,,,,,,,,,,4.470,,2.680,,6.030,,,,,,,0.17,0.175,,,,,83.5,83.53,,,,,,15.645,,,,,Kepler-1284.xml,
Kepler-1285,Kepler-1285,,,,,,,,,,,,,,2.750,,1.060,,0.868,,,,,,,0.09,0.088,0.09,0.089,,,62.5,62.49,67.2,67.21,,,,11.714,,,,,Kepler-1285.xml,
Kepler-1286,Kepler-1286,,,,,,,,,,,,,,4.170,,2.460,,3.540,,,,,,,0.15,0.155,0.14,0.138,,,,,74.6,74.56,,,,15.166,,,,,Kepler-1286.xml,
Kepler-1287,Kepler-1287,,,,,,,,,,,,,,4.070,,2.390,,3.920,,,,,,,0.18,0.183,0.15,0.147,,,84.0,83.95,94.0,93.97,,,,15.051,,,,,Kepler-1287.xml,
Kepler-1288,Kepler-1288,,,,,,,,,,,,,,2.880,,1.230,,1.020,,,,,,,0.14,0.143,0.16,0.157,,,135.8,135.79,88.0,87.95,,,,13.321,,,,,Kepler-1288.xml,
Kepler-1289,Kepler-1289,,,,,,,,,,,,,,2.950,,1.240,,1.920,,,,,,,0.15,0.153,0.13,0.134,,,268.2,268.17,245.7,245.65,,,,14.590,,,,,Kepler-1289.xml,
Kepler-1290,Kepler-1290,,,,,,,,,,,,,,4.070,,2.330,,4.400,,,,,,,0.17,0.174,0.13,0.131,,,108.4,108.37,114.1,114.11,,,,15.711,,,,,Kepler-1290.xml,
Kepler-1291,Kepler-1291,,,,,,,,,,,,,,4.900,,3.090,,6.220,,,,,,,0.17,0.169,0.14,0.142,,,108.1,108.14,81.4,81.36,,,,15.868,,,,,Kepler-1291.xml,
Kepler-1292,Kepler-1292,,,,,,,,,,,,,,4.680,,2.960,,5.300,,,,,,,0.16,0.158,0.17,0.166,,,,,,,,,,15.934,,,,,Kepler-1292.xml,
Kepler-1293,Kepler-1293,,,,,,,,,,,,,,2.820,,1.100,,0.931,,,,,,,,,,,,,,,114.9,114.93,,,,13.383,,,,,Kepler-1293.xml,
Kepler-1294,Kepler-1294,,,,,,,,,,,,,,3.980,,2.310,,3.150,,,,,,,,,,,,,,,,,,,,15.174,,,,,Kepler-1294.xml,
Kepler-1295,Kepler-1295,,,,,,,,,,,,,,4.680,,2.940,,5.720,,,,,,,0.16,0.157,0.14,0.142,,,100.4,100.36,70.5,70.55,,,,15.890,,,,,Kepler-1295.xml,
Kepler-1296,Kepler-1296,,,,,,,,,,,,,,4.170,,2.550,,6.040,,,,,,,0.16,0.164,0.16,0.158,,,120.3,120.32,98.3,98.28,,,,14.667,,,,,Kepler-1296.xml,
Kepler-1297,Kepler-1297,,,,,,,,,,,,,,4.170,,2.410,,3.100,,,,,,,0.19,0.189,0.16,0.156,,,92.2,92.17,83.5,83.49,,,,14.812,,,,,Kepler-1297.xml,
Kepler-1298,Kepler-1298,,,,,,,,,,,,,,2.570,,0.400,,0.350,,,,,,,0.08,0.082,,,,,65.9,65.86,64.1,64.06,,,,11.392,,,,,Kepler-1298.xml,
Kepler-1299,Kepler-1299,,,,,,,,,,,,,,4.370,,2.660,,4.880,,,,,,,0.17,0.174,0.14,0.139,,,129.8,129.75,92.9,92.88,,,,15.922,,,,,Kepler-1299.xml,
Kepler-1064,Kepler-1064,,,,,,,,,,,,,,3.890,,1.910,,2.960,,,,,,,0.10,0.097,0.10,0.101,,,60.0,59.98,80.6,80.62,,,,13.755,,,,,Kepler-1064.xml,
Kepler-1065,Kepler-1065,,,,,,,,,,,,,,4.470,,2.760,,4.820,,,,,,,0.18,0.178,0.14,0.138,,,202.4,202.38,166.0,166.04,,,,15.540,,,,,Kepler-1065.xml,
Kepler-1066,Kepler-1066,,,,,,,,,,,,,,3.800,,2.110,,4.000,,,,,,,0.18,0.183,0.14,0.143,,,209.5,209.47,287.4,287.38,,,,13.007,,,,,Kepler-1066.xml,
Kepler-1067,Kepler-1067,,,,,,,,,,,,,,4.790,,3.040,,5.350,,,,,,,0.17,0.172,0.13,0.132,,,65.9,65.87,63.0,63.05,,,,14.305,,,,,Kepler-1067.xml,
Kepler-1068,Kepler-1068,,,,,,,,,,,,,,4.170,,2.410,,3.400,,,,,,,0.18,0.176,0.14,0.142,,,170.0,169.98,123.7,123.65,,,,15.818,,,,,Kepler-1068.xml,
Kepler-1069,Kepler-1069,,,,,,,,,,,,,,4.370,,2.550,,3.930,,,,,,,0.16,0.161,,,,,104.9,104.94,88.8,88.79,,,,13.153,,,,,Kepler-1069.xml,
Kepler-1070,Kepler-1070,,,,,,,,,,,,,,2.750,,1.020,,0.860,,,,,,,0.17,0.175,0.13,0.132,,,114.4,114.36,114.1,114.14,,,,13.977,,,,,Kepler-1070.xml,
Kepler-1071,Kepler-1071,,,,,,,,,,,,,,4.270,,2.340,,3.620,,,,,,,0.11,0.113,0.11,0.108,,,83.3,83.32,78.4,78.36,,,,15.801,,,,,Kepler-1071.xml,
Kepler-1072,Kepler-1072,,,,,,,,,,,,,,2.880,,1.090,,0.874,,,,,,,0.13,0.132,0.13,0.129,,,123.2,123.19,102.8,102.85,,,,13.930,,,,,Kepler-1072.xml,
Kepler-1073,Kepler-1073,,,,,,,,,,,,,,3.720,,2.020,,3.680,,,,,,,0.17,0.171,0.14,0.138,,,186.2,186.16,252.9,252.91,,,,14.523,,,,,Kepler-1073.xml,
Kepler-1074,Kepler-1074,,,,,,,,,,,,,,3.550,,1.860,,5.120,,,,,,,,,,,,,33.6,33.56,33.5,33.45,,,,15.026,,,,,Kepler-1074.xml,
Kepler-1075,Kepler-1075,,,,,,,,,,,,,,2.950,,1.400,,4.340,,,,,,,0.10,0.105,0.11,0.111,,,38.7,38.69,39.3,39.29,,,,15.313,,,,,Kepler-1075.xml,
