Primary system name,All system names,Right ascension,Declination,Distance [parsec],Distance errorminus,Distance errorplus,source (xml)
CoRoT-17,corot-17,18 34 47,-06 36 44,920,,,CoRoT-17.xml
CoRoT-18,corot-18,06 32 41,-00 01 54,870,,,CoRoT-18.xml
CoRoT-19,corot-19,06 28 08,-00 10 15,800,,,CoRoT-19.xml
CoRoT-2,corot-2,19 27 07,+01 23 02,300,,,CoRoT-2.xml
CoRoT-20,corot-20,06 30 53,+00 13 37,1230,120,120,CoRoT-20.xml
CoRoT-21,corot-21,06 44 12.64,-00 17 57.06,,,,CoRoT-21.xml
CoRoT-22,corot-22,18 42 40.109,+06 13 08.97,592.0,42,25,CoRoT-22.xml
CoRoT-23,corot-23,18 39 08,+04 21 28,600,,,CoRoT-23.xml
CoRoT-24,corot-24,06 47 41,-03 43 10,600,70,70,CoRoT-24.xml
CoRoT-25,corot-25,18 42 31.13,+06 30 50.04,1000,25,85,CoRoT-25.xml
CoRoT-26,corot-26,18 39 00.13,+06 58 11.71,1670,110,205,CoRoT-26.xml
CoRoT-27,corot-27,18 33 59,+05 32 19,,,,CoRoT-27.xml
CoRoT-28,corot-28,18 34 45.21,+05 34 25.72,560,70,70,CoRoT-28.xml
CoRoT-29,corot-29,18 35 36.50,+06 28 46.99,765,50,50,CoRoT-29.xml
CoRoT-3,corot-3,19 28 13,+00 07 19,680,,,CoRoT-3.xml
CoRoT-4,corot-4,06 48 47,-00 40 22,,,,CoRoT-4.xml
CoRoT-5,corot-5,06 45 07,+00 48 55,400,,,CoRoT-5.xml
CoRoT-6,corot-6,18 44 18,+06 39 48,,,,CoRoT-6.xml
CoRoT-7,corot-7,06 43 49,-01 03 47,150,20,20,CoRoT-7.xml
CoRoT-8,corot-8,19 26 21,+01 25 36,380,,,CoRoT-8.xml
CoRoT-9,corot-9,18 43 09,+06 12 15,460,,,CoRoT-9.xml
CT Cha,ctcha,11 04 09,-76 27 19,165,30,30,CT Cha.xml
DH Tau,dhtau,04 29 42,+26 32 58,140.01,,,DH Tau.xml
DP Leo,dpleo,11 17 16,+17 57 41,400,,,DP Leo.xml
EPIC 201208431,epic201208431|k2-4,11 38 58.953,-03 54 20.11,218,10,11,EPIC 201208431.xml
EPIC 201295312,epic201295312,11 36 02.791,-02 31 15.17,331,35,61,EPIC 201295312.xml
EPIC 201338508,epic201338508|k2-5,11 17 12.84,-01 52 40.71,181,7,7,EPIC 201338508.xml
EPIC 201367065,epic201367065|k2-3,11 29 20.388,-01 27 17.23,45,4,3,EPIC 201367065.xml
EPIC 201384232,epic201384232|k2-6,11 52 46.142,-01 11 54.52,343,33,52,EPIC 201384232.xml
EPIC 201393098,epic201393098|k2-7,11 08 22.505,-01 03 56.72,433,38,75,EPIC 201393098.xml
EPIC 201403446,epic201403446,11 37 03.923,-00 54 26.14,362,48,86,EPIC 201403446.xml
EPIC 201445392,epic201445392|k2-8,11 19 10.48,-00 17 03.75,405,16,14,EPIC 201445392.xml
EPIC 201465501,epic201465501|k2-9,11 45 03.472,+00 00 19.08,110,12,12,EPIC 201465501.xml
EPIC 201505350,epic201505350|k2-19,11 39 50.477,+00 36 12.87,291,20,33,EPIC 201505350.xml
EPIC 201546283,epic201546283|k2-27,11 26 03.639,+01 13 50.66,251,29,2138,EPIC 201546283.xml
EPIC 201549860,epic201549860,11 20 24.739,+01 17 09.44,249,9,9,EPIC 201549860.xml
EPIC 201565013,epic201565013,11 47 58.126,+01 30 36.9,506,38,154,EPIC 201565013.xml
EPIC 201577035,epic201577035|k2-10,11 28 29.27,+01 41 26.29,271,21,48,EPIC 201577035.xml
EPIC 201596316,epic201596316|k2-11,11 16 10.08,+01 59 12.62,2019,1728,71,EPIC 201596316.xml
EPIC 201613023,epic201613023|k2-12,11 32 46.089,+02 14 41.58,294,27,78,EPIC 201613023.xml
EPIC 201617985,epic201617985,11 57 57.998,+02 19 17.31,111,9,8,EPIC 201617985.xml
EPIC 201629650,epic201629650|k2-13,11 20 37.327,+02 30 09.71,290,18,34,EPIC 201629650.xml
EPIC 201635569,epic201635569|k2-14,11 52 13.686,+02 35 39.28,219,8,8,EPIC 201635569.xml
EPIC 201637175,epic201637175|k2-22,11 17 55.856,+02 37 06.79,225,50,50,EPIC 201637175.xml
EPIC 201702477,epic201702477,11 40 57.791,+03 40 53.7,673,63,87,EPIC 201702477.xml
EPIC 201713348,epic201713348,11 17 47.78,+03 51 59.0,,,,EPIC 201713348.xml
EPIC 201736247,epic201736247|k2-15,11 52 26.591,+04 15 17.09,437,22,43,EPIC 201736247.xml
EPIC 201754305,epic201754305|k2-16,11 40 23.342,+04 33 26.42,324,16,16,EPIC 201754305.xml
EPIC 201828749,epic201828749,11 42 37.042,+05 53 39.56,146,12,1996,EPIC 201828749.xml
EPIC 201855371,epic201855371|k2-17,11 53 19.146,+06 24 44.14,134,6,5,EPIC 201855371.xml
EPIC 201912552,epic201912552|k2-18,11 30 14.511,+07 35 18.21,34,4,4,EPIC 201912552.xml
EPIC 203771098,epic203771098|k2-24,16 10 17.69,-24 59 25.19,181,17,17,EPIC 203771098.xml
EPIC 203826436,epic203826436,16 13 48.24,-24 47 13.4,,,,EPIC 203826436.xml
EPIC 204129699,epic204129699,16 21 48.801,-23 32 52.32,,,,EPIC 204129699.xml
EPIC 204221263,epic204221263,16 00 08.06,-23 11 21.4,,,,EPIC 204221263.xml
EPIC 205071984,epic205071984,16 49 42.26,-19 32 34.2,,,,EPIC 205071984.xml
EPIC 206011691,epic206011691|k2-21,22 41 12.89,-14 29 20.35,65,6,6,EPIC 206011691.xml
EPIC 206318379,epic206318379|k2-28,22 22 29.85,-07 57 19.3,53,8,8,EPIC 206318379.xml
EPIC 210363145,epic210363145,03 40 54.82,+12 34 21.4,125,7,7,EPIC 210363145.xml
EPIC 210490365,epic210490365|k2-25,04 13 05.61,+15 14 52.00,45.7,3.3,3.3,EPIC 210490365.xml
eps Coronae Borealis,epscoronaeborealis,15 57 35.25147,+26 52 40.3635,67.9,,,eps Coronae Borealis.xml
eps Eridani,epseridani,03 32 55.84496,-09 27 29.7312,3.2161,0.0017,0.0017,eps Eridani.xml
eps Tau,epstau,04 28 36.99882,+19 10 49.5446,44.96,0.51,0.51,eps Tau.xml
eta Cet,etacet,01 08 35.39148,-10 10 56.1570,37.99,0.20,0.20,eta Cet.xml
FL Lyr,fllyr,19 12 04.86170,+46 19 26.8632,130,13,13,FL Lyr.xml
Fomalhaut,fomalhaut,22 57 39,-29 37 20,7.704,0.028,0.028,Fomalhaut.xml
FU Tau,futau,04 23 35.386,+25 03 03.05,140,,,FU Tau.xml
FW Tau,fwtau,04 29 30,+26 16 53,145,,,FW Tau.xml
gamma Cephei,gammacephei|gammacephei|errai|alrai|gj903|hr8974|hd222404|hip116727,23 39 20.85153,+77 37 56.1876,14.102,0.080,0.080,gamma Cephei.xml
Gamma Leonis,gammaleonis,10 19 58.427,+19 50 28.53,38.5,1.2,1.2,Gamma Leonis.xml
GJ 1132,gj1132,10 14 51.846,-47 09 24.47,12.04,0.24,0.24,GJ 1132.xml
GJ 160.2,gj160.2,04 06 34.84136,-20 51 11.2391,43.25,0.8,0.9,GJ 160.2.xml
GJ 180,gj180,04 53 49.97976,-17 46 24.2944,12.1,0.3,0.4,GJ 180.xml
GJ 229,gj229,06 10 34.61533,-21 51 52.7117,5.75,0.03,0.03,GJ 229.xml
GJ 27.1,gj27.1,00 39 58.82591,-44 15 11.5985,24.0,1.5,1.7,GJ 27.1.xml
GJ 422,gj422,11 16 00.20551,-57 32 51.5988,12.67,0.40,0.43,GJ 422.xml
GJ 682,gj682,17 37 03.66242,-44 19 09.1697,5.079,0.054,0.056,GJ 682.xml
Gliese 1214,gliese1214|gj1214,17 15 18.94,+04 57 49.7,14.55,0.13,0.13,Gliese 1214.xml
Gliese 15,gliese15,00 18 22.88532,+44 01 22.6282,3.587,0.010,0.010,Gliese 15.xml
Gliese 163,gliese163,04 09 15.66350,-53 22 23.3050,15.0,0.4,0.4,Gliese 163.xml
Gliese 176,gliese176,04 42 55.77497,+18 57 29.4043,9.42,0.22,0.22,Gliese 176.xml
Gliese 179,gliese179,04 52 05.731,+06 28 35.64,12.29,0.61,0.61,Gliese 179.xml
Gliese 221,gliese221|gj221|bd-061339|hip27803,05 53 00,-05 59 41,20,1,1,Gliese 221.xml
Gliese 3021,gliese3021,00 16 12,-79 51 04,17.62,0.16,0.17,Gliese 3021.xml
Gliese 317,gliese317,08 40 59,-23 27 23,15.1,,,Gliese 317.xml
Gliese 328,gliese328|gj328,08 55 08,+01 32 56,19.8,0.8,0.8,Gliese 328.xml
Gliese 3293,gliese3293,04 28 35.72,-25 10 08.9,18.2,2.6,2.6,Gliese 3293.xml
Gliese 3341,gliese3341,05 15 46.68,-31 17 46.6,23.2,0.7,0.7,Gliese 3341.xml
Gliese 3470,gliese3470|gj3470,07 59 06,+15 23 30,30.7,,,Gliese 3470.xml
Gliese 3634,gliese3634,10 58 35,-31 08 39,19.8,,,Gliese 3634.xml
Gliese 433,gliese433,11 35 27,-32 32 24,9.04,0.15,0.15,Gliese 433.xml
Gliese 436,gliese436,11 42 11,+26 42 23,10.14,0.23,0.25,Gliese 436.xml
Gliese 504,gliese504,13 16 47,+09 25 27,17.56,0.08,0.08,Gliese 504.xml
Gliese 581,gliese581,15 19 26,-07 43 20,6.21,,,Gliese 581.xml
Gliese 649,gliese649,16 58 09,+25 44 39,10.34,,,Gliese 649.xml
Gliese 667,gliese667,17 18 57,-34 59 23,6.97,,,Gliese 667.xml
Gliese 674,gliese674,17 28 40,-46 53 43,4.54,,,Gliese 674.xml
Gliese 676,gliese676,17 30 11,-51 38 13,16.5,,,Gliese 676.xml
Gliese 687,gliese687|gj687,17 36 25.89973,+68 20 20.9108,4.5,0.115,0.115,Gliese 687.xml
Gliese 777,gliese777,20 03 37.405,+29 53 48.50,15.89,,,Gliese 777.xml
Gliese 785,gliese785,20 15 17,-27 01 58,8.82,,,Gliese 785.xml
Gliese 832,gliese832,21 33 34,-49 00 32,4.94,0.03,0.03,Gliese 832.xml
Gliese 849,gliese849,22 09 40.3,-04 38 26.6,9.10,0.17,0.17,Gliese 849.xml
Gliese 86,gliese86,02 10 25.93425,-50 49 25.4179,10.783,0.037,0.037,Gliese 86.xml
Gliese 876,gliese876,22 53 13,-14 15 13,4.69,,,Gliese 876.xml
GQ Lup,gqlup,15 49 12,-35 39 03,140,,,GQ Lup.xml
GSC 06214-00210,gsc06214-00210,16 21 55,-20 43 07,145,14,14,GSC 06214-00210.xml
GU Psc,gupsc,01 12 35,+17 03 56,48,5,5,GU Psc.xml
HAT-P-1,hat-p-1,22 57 47,+38 40 30,139,,,HAT-P-1.xml
HAT-P-11,hat-p-11,19 50 50,+48 04 51,38,,,HAT-P-11.xml
HAT-P-12,hat-p-12,13 57 34,+43 29 37,142.5,,,HAT-P-12.xml
HAT-P-13,hat-p-13,08 39 32,+47 21 07,214,,,HAT-P-13.xml
HAT-P-14,hat-p-14,17 20 28,+38 14 32,205,,,HAT-P-14.xml
HAT-P-15,hat-p-15,04 24 59.534,+39 27 38.31,190,,,HAT-P-15.xml
HAT-P-16,hat-p-16,00 38 18,+42 27 47,235,,,HAT-P-16.xml
HAT-P-17,hat-p-17,21 38 09,+30 29 19,90,,,HAT-P-17.xml
HAT-P-18,hat-p-18,17 05 24,+33 00 45,166,9,9,HAT-P-18.xml
HAT-P-19,hat-p-19,00 38 04.012,+34 42 41.56,215,15,15,HAT-P-19.xml
HAT-P-2,hat-p-2,16 20 36,+41 02 53,118,,,HAT-P-2.xml
HAT-P-20,hat-p-20,07 27 40,+24 20 11,70,,,HAT-P-20.xml
HAT-P-21,hat-p-21,11 25 06,+41 01 41,254,,,HAT-P-21.xml
HAT-P-22,hat-p-22,10 22 44,+50 07 42,82,,,HAT-P-22.xml
HAT-P-23,hat-p-23,20 24 30,+16 45 44,393,,,HAT-P-23.xml
HAT-P-24,hat-p-24,07 15 18,+14 15 44,396,20,20,HAT-P-24.xml
HAT-P-25,hat-p-25,03 13 45,+25 11 51,297,,,HAT-P-25.xml
HAT-P-26,hat-p-26,14 12 37.54,+04 03 36.13,134,,,HAT-P-26.xml
HAT-P-27,hat-p-27,14 51 04,+05 56 50,204,,,HAT-P-27.xml
HAT-P-28,hat-p-28,00 52 00,+34 43 42,395,,,HAT-P-28.xml
HAT-P-29,hat-p-29,02 12 31,+51 46 44,322,,,HAT-P-29.xml
HAT-P-3,hat-p-3,13 44 23,+48 01 43,130,,,HAT-P-3.xml
HAT-P-30,hat-p-30,08 15 48,+05 50 12,193,8,8,HAT-P-30.xml
HAT-P-31,hat-p-31,18 06 09,+26 25 36,354,,,HAT-P-31.xml
HAT-P-32,hat-p-32,02 04 10.278,+46 41 16.21,283,5,5,HAT-P-32.xml
HAT-P-33,hat-p-33,07 32 44,+33 50 06,387,9,9,HAT-P-33.xml
HAT-P-34,hat-p-34,20 12 46.885,+18 06 17.42,257,,,HAT-P-34.xml
HAT-P-35,hat-p-35,08 13 00,+04 47 13,535,,,HAT-P-35.xml
HAT-P-36,hat-p-36,12 33 03.909,+44 54 55.18,317,,,HAT-P-36.xml
HAT-P-37,hat-p-37,18 57 11,+51 16 09,411,,,HAT-P-37.xml
HAT-P-38,hat-p-38,02 21 32,+32 14 47,249,,,HAT-P-38.xml
HAT-P-39,hat-p-39,07 35 02,+17 49 48,642,,,HAT-P-39.xml
HAT-P-4,hat-p-4,15 19 58,+36 13 47,310,,,HAT-P-4.xml
HAT-P-40,hat-p-40,22 22 03,+45 27 27,501,,,HAT-P-40.xml
HAT-P-41,hat-p-41,19 49 17,+04 40 20,344,,,HAT-P-41.xml
HAT-P-42,hat-p-42,09 01 22,+06 05 50,447,,,HAT-P-42.xml
HAT-P-43,hat-p-43,08 35 42,+10 12 24,543,,,HAT-P-43.xml
HAT-P-44,hat-p-44,14 12 35,+47 00 53,374,23,42,HAT-P-44.xml
HAT-P-45,hat-p-45,18 17 29,-03 22 52,305,17,35,HAT-P-45.xml
HAT-P-46,hat-p-46,18 01 47,-02 58 15,296,29,61,HAT-P-46.xml
HAT-P-49,hat-p-49,20 21 46,-26 41 34,322,13,24,HAT-P-49.xml
HAT-P-5,hat-p-5,18 17 37,+36 37 18,340,,,HAT-P-5.xml
HAT-P-50,hat-p-50,07 52 15.20,+12 08 21.9,497,21,21,HAT-P-50.xml
HAT-P-51,hat-p-51,01 24 15.66,+32 48 38.8,470,16,15,HAT-P-51.xml
HAT-P-52,hat-p-52,02 50 53.20,+29 01 20.6,385,21,21,HAT-P-52.xml
HAT-P-53,hat-p-53,01 27 29.05,+38 58 05.3,719,43,43,HAT-P-53.xml
HAT-P-54,hat-p-54,06 39 36,-25 28 57,135.8,3.5,3.5,HAT-P-54.xml
HAT-P-55,hat-p-55,17 37 05.52,+25 43 52.3,480,19,19,HAT-P-55.xml
HAT-P-56,hat-p-56|k2-20,06 43 23.52950,+27 15 08.2182,310.5,7.1,7.1,HAT-P-56.xml
HAT-P-57,hat-p-57,18 18 58.32,+10 35 50.3,303,13,13,HAT-P-57.xml
HAT-P-6,hat-p-6,23 39 06,+42 27 58,200,,,HAT-P-6.xml
HAT-P-7,hat-p-7,19 28 59,+47 58 10,320,40,50,HAT-P-7.xml
HAT-P-8,hat-p-8,22 52 10,+35 26 50,230,15,15,HAT-P-8.xml
HAT-P-9,hat-p-9,07 20 40,+37 08 26,480,,,HAT-P-9.xml
HATS-1,hats-1,11 42 06.080,-23 21 17.44,303,,,HATS-1.xml
HATS-10,hats-10,19 37 13.80,-22 12 16.1,496,24,24,HATS-10.xml
HATS-13,hats-13,21 07 50.88,-26 05 48.0,476,12,12,HATS-13.xml
HATS-14,hats-14,20 52 51.715,-25 41 14.40,513,14,14,HATS-14.xml
HATS-15,hats-15,20 44 22.20,-19 26 15.0,689,23,23,HATS-15.xml
HATS-16,hats-16,23 54 14.04,-30 00 46.8,774,74,74,HATS-16.xml
HATS-17,hats-17,12 48 45.72,-47 36 49.3,339,16,22,HATS-17.xml
HATS-2,hats-2,11 46 57.370,-22 21 46.82,360,,,HATS-2.xml
HATS-3,hats-3|2mass20494978-2425436|gsc6926-00454,20 49 59,-24 25 44,556,78,78,HATS-3.xml
HATS-4,hats-4,06 16 26.898,-22 32 48.79,420,12,12,HATS-4.xml
HATS-5,hats-5,04 28 53.489,-21 28 54.90,257,8,8,HATS-5.xml
HATS-6,hats-6,05 52 35.231,-19 01 53.96,172.6,5.5,5.5,HATS-6.xml
HATS-7,hats-7,13 55 25.68,-21 12 27.7,257,12,15,HATS-7.xml
HATS-8,hats-8,19 39 46.08,-25 44 53.9,829,48,110,HATS-8.xml
HATS-9,hats-9,19 23 14.28,-20 09 58.7,622,30,42,HATS-9.xml
HD 100546,hd100546,11 33 25,-70 11 41,97,4,4,HD 100546.xml
HD 100655,hd100655,11 35 04,+20 26 30,122,,,HD 100655.xml
HD 100777,hd100777,11 35 52,-04 45 21,52.8,,,HD 100777.xml
HD 10180,hd10180,01 37 54,-60 30 42,39.4,,,HD 10180.xml
HD 101930,hd101930,11 43 30,-58 00 24,30.49,,,HD 101930.xml
HD 102117,hd102117,11 44 50,-58 42 13,42,,,HD 102117.xml
HD 102195,hd102195,11 45 42,+02 49 17,28.98,,,HD 102195.xml
HD 102272,hd102272,11 46 24,+14 07 26,360,,,HD 102272.xml
HD 102329,hd102329,11 46 46,+03 28 27,158,,,HD 102329.xml
HD 102365,hd102365,11 46 31,-40 30 01,9.24,,,HD 102365.xml
HD 102956,hd102956,11 51 23,+57 38 27,126,,,HD 102956.xml
HD 103197,hd103197,11 52 53,-50 17 34,49.3,,,HD 103197.xml
HD 103720,hd103720,11 56 41.18534,-02 46 44.2430,41.58,2.07,2.07,HD 103720.xml
HD 103774,hd103774,11 56 55,-12 06 28,55,,,HD 103774.xml
HD 104067,hd104067,11 59 10,-20 21 14,20.8,,,HD 104067.xml
HD 10442,hd10442,01 41 53.142,+02 42 15.77,,,,HD 10442.xml
HD 104985,hd104985,12 05 15.11890,+76 54 20.6475,97.1,2.4,2.4,HD 104985.xml
HD 106252,hd106252,12 13 29,+10 02 29,37.44,,,HD 106252.xml
HD 106270,hd106270,12 13 37,-09 30 47,84.9,,,HD 106270.xml
HD 10647,hd10647,01 42 29,-53 44 27,17.3,,,HD 10647.xml
HD 106515 A,hd106515a,12 15 07,-07 15 26,35.2,,,HD 106515 A.xml
HD 106906,hd106906,12 17 53.19228,-55 58 31.8890,92,6,6,HD 106906.xml
HD 10697,hd10697,01 44 55,+20 04 59,32.56,,,HD 10697.xml
HD 107148,hd107148,12 19 13,-03 19 11,51.3,,,HD 107148.xml
HD 108147,hd108147,12 25 46,-64 01 19,38.57,,,HD 108147.xml
HD 108341,hd108341,12 27 31.38999,-71 25 22.7053,49.4,2.3,2.3,HD 108341.xml
HD 108863,hd108863,12 30 19,+21 56 54,139,,,HD 108863.xml
HD 108874,hd108874,12 30 26,+22 52 47,68.5,,,HD 108874.xml
HD 109246,hd109246,12 32 07,+74 29 22,65.6,,,HD 109246.xml
HD 109271,hd109271,12 33 35,-11 37 18,62,,,HD 109271.xml
HD 109749,hd109749,12 37 16,-40 48 43,59,,,HD 109749.xml
HD 110014,hd110014,12 39 14,-07 59 44,90,,,HD 110014.xml
HD 111232,hd111232,12 48 51,-68 25 30,29,,,HD 111232.xml
HD 113337,hd113337,13 01 47,+63 36 37,36.9,0.4,0.4,HD 113337.xml
HD 113538,hd113538,13 04 57.47691,-52 26 34.5223,15.87,0.34,0.34,HD 113538.xml
HD 114386,hd114386,13 10 39,-35 03 17,28.04,,,HD 114386.xml
HD 114613,hd114613,13 12 03.18502,-37 48 10.8901,20.67,0.13,0.13,HD 114613.xml
HD 114729,hd114729,13 12 44,-31 52 24,35,,,HD 114729.xml
HD 114762,hd114762,13 12 19,+17 31 01,39.46,,,HD 114762.xml
HD 114783,hd114783,13 12 43,-02 15 54,20.4,,,HD 114783.xml
HD 11506,hd11506,01 52 50.535,-19 30 25.11,51.7,1.6,1.6,HD 11506.xml
HD 116029,hd116029,13 20 39,+24 38 55,123,,,HD 116029.xml
HD 117207,hd117207,13 29 21,-35 34 15,33,,,HD 117207.xml
HD 11755,hd11755,01 58 50.087,+73 09 08.58,231.5,22.7,22.7,HD 11755.xml
HD 117618,hd117618,13 32 25,-47 16 16,38,,,HD 117618.xml
HD 118203,hd118203,13 34 02,+53 43 42,88.6,,,HD 118203.xml
HD 11964,hd11964,01 57 09,-10 14 32,33.98,,,HD 11964.xml
HD 11977,hd11977,01 54 56,-67 38 50,66.5,,,HD 11977.xml
HD 120084,hd120084|hr5184,13 42 39,+78 03 51,98,,,HD 120084.xml
HD 121504,hd121504,13 57 17,-56 02 24,44.37,,,HD 121504.xml
HD 122430,hd122430,14 02 22,-27 25 47,135,,,HD 122430.xml
HD 125595,hd125595,14 21 23,-40 23 38,27.4,,,HD 125595.xml
HD 125612,hd125612,14 20 54,-17 28 53,52.82,,,HD 125612.xml
HD 12648,hd12648,02 18 59.654,+85 44 10.22,158.4,9.0,9.0,HD 12648.xml
HD 126525,hd126525,14 27 33,-51 55 59,38.1,,,HD 126525.xml
HD 12661,hd12661,02 04 34,+25 24 51,37.16,,,HD 12661.xml
HD 126614,hd126614,14 26 48.28070,-05 10 40.0074,72.6,5.1,5.1,HD 126614.xml
