Primary star name,All star names,Mass [MSun],Mass [MSun] errorminus,Mass [MSun] errorplus,Radius [RSun],Radius [RSun] errorminus,Radius [RSun] errorplus,Age [Gyr],Age [Gyr] errorminus,Age [Gyr] errorplus,Age [Gyr] lowerlimit,Age [Gyr] upperlimit,Metallicity [Fe/H],Metallicity [Fe/H] errorminus,Metallicity [Fe/H] errorplus,Temperature [K],Temperature [K] errorminus,Temperature [K] errorplus,Spectral type,Visual magnitude,Visual magnitude errorminus,Visual magnitude errorplus,source (xml)
51 Peg,51peg|hd217014|hip113357|hr8729|bd+195036|gliese882|sao90896|tyc1717-2193-1,1.04,,,1.266,,,,,,,,0.2,,,5793.0,,,g2iv,5.49,,,51 Peg.xml
55 Cancri A,55cancria|55cnca|rho01cnca|rho-1cancria|r1cnca|r1cancria|hd75732|hip43587|tyc1949-2012-1|sao80478|hr3522|gliese324a|gj324a|bd+281660a|2massj08523579+2819509|wdsj08526+2820a|lds6219a,0.960,0.067,0.067,0.960,0.018,0.018,,,,,,0.3,0.1,0.1,5219,26,26,k0v,5.95,0.05,0.05,55 Cancri.xml
55 Cancri B,55cancrib|55cncb|rho01cncb|rho-1cancrib|r1cncb|r1cancrib|gliese324b|gj324b|bd+281660b|2massj08524084+2818589|wdsj08526+2820b|lds6219b,0.2,,,,,,,,,,,,,,,,,m4,13,,,55 Cancri.xml
6 Lyn,6lyn|6lyncis|hd45410|hip31039|tyc3777-2071-1|sao25771|hr2331|bd+58932|2massj06304711+5809453,1.82,0.13,0.13,5.2,0.3,0.4,,,,,,-0.13,,,4978.0,,,k0iv,5.86,,,6 Lyn.xml
61 Vir,61vir|61virginis|hd115617|hip64924|tyc6116-1517-1|sao157844|gj506|gliese506|hr5019|bd-173813|2massj13182443-1818387,0.95,0.03,0.04,0.963,0.011,0.011,6.3,3.1,3.3,,,0.05,,,5571,,,g5v,4.740,0.009,0.009,61 Vir.xml
7 CMa,7cma|7canismajoris|nu.02cma|nu-2canismajoris|n2cma|n2canismajoris|hd47205|hip31592|tyc5956-2621-1|sao151702|hr2429|bd-191502|cpd-191369|gliese239.1|gj9214|2massj06364103-1915210,1.52,0.30,0.30,2.3,0.1,0.1,,,,,,0.21,0.10,0.10,4792,100,100,k1iii,3.96,,,7 CMa.xml
70 Vir,70vir|bd+142621|gliese9446|hd117176|hip65721|2massj1328282584+1346447|ppm129843|tyc898-1042-1,1.09,0.002,0.002,1.94,0.05,0.05,7.77,0.51,0.51,,,-0.09,0.03,0.03,5439,44,44,g4v,4.970,0.009,0.009,70 Vir.xml
75 Cet,75cet|75ceti|hd15779|hip11791|tyc4698-1302-1|sao129959|hr739|bd-01353|2massj02320943-0102055,2.49,,,10.5,,,,,,,,0.00,0.04,0.04,4846,18,18,g3iii,5.364,,,75 Cet.xml
8 Ursae Minoris,8ursaeminoris|hd133086|hip73136|tyc4417-267-1|bd+75547|ppm8785|wdsj14568+7454a|2massj14564834+7454032,1.8,0.1,0.1,9.9,0.4,0.4,,,,,,-0.03,0.02,0.02,4847.4,7.5,7.5,k0,6.843,,,8 Ursae Minoris.xml
81 Cet,81cet|81ceti|hd16400|hip12247|tyc4701-1094-1|sao130026|hr771|bd-04436|2massj02374179-0323462,2.4,,,11,,,,,,,,-0.06,,,4790.0,,,g5iii,5.65,,,81 Cet.xml
83 Leonis A,83leonisa|83leoa|hd99491|hip55846|tyc267-1191-1|sao118864|hr4414|gliese429a|gj429a|bd+032502|2massj11264531+0300475|wdsj11268+0301a|stf1540a,0.995,0.062,0.058,0.93,0.04,0.03,,,,,,,,,5509,,,k0iv,6.50,,,83 Leonis.xml
83 Leonis B,83leonisb|83leob|hd99492|hip55848|tyc267-1200-1|sao118865|gliese429b|gj429b|bd+032503|2massj11264627+0300229|wdsj11268+0301b|stf1540b,0.832,0.020,0.036,0.76,0.02,0.04,4,,,,,0.36,,,4740,,,k2v,7.38,,,83 Leonis.xml
91 Aquarii A,91aquariia|91aqra|psi01aqra|psi-1aquariia|ps1aqra|ps1aquariia|hd219449a|hip114855a|gliese893.2a|gj893.2a|gj9815a|bd-096156a|wdsj23159-0905a,1.4,0.1,0.1,11.0,0.1,0.1,3.56,0.63,0.63,,,-0.03,0.1,0.1,4665,18,18,k0iii,4.24,,,91 Aquarii.xml
91 Aquarii B,91aquariib|91aqrb|psi01aqrb|psi-1aquariib|ps1aqrb|ps1aquariib|hd219449b|hip114855b|gliese893.2b|gj893.2b|gj9815b|bd-096156b|wdsj23159-0905b,0.78,,,,,,,,,,,,,,,,,k3v,9.9,,,91 Aquarii.xml
91 Aquarii C,91aquariic|91aqrc|psi01aqrc|psi-1aquariic|ps1aqrc|ps1aquariic|hd219449c|hip114855c|gliese893.2c|gj893.2c|gj9815c|bd-096156c|wdsj23159-0905c,0.73,,,,,,,,,,,,,,,,,k,10.1,,,91 Aquarii.xml
AB Pic,abpic,,,,,,,,,,,,-0.64,,,4875.0,,,k2v,9.16,,,AB Pic.xml
alf Ari,alfari|alphaarietis|aari|aarietis|hamal|13ari|13arietis|hd12929|hip9884|tyc1758-2416-1|sao75151|hr617|gliese84.3|gj84.3|gj9072|bd+22306|2massj02071038+2327447,1.5,0.2,0.2,13.9,0.3,0.3,,,,,,-0.09,0.03,0.03,4553,15,15,k2iii,2.01,,,alf Ari.xml
alf Tau,alftau|aldebaran|alftaua|alphatauria|ataua|atauria|aldebarana|87taua|87tauria|hr1457|hd29139|hip21421|tyc1266-1416-1|bd+16629|ppm120061|gliese171.1a|gj171.1a|gj9159a|wdsj04359+1631a|bu550a,1.13,0.11,0.11,45.1,0.1,0.1,6.6,2.4,2.4,,,-0.27,0.05,0.05,4055,70,70,k5iii,0.99,,,alf Tau.xml
alf Tau B,alftaub|alphataurib|aldebaranb|ataub|ataurib|87taub|87taurib|gliese171.1b|gj171.1b|gj9159b|bd+16629b|wdsj04359+1631b|bu550b,,,,,,,,,,,,,,,,,,m2v,13.6,,,alf Tau.xml
Proxima Centauri,proximacentauri|acentauric|gl551|hip70890|proxima,0.120,0.015,0.014,0.141,0.019,0.022,,,,,,,,,3050,100,100,m5.5v,,,,Alpha Centauri.xml
Alpha Centauri A,alphacentauria|alfcena|acena|acentauria|alpha-1centauri|alf01cen|a1cen|a1centauri|rigilkentaurusa|rigilkenta|tolimana|bungulaa|gliese559a|gj559a|hr5459|hd128620|hip71683|tyc9007-5849-1|cd-605293a|cpd-605483a|wdsj14396-6050a|rhd1a,1.100,0.006,0.006,1.227,0.005,0.005,,,,,,0.20,0.02,0.02,5790,30,30,g2v,0.01,,,Alpha Centauri.xml
Alpha Centauri B,alphacentaurib|alfcenb|acenb|acentaurib|alpha-2centauri|alf02cen|a2cen|a2centauri|rigilkentaurusb|rigilkentb|tolimanb|bungulab|gliese559b|gj559b|hr5460|hd128621|hip71681|tyc9007-5848-1|wdsj14396-6050b|rhd1b,0.907,0.006,0.006,0.865,0.006,0.006,,,,,,0.23,0.03,0.03,5260,50,50,k1v,1.33,,,Alpha Centauri.xml
BD+14 4559,bd+144559|bd144559|hip104780|tyc1117-615-1|2massj21133598+1441218,0.86,0.15,0.15,,,,,,,,,0.10,0.07,0.07,5008,20,20,k2v,9.66,0.03,0.03,BD+14 4559.xml
BD+15 2940,bd+152940|hip78407|tyc1503-1050-1|sao101867|2massj16002294+1532491,1.1,0.2,0.2,14.7,2.8,2.8,7.1,4.2,4.2,,,0.28,0.07,0.07,4796,117,117,k0,9.05,0.02,0.02,BD+15 2940.xml
BD+20 1790,bd+201790|v429gem|v429geminorum|2massj07234358+2024588|tyc1355-214-1|1swaspj072343.59+202458.6,0.63,0.09,0.09,,,,,,,0.035,0.080,0.30,0.20,0.20,4410,,,k5ve,10.001,0.060,0.060,BD+20 1790.xml
BD+20 2457,bd+202457|bd202457|tyc1422-790-1|2massj10164485+1953290,2.8,1.5,1.5,,,,,,,,,-1.00,0.07,0.07,4137,10,10,k2ii,9.74,0.03,0.03,BD+20 2457.xml
BD+20 274,bd+20274|tyc1211-603-1|sao74893|2massj01434087+2100191|gsc01211-00603,0.8,0.2,0.2,17.3,0.9,0.9,,,,,,-0.46,0.07,0.07,4296,10,10,k5iii,9.367,0.029,0.029,BD+20 274.xml
BD+48 738,bd+48738|tyc3304-323-1|sao38269|2massj02425045+4935130,0.74,0.39,0.39,11,1,1,,,,,,-0.20,0.07,0.07,4414,15,15,k0iii,9.139,0.017,0.017,BD+48 738.xml
BD+49 828,bd+49828|gsc03318-01515|tyc3318-1515-1|2massj03023372+4943480,1.52,0.22,0.22,7.6,1.3,1.3,2.3,0.8,1.2,,,-0.19,0.06,0.06,4943,30,30,k0,9.38,0.02,0.02,BD+49 828.xml
BD-08 2823,bd-082823|hip49067|tyc5480-20-1|sao137286|2massj10004775-0931001,0.74,0.07,0.07,,,,4.5,4.0,4.0,,,-0.07,0.03,0.03,4746,63,63,k3v,9.86,,,BD-08 2823.xml
BD-10 3166,bd-103166|tyc5503-946-1|2massj10582880-1046133,0.85,,,0.81,0.03,0.05,,,,,1.84,0.382,0.030,0.030,5393,44,44,k3.0v,10.01,0.04,0.04,BD-10 3166.xml
BD-11 4672,bd-114672|bd-114672|hip90979|tyc5699-2129-1|sao161603|gliese717|gj717|2massj18332885-1138097,0.571,0.014,0.014,0.52,0.02,0.02,4.4,4,4,,,-0.48,0.05,0.05,4475,100,100,k7v,9.99,0.05,0.05,BD-11 4672.xml
BD-17 63,bd-1763|hip2247|tyc5840-482-1|sao147293|2massj00283433-1613343,0.74,0.03,0.03,0.69,,,4.3,4,4,,,-0.03,0.06,0.06,4714,93,93,k5v,9.62,,,BD-17 63.xml
beta Cancri,betacancri|betcnc|bcnc|bcancri|17cnc|17cancri|altarf|hd69267|hip40526|tyc794-1622-1|sao116569|hr3249|bd+091917|2massj08163090+0911080,1.7,0.1,0.1,47.2,1.3,1.3,1.85,0.34,0.34,,,-0.29,0.06,0.06,4092.1,17.5,17.5,k4iii,3.520,0.009,0.009,beta Cancri.xml
