Primary planet name(from standardize_OEC_planet.csv),pl_name(from standardize_NASA_Catalogue_Data.csv),Lists(from standardize_OEC_planet.csv),Lists(from standardize_NASA_Catalogue_Data.csv),Mass [Mjup](from standardize_OEC_planet.csv),pl_bmassj(from standardize_NASA_Catalogue_Data.csv),Mass [Mjup] errorminus(from standardize_OEC_planet.csv),pl_bmassjerr2(from standardize_NASA_Catalogue_Data.csv),Mass [Mjup] errorplus(from standardize_OEC_planet.csv),pl_bmassjerr1(from standardize_NASA_Catalogue_Data.csv),Mass [Mjup] lowerlimit(from standardize_OEC_planet.csv),pl_bmassjerr2(from standardize_NASA_Catalogue_Data.csv),Mass [Mjup] upperlimit(from standardize_OEC_planet.csv),pl_bmassjerr1(from standardize_NASA_Catalogue_Data.csv),Radius [Rjup](from standardize_OEC_planet.csv),pl_radj(from standardize_NASA_Catalogue_Data.csv),Radius [Rjup] errorminus(from standardize_OEC_planet.csv),pl_radjerr2(from standardize_NASA_Catalogue_Data.csv),Radius [Rjup] errorplus(from standardize_OEC_planet.csv),pl_radjerr1(from standardize_NASA_Catalogue_Data.csv),Radius [Rjup] lowerlimit(from standardize_OEC_planet.csv),pl_radjerr2(from standardize_NASA_Catalogue_Data.csv),Radius [Rjup] upperlimit(from standardize_OEC_planet.csv),pl_radjerr1(from standardize_NASA_Catalogue_Data.csv),Orbital period [days](from standardize_OEC_planet.csv),pl_orbper(from standardize_NASA_Catalogue_Data.csv),Orbital period [days] errorminus(from standardize_OEC_planet.csv),pl_orbpererr2(from standardize_NASA_Catalogue_Data.csv),Orbital period [days] errorplus(from standardize_OEC_planet.csv),pl_orbpererr1(from standardize_NASA_Catalogue_Data.csv),Orbital period [days] lowerlimit(from standardize_OEC_planet.csv),pl_orbpererr2(from standardize_NASA_Catalogue_Data.csv),Orbital period [days] upperlimit(from standardize_OEC_planet.csv),pl_orbpererr1(from standardize_NASA_Catalogue_Data.csv),Eccentricity(from standardize_OEC_planet.csv),pl_orbeccen(from standardize_NASA_Catalogue_Data.csv),Eccentricity errorminus(from standardize_OEC_planet.csv),pl_orbeccenerr2(from standardize_NASA_Catalogue_Data.csv),Eccentricity errorplus(from standardize_OEC_planet.csv),pl_orbeccenerr1(from standardize_NASA_Catalogue_Data.csv),Eccentricity lowerlimit(from standardize_OEC_planet.csv),pl_orbeccenerr2(from standardize_NASA_Catalogue_Data.csv),Eccentricity upperlimit(from standardize_OEC_planet.csv),pl_orbeccenerr1(from standardize_NASA_Catalogue_Data.csv),Equilibrium temperature [K](from standardize_OEC_planet.csv),pl_eqt(from standardize_NASA_Catalogue_Data.csv),Equilibrium temperature [K] errorminus(from standardize_OEC_planet.csv),pl_eqterr2(from standardize_NASA_Catalogue_Data.csv),Equilibrium temperature [K] errorplus(from standardize_OEC_planet.csv),pl_eqterr1(from standardize_NASA_Catalogue_Data.csv),Equilibrium temperature [K] lowerlimit(from standardize_OEC_planet.csv),pl_eqterr2(from standardize_NASA_Catalogue_Data.csv),Equilibrium temperature [K] upperlimit(from standardize_OEC_planet.csv),pl_eqterr1(from standardize_NASA_Catalogue_Data.csv),Discovery method(from standardize_OEC_planet.csv),Discovery method(from standardize_NASA_Catalogue_Data.csv),Discovery year(from standardize_OEC_planet.csv),pl_publ_date(from standardize_NASA_Catalogue_Data.csv),Last updated [yy/mm/dd](from standardize_OEC_planet.csv),Last updated [yy/mm/dd](from standardize_NASA_Catalogue_Data.csv),source (xml)(from standardize_OEC_planet.csv),source (xml)(from standardize_NASA_Catalogue_Data.csv)
Kepler-878 b,Kepler-878 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.009,,0.011,,,,,,,,0.00010290,,0.00010290,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-878.xml,
Kepler-879 b,Kepler-879 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.025,,0.059,,,,,,,,0.00014200,,0.00014200,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-879.xml,
Kepler-956 b,Kepler-956 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.034,,0.070,,,,,,,,0.00000312,,0.00000312,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-956.xml,
Kepler-957 b,Kepler-957 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.029,,0.026,,,,,,,,0.00000507,,0.00000507,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-957.xml,
Kepler-958 b,Kepler-958 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.007,,0.009,,,,,,,,0.00001110,,0.00001110,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-958.xml,
Kepler-959 b,Kepler-959 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.078,,0.108,,,,,,,,0.00004706,,0.00004706,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-959.xml,
Kepler-960 b,Kepler-960 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.022,,0.006,,,,,,,,0.00000167,,0.00000167,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-960.xml,
Kepler-961 b,Kepler-961 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.007,,0.010,,,,,,,,0.00002872,,0.00002872,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-961.xml,
Kepler-962 b,Kepler-962 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.007,,0.007,,,,,,,,0.00001586,,0.00001586,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-962.xml,
Kepler-963 b,Kepler-963 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.017,,0.027,,,,,,,,0.00001568,,0.00001568,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-963.xml,
Kepler-964 b,Kepler-964 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.006,,0.008,,,,,,,,0.00002258,,0.00002258,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-964.xml,
Kepler-965 b,Kepler-965 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.035,,0.049,,,,,,,,0.00056610,,0.00056610,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-965.xml,
Kepler-966 b,Kepler-966 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.052,,0.104,,,,,,,,0.00045230,,0.00045230,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-966.xml,
Kepler-967 b,Kepler-967 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.009,,0.007,,,,,,,,0.00002209,,0.00002209,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-967.xml,
Kepler-967 c,Kepler-967 c,confirmedplanets,,,,,,,,,,,,,,,,,,,0.012,,0.013,,,,,,,,0.00065580,,0.00065580,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-967.xml,
Kepler-968 b,Kepler-968 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.007,,0.007,,,,,,,,0.00000361,,0.00000361,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-968.xml,
Kepler-968 c,Kepler-968 c,confirmedplanets,,,,,,,,,,,,,,,,,,,0.006,,0.007,,,,,,,,0.00000954,,0.00000954,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-968.xml,
Kepler-969 b,Kepler-969 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.004,,0.004,,,,,,,,0.00007358,,0.00007358,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-969.xml,
Kepler-969 c,Kepler-969 c,confirmedplanets,,,,,,,,,,,,,,,,,,,0.004,,0.002,,,,,,,,0.00000293,,0.00000293,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-969.xml,
Kepler-970 b,Kepler-970 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.038,,0.012,,,,,,,,0.00002699,,0.00002699,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-970.xml,
Kepler-971 b,Kepler-971 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.021,,0.020,,,,,,,,0.00002320,,0.00002320,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-971.xml,
Kepler-972 b,Kepler-972 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.098,,0.136,,,,,,,,0.00001608,,0.00001608,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-972.xml,
Kepler-973 b,Kepler-973 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.006,,0.007,,,,,,,,0.00012080,,0.00012080,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-973.xml,
Kepler-974 b,Kepler-974 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.026,,0.005,,,,,,,,0.00000503,,0.00000503,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-974.xml,
Kepler-975 b,Kepler-975 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.008,,0.005,,,,,,,,0.00000236,,0.00000236,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-975.xml,
Kepler-976 b,Kepler-976 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.018,,0.026,,,,,,,,0.00046260,,0.00046260,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-976.xml,
Kepler-977 b,Kepler-977 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.015,,0.015,,,,,,,,0.00006393,,0.00006393,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-977.xml,
Kepler-978 b,Kepler-978 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.051,,0.060,,,,,,,,0.00017100,,0.00017100,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-978.xml,
Kepler-979 b,Kepler-979 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.021,,0.037,,,,,,,,0.00001135,,0.00001135,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-979.xml,
Kepler-980 b,Kepler-980 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.040,,0.021,,,,,,,,0.00002754,,0.00002754,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-980.xml,
Kepler-981 b,Kepler-981 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.016,,0.027,,,,,,,,0.00000586,,0.00000586,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-981.xml,
Kepler-982 b,Kepler-982 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.024,,0.042,,,,,,,,0.00004115,,0.00004115,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-982.xml,
Kepler-1147 b,Kepler-1147 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.045,,0.071,,,,,,,,0.00009118,,0.00009118,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1147.xml,
Kepler-1148 b,Kepler-1148 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.008,,0.009,,,,,,,,0.00000129,,0.00000129,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1148.xml,
Kepler-1149 b,Kepler-1149 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.015,,0.023,,,,,,,,0.00001502,,0.00001502,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1149.xml,
Kepler-1150 b,Kepler-1150 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.005,,0.005,,,,,,,,0.00000826,,0.00000826,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1150.xml,
Kepler-1151 b,Kepler-1151 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.015,,0.021,,,,,,,,0.00040100,,0.00040100,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1151.xml,
Kepler-1152 b,Kepler-1152 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.005,,0.004,,,,,,,,0.00000267,,0.00000267,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1152.xml,
Kepler-1153 b,Kepler-1153 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.010,,0.019,,,,,,,,0.00000439,,0.00000439,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1153.xml,
Kepler-1154 b,Kepler-1154 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.044,,0.095,,,,,,,,0.00002676,,0.00002676,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1154.xml,
Kepler-1154 c,Kepler-1154 c,confirmedplanets,,,,,,,,,,,,,,,,,,,0.044,,0.085,,,,,,,,0.00004757,,0.00004757,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1154.xml,
Kepler-1155 b,Kepler-1155 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.018,,0.040,,,,,,,,0.00020030,,0.00020030,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1155.xml,
Kepler-1156 b,Kepler-1156 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.008,,0.012,,,,,,,,0.00006499,,0.00006499,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1156.xml,
Kepler-1157 b,Kepler-1157 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.018,,0.004,,,,,,,,0.00001699,,0.00001699,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1157.xml,
Kepler-1158 b,Kepler-1158 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.041,,0.041,,,,,,,,0.00009329,,0.00009329,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1158.xml,
Kepler-1159 b,Kepler-1159 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.033,,0.092,,,,,,,,0.00009541,,0.00009541,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1159.xml,
Kepler-1160 b,Kepler-1160 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.012,,0.025,,,,,,,,0.00003122,,0.00003122,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1160.xml,
Kepler-1161 b,Kepler-1161 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.012,,0.045,,,,,,,,0.00003876,,0.00003876,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1161.xml,
Kepler-1162 b,Kepler-1162 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.019,,0.045,,,,,,,,0.00024720,,0.00024720,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1162.xml,
Kepler-1163 b,Kepler-1163 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.010,,0.015,,,,,,,,0.00002808,,0.00002808,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1163.xml,
Kepler-1164 b,Kepler-1164 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.006,,0.004,,,,,,,,0.00001086,,0.00001086,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1164.xml,
Kepler-1165 b,Kepler-1165 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.017,,0.045,,,,,,,,0.00005909,,0.00005909,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1165.xml,
Kepler-1166 b,Kepler-1166 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.012,,0.055,,,,,,,,0.00028000,,0.00028000,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1166.xml,
Kepler-1167 b,Kepler-1167 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.011,,0.011,,,,,,,,0.00000268,,0.00000268,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1167.xml,
Kepler-1168 b,Kepler-1168 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.012,,0.016,,,,,,,,0.00038710,,0.00038710,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1168.xml,
Kepler-1169 b,Kepler-1169 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.005,,0.005,,,,,,,,0.00002806,,0.00002806,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1169.xml,
Kepler-1170 b,Kepler-1170 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.015,,0.017,,,,,,,,0.00004242,,0.00004242,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1170.xml,
Kepler-1171 b,Kepler-1171 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.045,,0.061,,,,,,,,0.00000219,,0.00000219,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1171.xml,
Kepler-1172 b,Kepler-1172 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.025,,0.036,,,,,,,,0.00018860,,0.00018860,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1172.xml,
Kepler-1173 b,Kepler-1173 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.006,,0.021,,,,,,,,0.00000120,,0.00000120,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1173.xml,
Kepler-1174 b,Kepler-1174 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.014,,0.028,,,,,,,,0.00002664,,0.00002664,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1174.xml,
Kepler-1175 b,Kepler-1175 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.021,,0.024,,,,,,,,0.00017320,,0.00017320,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1175.xml,
Kepler-1176 b,Kepler-1176 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.029,,0.056,,,,,,,,0.00013360,,0.00013360,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-1176.xml,
Kepler-880 b,Kepler-880 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.039,,0.094,,,,,,,,0.00001918,,0.00001918,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-880.xml,
Kepler-881 b,Kepler-881 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.029,,0.038,,,,,,,,0.00002530,,0.00002530,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-881.xml,
Kepler-882 b,Kepler-882 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.008,,0.013,,,,,,,,0.00000976,,0.00000976,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-882.xml,
Kepler-883 b,Kepler-883 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.012,,0.015,,,,,,,,0.00003436,,0.00003436,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-883.xml,
Kepler-884 b,Kepler-884 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.004,,0.004,,,,,,,,0.00001359,,0.00001359,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-884.xml,
HATS-13 b,HATS-13 b,confirmedplanets,,,,,,,,,0.07200,,0.07200,,,,,,,,0.035,,0.035,,,,,,,,0.00000270,,0.00000270,,0.181000,,,,,,,,,,,,,,,,20,,20,transit,,,,15/03/11,,HATS-13.xml,
HATS-14 b,HATS-14 b,confirmedplanets,,1.07,1.07100,,,,,,0.07000,,0.07000,1.04,1.039,0.02,0.022,0.03,0.032,,0.022,,0.032,2.766764,2.76676410,0.000002,0.00000270,0.000003,0.00000270,,0.00000270,,0.00000270,,0.142000,,,,,,,,,,,,,,,,20,,20,transit,,,,15/11/01,,HATS-14.xml,
HD 95872 b,HD 95872 b,confirmedplanets,,,,,,,,,0.30000,,0.30000,,,,,,,,,,,,,,,,,,169.00000000,,169.00000000,,,,,,,,0.040000,,0.040000,,,,,,,,,,,rv,,2015,,15/12/28,,HD 95872.xml,
KELT-10 b,KELT-10 b,confirmedplanets,,,,,,,,,0.03800,,0.03900,,,,,,,,0.049,,0.069,4.166286,4.16627390,0.00057,0.00000630,0.00057,0.00000630,,0.00000630,,0.00000630,0,,,,,,,,,,,,,,,,,23,,28,transit,,2015,,15/09/08,,KELT-10.xml,
Kepler-885 b,Kepler-885 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.035,,0.036,,,,,,,,0.00005308,,0.00005308,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-885.xml,
Kepler-886 b,Kepler-886 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.017,,0.037,,,,,,,,0.00002154,,0.00002154,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-886.xml,
Kepler-887 b,Kepler-887 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.015,,0.024,,,,,,,,0.00009225,,0.00009225,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-887.xml,
Kepler-887 c,Kepler-887 c,confirmedplanets,,,,,,,,,,,,,,,,,,,0.010,,0.015,,,,,,,,0.00004957,,0.00004957,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-887.xml,
Kepler-888 b,Kepler-888 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.005,,0.007,,,,,,,,0.00030860,,0.00030860,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-888.xml,
Kepler-889 b,Kepler-889 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.012,,0.017,,,,,,,,0.00001366,,0.00001366,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-889.xml,
Kepler-890 b,Kepler-890 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.095,,0.255,,,,,,,,0.00003345,,0.00003345,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-890.xml,
Kepler-304 e,Kepler-304 e,confirmedplanets,,,,,,,,,,,,,,,,,,,0.003,,0.005,,,,,,,,0.00000280,,0.00000280,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-304.xml,
Kepler-891 b,Kepler-891 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.054,,0.130,,,,,,,,0.00006578,,0.00006578,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-891.xml,
Kepler-892 b,Kepler-892 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.024,,0.033,,,,,,,,0.00003106,,0.00003106,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-892.xml,
Kepler-893 b,Kepler-893 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.033,,0.046,,,,,,,,0.00001361,,0.00001361,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-893.xml,
Kepler-894 b,Kepler-894 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.030,,0.027,,,,,,,,0.00003027,,0.00003027,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-894.xml,
Kepler-895 b,Kepler-895 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.006,,0.008,,,,,,,,0.00000817,,0.00000817,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-895.xml,
Kepler-896 b,Kepler-896 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.017,,0.016,,,,,,,,0.00227400,,0.00227400,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-896.xml,
Kepler-983 b,Kepler-983 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.016,,0.006,,,,,,,,0.00026110,,0.00026110,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-983.xml,
Kepler-984 b,Kepler-984 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.010,,0.012,,,,,,,,0.00014790,,0.00014790,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-984.xml,
Kepler-985 b,Kepler-985 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.013,,0.012,,,,,,,,0.00138100,,0.00138100,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-985.xml,
Kepler-986 b,Kepler-986 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.017,,0.026,,,,,,,,0.00014460,,0.00014460,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-986.xml,
Kepler-987 b,Kepler-987 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.011,,0.014,,,,,,,,0.00047830,,0.00047830,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-987.xml,
Kepler-988 b,Kepler-988 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.014,,0.042,,,,,,,,0.00002728,,0.00002728,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-988.xml,
Kepler-989 b,Kepler-989 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.012,,0.012,,,,,,,,0.00000962,,0.00000962,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-989.xml,
Kepler-990 b,Kepler-990 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.037,,0.058,,,,,,,,0.00002468,,0.00002468,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-990.xml,
Kepler-990 c,Kepler-990 c,confirmedplanets,,,,,,,,,,,,,,,,,,,0.017,,0.031,,,,,,,,0.00000067,,0.00000067,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-990.xml,
Kepler-991 b,Kepler-991 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.011,,0.012,,,,,,,,0.00034490,,0.00034490,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-991.xml,
Kepler-992 b,Kepler-992 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.024,,0.004,,,,,,,,0.00005016,,0.00005016,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-992.xml,
Kepler-993 b,Kepler-993 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.011,,0.016,,,,,,,,0.00004655,,0.00004655,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-993.xml,
Kepler-994 b,Kepler-994 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.024,,0.006,,,,,,,,0.00000057,,0.00000057,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-994.xml,
Kepler-995 b,Kepler-995 b,confirmedplanets,,,,,,,,,,,,,,,,,,,0.015,,0.017,,,,,,,,0.00008643,,0.00008643,,,,,,,,,,,,,,,,,,,,,transit,,2016,,16/05/10,,Kepler-995.xml,
